ID;Sex;AgeAtDecember31;TypeOfFigure;Periods;LifeExpectancy_1;LifeExpectancyInPerceivedGoodHealth_2;LEWithoutModerateSevereLimitations_3;LEWithoutSevereLimitations_4;LEWithoutLightModerateSevereLim_5;LEWithoutChronicMorbidity_6;LEWithoutChrMorbExclHypertension_7;LEWithoutPsychologicalComplaints_8;LifeExpectancyWithoutGALILimitations_9;LifeExpWithoutSevereGALILimitations_10
387;Total male and female;15 years;Standard errors;1981;;;;;;;;;;
388;Total male and female;15 years;Standard errors;1982;;;;;;;;;;
389;Total male and female;15 years;Standard errors;1983;;;;;;;;;;
390;Total male and female;15 years;Standard errors;1984;;;;;;;;;;
391;Total male and female;15 years;Standard errors;1985;;;;;;;;;;
392;Total male and female;15 years;Standard errors;1986;;;;;;;;;;
393;Total male and female;15 years;Standard errors;1987;;;;;;;;;;
394;Total male and female;15 years;Standard errors;1988;;;;;;;;;;
395;Total male and female;15 years;Standard errors;1989;;;;;;;;;;
396;Total male and female;15 years;Standard errors;1990;;;;;;;;;;
397;Total male and female;15 years;Standard errors;1991;;;;;;;;;;
398;Total male and female;15 years;Standard errors;1992;;;;;;;;;;
399;Total male and female;15 years;Standard errors;1993;;;;;;;;;;
400;Total male and female;15 years;Standard errors;1994;;;;;;;;;;
401;Total male and female;15 years;Standard errors;1995;;;;;;;;;;
402;Total male and female;15 years;Standard errors;1996;;;;;;;;;;
403;Total male and female;15 years;Standard errors;1997;;;;;;;;;;
404;Total male and female;15 years;Standard errors;1998;;;;;;;;;;
405;Total male and female;15 years;Standard errors;1999;;;;;;;;;;
406;Total male and female;15 years;Standard errors;2000;;;;;;;;;;
407;Total male and female;15 years;Standard errors;2001;;;;;;;;;;
408;Total male and female;15 years;Standard errors;2002;;;;;;;;;;
409;Total male and female;15 years;Standard errors;2003;;;;;;;;;;
410;Total male and female;15 years;Standard errors;2004;;;;;;;;;;
411;Total male and female;15 years;Standard errors;2005;;;;;;;;;;
412;Total male and female;15 years;Standard errors;2006;;;;;;;;;;
413;Total male and female;15 years;Standard errors;2007;;;;;;;;;;
414;Total male and female;15 years;Standard errors;2008;;;;;;;;;;
415;Total male and female;15 years;Standard errors;2009;;;;;;;;;;
416;Total male and female;15 years;Standard errors;2010;;;;;;;;;;
417;Total male and female;15 years;Standard errors;2011;;;;;;;;;;
418;Total male and female;15 years;Standard errors;2012;;;;;;;;;;
419;Total male and female;15 years;Standard errors;2013;;;;;;;;;;
420;Total male and female;15 years;Standard errors;2014;;;;;;;;;;
421;Total male and female;15 years;Standard errors;2015;;;;;;;;;;
422;Total male and female;15 years;Standard errors;2016;;;;;;;;;;
423;Total male and female;15 years;Standard errors;2017;;;;;;;;;;
424;Total male and female;15 years;Standard errors;2018;;0.3;0.3;0.2;0.3;0.3;0.4;0.3;0.3;0.2
425;Total male and female;15 years;Standard errors;2019;;0.3;0.2;0.2;0.3;0.3;0.4;0.2;0.3;0.2
426;Total male and female;15 years;Standard errors;2020;;0.3;0.3;0.2;0.3;0.4;0.4;0.3;0.3;0.2
427;Total male and female;15 years;Standard errors;2021;;0.3;0.3;0.2;0.4;0.4;0.4;0.3;0.4;0.2
428;Total male and female;15 years;Standard errors;2022;;0.3;0.2;0.2;0.3;0.3;0.3;0.3;0.3;0.2
429;Total male and female;15 years;Standard errors;2023;;0.3;0.2;0.2;0.3;0.3;0.4;0.3;0.3;0.2
430;Total male and female;20 years;Percentage/average;1981;;;;;;;;;;
431;Total male and female;20 years;Percentage/average;1982;;;;;;;;;;
432;Total male and female;20 years;Percentage/average;1983;;;;;;;;;;
433;Total male and female;20 years;Percentage/average;1984;;;;;;;;;;
434;Total male and female;20 years;Percentage/average;1985;;;;;;;;;;
435;Total male and female;20 years;Percentage/average;1986;;;;;;;;;;
436;Total male and female;20 years;Percentage/average;1987;;;;;;;;;;
437;Total male and female;20 years;Percentage/average;1988;;;;;;;;;;
438;Total male and female;20 years;Percentage/average;1989;;;;;;;;;;
439;Total male and female;20 years;Percentage/average;1990;;;;;;;;;;
440;Total male and female;20 years;Percentage/average;1991;;;;;;;;;;
441;Total male and female;20 years;Percentage/average;1992;;;;;;;;;;
442;Total male and female;20 years;Percentage/average;1993;;;;;;;;;;
443;Total male and female;20 years;Percentage/average;1994;;;;;;;;;;
444;Total male and female;20 years;Percentage/average;1995;;;;;;;;;;
445;Total male and female;20 years;Percentage/average;1996;;;;;;;;;;
446;Total male and female;20 years;Percentage/average;1997;;;;;;;;;;
447;Total male and female;20 years;Percentage/average;1998;;;;;;;;;;
448;Total male and female;20 years;Percentage/average;1999;;;;;;;;;;
449;Total male and female;20 years;Percentage/average;2000;;;;;;;;;;
450;Total male and female;20 years;Percentage/average;2001;;;;;;;;;;
451;Total male and female;20 years;Percentage/average;2002;;;;;;;;;;
452;Total male and female;20 years;Percentage/average;2003;;;;;;;;;;
453;Total male and female;20 years;Percentage/average;2004;;;;;;;;;;
454;Total male and female;20 years;Percentage/average;2005;;;;;;;;;;
455;Total male and female;20 years;Percentage/average;2006;;;;;;;;;;
456;Total male and female;20 years;Percentage/average;2007;;;;;;;;;;
457;Total male and female;20 years;Percentage/average;2008;;;;;;;;;;
458;Total male and female;20 years;Percentage/average;2009;;;;;;;;;;
459;Total male and female;20 years;Percentage/average;2010;;;;;;;;;;
460;Total male and female;20 years;Percentage/average;2011;;;;;;;;;;
461;Total male and female;20 years;Percentage/average;2012;;;;;;;;;;
462;Total male and female;20 years;Percentage/average;2013;;;;;;;;;;
463;Total male and female;20 years;Percentage/average;2014;;;;;;;;;;
464;Total male and female;20 years;Percentage/average;2015;;;;;;;;;;
465;Total male and female;20 years;Percentage/average;2016;;;;;;;;;;
466;Total male and female;20 years;Percentage/average;2017;;;;;;;;;;
467;Total male and female;20 years;Percentage/average;2018;62.71;45.5;53.0;56.5;38.7;27.5;30.7;54.8;40.6;57.9
468;Total male and female;20 years;Percentage/average;2019;62.99;46.2;53.3;56.8;38.5;27.1;30.0;55.5;40.8;58.5
469;Total male and female;20 years;Percentage/average;2020;62.33;48.0;53.5;56.7;37.8;27.2;30.1;54.6;41.2;58.5
470;Total male and female;20 years;Percentage/average;2021;62.26;47.1;54.0;57.1;36.9;27.5;30.3;52.9;41.0;58.8
471;Total male and female;20 years;Percentage/average;2022;62.55;44.8;52.8;56.4;36.7;27.2;30.1;53.9;40.2;57.9
472;Total male and female;20 years;Percentage/average;2023;62.79;45.2;52.9;56.6;36.5;26.9;29.6;54.1;40.0;58.3
473;Total male and female;20 years;Standard errors;1981;;;;;;;;;;
474;Total male and female;20 years;Standard errors;1982;;;;;;;;;;
475;Total male and female;20 years;Standard errors;1983;;;;;;;;;;
476;Total male and female;20 years;Standard errors;1984;;;;;;;;;;
477;Total male and female;20 years;Standard errors;1985;;;;;;;;;;
478;Total male and female;20 years;Standard errors;1986;;;;;;;;;;
479;Total male and female;20 years;Standard errors;1987;;;;;;;;;;
480;Total male and female;20 years;Standard errors;1988;;;;;;;;;;
481;Total male and female;20 years;Standard errors;1989;;;;;;;;;;
482;Total male and female;20 years;Standard errors;1990;;;;;;;;;;
483;Total male and female;20 years;Standard errors;1991;;;;;;;;;;
484;Total male and female;20 years;Standard errors;1992;;;;;;;;;;
485;Total male and female;20 years;Standard errors;1993;;;;;;;;;;
486;Total male and female;20 years;Standard errors;1994;;;;;;;;;;
487;Total male and female;20 years;Standard errors;1995;;;;;;;;;;
488;Total male and female;20 years;Standard errors;1996;;;;;;;;;;
489;Total male and female;20 years;Standard errors;1997;;;;;;;;;;
490;Total male and female;20 years;Standard errors;1998;;;;;;;;;;
491;Total male and female;20 years;Standard errors;1999;;;;;;;;;;
492;Total male and female;20 years;Standard errors;2000;;;;;;;;;;
493;Total male and female;20 years;Standard errors;2001;;;;;;;;;;
494;Total male and female;20 years;Standard errors;2002;;;;;;;;;;
495;Total male and female;20 years;Standard errors;2003;;;;;;;;;;
496;Total male and female;20 years;Standard errors;2004;;;;;;;;;;
497;Total male and female;20 years;Standard errors;2005;;;;;;;;;;
498;Total male and female;20 years;Standard errors;2006;;;;;;;;;;
499;Total male and female;20 years;Standard errors;2007;;;;;;;;;;
500;Total male and female;20 years;Standard errors;2008;;;;;;;;;;
501;Total male and female;20 years;Standard errors;2009;;;;;;;;;;
502;Total male and female;20 years;Standard errors;2010;;;;;;;;;;
503;Total male and female;20 years;Standard errors;2011;;;;;;;;;;
504;Total male and female;20 years;Standard errors;2012;;;;;;;;;;
505;Total male and female;20 years;Standard errors;2013;;;;;;;;;;
506;Total male and female;20 years;Standard errors;2014;;;;;;;;;;
507;Total male and female;20 years;Standard errors;2015;;;;;;;;;;
508;Total male and female;20 years;Standard errors;2016;;;;;;;;;;
509;Total male and female;20 years;Standard errors;2017;;;;;;;;;;
510;Total male and female;20 years;Standard errors;2018;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
511;Total male and female;20 years;Standard errors;2019;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
512;Total male and female;20 years;Standard errors;2020;;0.3;0.2;0.2;0.3;0.3;0.4;0.3;0.3;0.2
513;Total male and female;20 years;Standard errors;2021;;0.3;0.2;0.2;0.3;0.4;0.4;0.3;0.3;0.2
514;Total male and female;20 years;Standard errors;2022;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
515;Total male and female;20 years;Standard errors;2023;;0.3;0.2;0.2;0.3;0.3;0.3;0.3;0.3;0.2
516;Total male and female;25 years;Percentage/average;1981;;;;;;;;;;
517;Total male and female;25 years;Percentage/average;1982;;;;;;;;;;
518;Total male and female;25 years;Percentage/average;1983;;;;;;;;;;
519;Total male and female;25 years;Percentage/average;1984;;;;;;;;;;
520;Total male and female;25 years;Percentage/average;1985;;;;;;;;;;
521;Total male and female;25 years;Percentage/average;1986;;;;;;;;;;
522;Total male and female;25 years;Percentage/average;1987;;;;;;;;;;
523;Total male and female;25 years;Percentage/average;1988;;;;;;;;;;
524;Total male and female;25 years;Percentage/average;1989;;;;;;;;;;
525;Total male and female;25 years;Percentage/average;1990;;;;;;;;;;
526;Total male and female;25 years;Percentage/average;1991;;;;;;;;;;
527;Total male and female;25 years;Percentage/average;1992;;;;;;;;;;
528;Total male and female;25 years;Percentage/average;1993;;;;;;;;;;
529;Total male and female;25 years;Percentage/average;1994;;;;;;;;;;
530;Total male and female;25 years;Percentage/average;1995;;;;;;;;;;
531;Total male and female;25 years;Percentage/average;1996;;;;;;;;;;
532;Total male and female;25 years;Percentage/average;1997;;;;;;;;;;
533;Total male and female;25 years;Percentage/average;1998;;;;;;;;;;
534;Total male and female;25 years;Percentage/average;1999;;;;;;;;;;
535;Total male and female;25 years;Percentage/average;2000;;;;;;;;;;
536;Total male and female;25 years;Percentage/average;2001;;;;;;;;;;
537;Total male and female;25 years;Percentage/average;2002;;;;;;;;;;
538;Total male and female;25 years;Percentage/average;2003;;;;;;;;;;
539;Total male and female;25 years;Percentage/average;2004;;;;;;;;;;
540;Total male and female;25 years;Percentage/average;2005;;;;;;;;;;
541;Total male and female;25 years;Percentage/average;2006;;;;;;;;;;
542;Total male and female;25 years;Percentage/average;2007;;;;;;;;;;
543;Total male and female;25 years;Percentage/average;2008;;;;;;;;;;
544;Total male and female;25 years;Percentage/average;2009;;;;;;;;;;
545;Total male and female;25 years;Percentage/average;2010;;;;;;;;;;
546;Total male and female;25 years;Percentage/average;2011;;;;;;;;;;
547;Total male and female;25 years;Percentage/average;2012;;;;;;;;;;
548;Total male and female;25 years;Percentage/average;2013;;;;;;;;;;
549;Total male and female;25 years;Percentage/average;2014;;;;;;;;;;
550;Total male and female;25 years;Percentage/average;2015;;;;;;;;;;
551;Total male and female;25 years;Percentage/average;2016;;;;;;;;;;
552;Total male and female;25 years;Percentage/average;2017;;;;;;;;;;
553;Total male and female;25 years;Percentage/average;2018;57.79;41.2;48.2;51.7;34.5;23.9;27.0;50.5;36.7;53.1
554;Total male and female;25 years;Percentage/average;2019;58.08;41.9;48.5;51.9;34.4;23.5;26.4;51.3;36.6;53.7
555;Total male and female;25 years;Percentage/average;2020;57.41;43.6;48.7;51.9;33.9;23.6;26.4;50.4;36.9;53.7
556;Total male and female;25 years;Percentage/average;2021;57.35;43.0;49.2;52.2;33.0;24.2;27.0;49.1;37.0;54.0
557;Total male and female;25 years;Percentage/average;2022;57.65;40.9;48.0;51.5;32.8;23.8;26.6;50.0;36.1;53.1
558;Total male and female;25 years;Percentage/average;2023;57.88;41.2;48.2;51.8;32.6;23.5;26.2;50.1;36.0;53.4
559;Total male and female;25 years;Standard errors;1981;;;;;;;;;;
560;Total male and female;25 years;Standard errors;1982;;;;;;;;;;
561;Total male and female;25 years;Standard errors;1983;;;;;;;;;;
562;Total male and female;25 years;Standard errors;1984;;;;;;;;;;
563;Total male and female;25 years;Standard errors;1985;;;;;;;;;;
564;Total male and female;25 years;Standard errors;1986;;;;;;;;;;
565;Total male and female;25 years;Standard errors;1987;;;;;;;;;;
566;Total male and female;25 years;Standard errors;1988;;;;;;;;;;
567;Total male and female;25 years;Standard errors;1989;;;;;;;;;;
568;Total male and female;25 years;Standard errors;1990;;;;;;;;;;
569;Total male and female;25 years;Standard errors;1991;;;;;;;;;;
570;Total male and female;25 years;Standard errors;1992;;;;;;;;;;
571;Total male and female;25 years;Standard errors;1993;;;;;;;;;;
572;Total male and female;25 years;Standard errors;1994;;;;;;;;;;
573;Total male and female;25 years;Standard errors;1995;;;;;;;;;;
574;Total male and female;25 years;Standard errors;1996;;;;;;;;;;
575;Total male and female;25 years;Standard errors;1997;;;;;;;;;;
576;Total male and female;25 years;Standard errors;1998;;;;;;;;;;
577;Total male and female;25 years;Standard errors;1999;;;;;;;;;;
578;Total male and female;25 years;Standard errors;2000;;;;;;;;;;
579;Total male and female;25 years;Standard errors;2001;;;;;;;;;;
580;Total male and female;25 years;Standard errors;2002;;;;;;;;;;
581;Total male and female;25 years;Standard errors;2003;;;;;;;;;;
582;Total male and female;25 years;Standard errors;2004;;;;;;;;;;
583;Total male and female;25 years;Standard errors;2005;;;;;;;;;;
584;Total male and female;25 years;Standard errors;2006;;;;;;;;;;
585;Total male and female;25 years;Standard errors;2007;;;;;;;;;;
586;Total male and female;25 years;Standard errors;2008;;;;;;;;;;
587;Total male and female;25 years;Standard errors;2009;;;;;;;;;;
588;Total male and female;25 years;Standard errors;2010;;;;;;;;;;
589;Total male and female;25 years;Standard errors;2011;;;;;;;;;;
590;Total male and female;25 years;Standard errors;2012;;;;;;;;;;
591;Total male and female;25 years;Standard errors;2013;;;;;;;;;;
592;Total male and female;25 years;Standard errors;2014;;;;;;;;;;
593;Total male and female;25 years;Standard errors;2015;;;;;;;;;;
594;Total male and female;25 years;Standard errors;2016;;;;;;;;;;
595;Total male and female;25 years;Standard errors;2017;;;;;;;;;;
596;Total male and female;25 years;Standard errors;2018;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
597;Total male and female;25 years;Standard errors;2019;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
598;Total male and female;25 years;Standard errors;2020;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
599;Total male and female;25 years;Standard errors;2021;;0.3;0.2;0.2;0.3;0.3;0.3;0.3;0.3;0.2
600;Total male and female;25 years;Standard errors;2022;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
601;Total male and female;25 years;Standard errors;2023;;0.3;0.2;0.2;0.3;0.3;0.3;0.2;0.3;0.2
602;Total male and female;30 years;Percentage/average;1981;;;;;;;;;;
603;Total male and female;30 years;Percentage/average;1982;;;;;;;;;;
604;Total male and female;30 years;Percentage/average;1983;;;;;;;;;;
605;Total male and female;30 years;Percentage/average;1984;;;;;;;;;;
606;Total male and female;30 years;Percentage/average;1985;;;;;;;;;;
607;Total male and female;30 years;Percentage/average;1986;;;;;;;;;;
608;Total male and female;30 years;Percentage/average;1987;;;;;;;;;;
609;Total male and female;30 years;Percentage/average;1988;;;;;;;;;;
610;Total male and female;30 years;Percentage/average;1989;;;;;;;;;;
611;Total male and female;30 years;Percentage/average;1990;;;;;;;;;;
612;Total male and female;30 years;Percentage/average;1991;;;;;;;;;;
613;Total male and female;30 years;Percentage/average;1992;;;;;;;;;;
614;Total male and female;30 years;Percentage/average;1993;;;;;;;;;;
615;Total male and female;30 years;Percentage/average;1994;;;;;;;;;;
616;Total male and female;30 years;Percentage/average;1995;;;;;;;;;;
617;Total male and female;30 years;Percentage/average;1996;;;;;;;;;;
618;Total male and female;30 years;Percentage/average;1997;;;;;;;;;;
619;Total male and female;30 years;Percentage/average;1998;;;;;;;;;;
620;Total male and female;30 years;Percentage/average;1999;;;;;;;;;;
621;Total male and female;30 years;Percentage/average;2000;;;;;;;;;;
622;Total male and female;30 years;Percentage/average;2001;;;;;;;;;;
623;Total male and female;30 years;Percentage/average;2002;;;;;;;;;;
624;Total male and female;30 years;Percentage/average;2003;;;;;;;;;;
625;Total male and female;30 years;Percentage/average;2004;;;;;;;;;;
626;Total male and female;30 years;Percentage/average;2005;;;;;;;;;;
627;Total male and female;30 years;Percentage/average;2006;;;;;;;;;;
628;Total male and female;30 years;Percentage/average;2007;;;;;;;;;;
629;Total male and female;30 years;Percentage/average;2008;;;;;;;;;;
