ID;EarningGroups;SectorBranchesSIC2008;CarribeanNetherlands;Periods;JobsOfEmployees_1;AverageAnnualWage_2
1182;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Saba;2017;;
1183;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Saba;2018;;
1184;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Saba;2019;;
1185;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Saba;2020;;
1186;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Saba;2021;;
1187;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Saba;2022;;
1188;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Unclassifiable;2011;;
1189;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Unclassifiable;2012;;
1190;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Unclassifiable;2013;;
1191;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Unclassifiable;2014;;
1192;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Unclassifiable;2015;;
1193;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Unclassifiable;2016;;
1194;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Unclassifiable;2017;;
1195;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Unclassifiable;2018;;
1196;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Unclassifiable;2019;;
1197;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Unclassifiable;2020;;
1198;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Unclassifiable;2021;;
1199;Gross annual wage: less than 5,000 do...;B Mining and quarrying ;Unclassifiable;2022;;
1200;Gross annual wage: less than 5,000 do...;C Manufacturing;Caribbean Netherlands;2011;40.0;2110.0
1201;Gross annual wage: less than 5,000 do...;C Manufacturing;Caribbean Netherlands;2012;40.0;2040.0
1202;Gross annual wage: less than 5,000 do...;C Manufacturing;Caribbean Netherlands;2013;50.0;2290.0
1203;Gross annual wage: less than 5,000 do...;C Manufacturing;Caribbean Netherlands;2014;40.0;2730.0
1204;Gross annual wage: less than 5,000 do...;C Manufacturing;Caribbean Netherlands;2015;20.0;2140.0
1205;Gross annual wage: less than 5,000 do...;C Manufacturing;Caribbean Netherlands;2016;20.0;1900.0
1206;Gross annual wage: less than 5,000 do...;C Manufacturing;Caribbean Netherlands;2017;20.0;2870.0
1207;Gross annual wage: less than 5,000 do...;C Manufacturing;Caribbean Netherlands;2018;20.0;2510.0
1208;Gross annual wage: less than 5,000 do...;C Manufacturing;Caribbean Netherlands;2019;20.0;2770.0
1209;Gross annual wage: less than 5,000 do...;C Manufacturing;Caribbean Netherlands;2020;10.0;2770.0
1210;Gross annual wage: less than 5,000 do...;C Manufacturing;Caribbean Netherlands;2021;10.0;2960.0
1211;Gross annual wage: less than 5,000 do...;C Manufacturing;Caribbean Netherlands;2022;20.0;2400.0
1212;Gross annual wage: less than 5,000 do...;C Manufacturing;Bonaire;2011;40.0;2200.0
1213;Gross annual wage: less than 5,000 do...;C Manufacturing;Bonaire;2012;30.0;2220.0
1214;Gross annual wage: less than 5,000 do...;C Manufacturing;Bonaire;2013;20.0;1930.0
1215;Gross annual wage: less than 5,000 do...;C Manufacturing;Bonaire;2014;20.0;3050.0
1216;Gross annual wage: less than 5,000 do...;C Manufacturing;Bonaire;2015;20.0;2120.0
1217;Gross annual wage: less than 5,000 do...;C Manufacturing;Bonaire;2016;20.0;2000.0
1218;Gross annual wage: less than 5,000 do...;C Manufacturing;Bonaire;2017;20.0;2870.0
1219;Gross annual wage: less than 5,000 do...;C Manufacturing;Bonaire;2018;20.0;2500.0
1220;Gross annual wage: less than 5,000 do...;C Manufacturing;Bonaire;2019;10.0;2470.0
1221;Gross annual wage: less than 5,000 do...;C Manufacturing;Bonaire;2020;;
1222;Gross annual wage: less than 5,000 do...;C Manufacturing;Bonaire;2021;10.0;3420.0
1223;Gross annual wage: less than 5,000 do...;C Manufacturing;Bonaire;2022;10.0;2190.0
1224;Gross annual wage: less than 5,000 do...;C Manufacturing;St. Eustatius;2011;10.0;1560.0
1225;Gross annual wage: less than 5,000 do...;C Manufacturing;St. Eustatius;2012;20.0;1720.0
1226;Gross annual wage: less than 5,000 do...;C Manufacturing;St. Eustatius;2013;30.0;2630.0
1227;Gross annual wage: less than 5,000 do...;C Manufacturing;St. Eustatius;2014;20.0;2390.0
1228;Gross annual wage: less than 5,000 do...;C Manufacturing;St. Eustatius;2015;;
1229;Gross annual wage: less than 5,000 do...;C Manufacturing;St. Eustatius;2016;;
1230;Gross annual wage: less than 5,000 do...;C Manufacturing;St. Eustatius;2017;;
1231;Gross annual wage: less than 5,000 do...;C Manufacturing;St. Eustatius;2018;;
1232;Gross annual wage: less than 5,000 do...;C Manufacturing;St. Eustatius;2019;10.0;3410.0
1233;Gross annual wage: less than 5,000 do...;C Manufacturing;St. Eustatius;2020;;
1234;Gross annual wage: less than 5,000 do...;C Manufacturing;St. Eustatius;2021;;
1235;Gross annual wage: less than 5,000 do...;C Manufacturing;St. Eustatius;2022;;
1236;Gross annual wage: less than 5,000 do...;C Manufacturing;Saba;2011;;
1237;Gross annual wage: less than 5,000 do...;C Manufacturing;Saba;2012;;
1238;Gross annual wage: less than 5,000 do...;C Manufacturing;Saba;2013;;
1239;Gross annual wage: less than 5,000 do...;C Manufacturing;Saba;2014;;
1240;Gross annual wage: less than 5,000 do...;C Manufacturing;Saba;2015;;
1241;Gross annual wage: less than 5,000 do...;C Manufacturing;Saba;2016;;
1242;Gross annual wage: less than 5,000 do...;C Manufacturing;Saba;2017;;
1243;Gross annual wage: less than 5,000 do...;C Manufacturing;Saba;2018;;
1244;Gross annual wage: less than 5,000 do...;C Manufacturing;Saba;2019;;
1245;Gross annual wage: less than 5,000 do...;C Manufacturing;Saba;2020;;
1246;Gross annual wage: less than 5,000 do...;C Manufacturing;Saba;2021;;
1247;Gross annual wage: less than 5,000 do...;C Manufacturing;Saba;2022;;
1248;Gross annual wage: less than 5,000 do...;C Manufacturing;Unclassifiable;2011;;
1249;Gross annual wage: less than 5,000 do...;C Manufacturing;Unclassifiable;2012;;
1250;Gross annual wage: less than 5,000 do...;C Manufacturing;Unclassifiable;2013;;
1251;Gross annual wage: less than 5,000 do...;C Manufacturing;Unclassifiable;2014;;
1252;Gross annual wage: less than 5,000 do...;C Manufacturing;Unclassifiable;2015;;
1253;Gross annual wage: less than 5,000 do...;C Manufacturing;Unclassifiable;2016;;
1254;Gross annual wage: less than 5,000 do...;C Manufacturing;Unclassifiable;2017;;
1255;Gross annual wage: less than 5,000 do...;C Manufacturing;Unclassifiable;2018;;
1256;Gross annual wage: less than 5,000 do...;C Manufacturing;Unclassifiable;2019;;
1257;Gross annual wage: less than 5,000 do...;C Manufacturing;Unclassifiable;2020;;
1258;Gross annual wage: less than 5,000 do...;C Manufacturing;Unclassifiable;2021;;
1259;Gross annual wage: less than 5,000 do...;C Manufacturing;Unclassifiable;2022;;
1260;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Caribbean Netherlands;2011;;
1261;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Caribbean Netherlands;2012;;
1262;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Caribbean Netherlands;2013;;
1263;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Caribbean Netherlands;2014;;
1264;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Caribbean Netherlands;2015;;
1265;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Caribbean Netherlands;2016;;
1266;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Caribbean Netherlands;2017;;
1267;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Caribbean Netherlands;2018;;
1268;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Caribbean Netherlands;2019;;
1269;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Caribbean Netherlands;2020;;
1270;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Caribbean Netherlands;2021;;
1271;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Caribbean Netherlands;2022;;
1272;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Bonaire;2011;;
1273;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Bonaire;2012;;
1274;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Bonaire;2013;;
1275;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Bonaire;2014;;
1276;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Bonaire;2015;;
1277;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Bonaire;2016;;
1278;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Bonaire;2017;;
1279;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Bonaire;2018;;
1280;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Bonaire;2019;;
1281;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Bonaire;2020;;
1282;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Bonaire;2021;;
1283;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Bonaire;2022;;
1284;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;St. Eustatius;2011;;
1285;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;St. Eustatius;2012;;
1286;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;St. Eustatius;2013;;
1287;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;St. Eustatius;2014;;
1288;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;St. Eustatius;2015;;
1289;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;St. Eustatius;2016;;
1290;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;St. Eustatius;2017;;
1291;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;St. Eustatius;2018;;
1292;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;St. Eustatius;2019;;
1293;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;St. Eustatius;2020;;
1294;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;St. Eustatius;2021;;
1295;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;St. Eustatius;2022;;
1296;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Saba;2011;;
1297;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Saba;2012;;
1298;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Saba;2013;;
1299;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Saba;2014;;
1300;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Saba;2015;;
1301;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Saba;2016;;
1302;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Saba;2017;;
1303;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Saba;2018;;
1304;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Saba;2019;;
1305;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Saba;2020;;
1306;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Saba;2021;;
1307;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Saba;2022;;
1308;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Unclassifiable;2011;;
1309;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Unclassifiable;2012;;
1310;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Unclassifiable;2013;;
1311;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Unclassifiable;2014;;
1312;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Unclassifiable;2015;;
1313;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Unclassifiable;2016;;
1314;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Unclassifiable;2017;;
1315;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Unclassifiable;2018;;
1316;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Unclassifiable;2019;;
1317;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Unclassifiable;2020;;
1318;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Unclassifiable;2021;;
1319;Gross annual wage: less than 5,000 do...;D-E Energy, water, waste treatment;Unclassifiable;2022;;
1320;Gross annual wage: less than 5,000 do...;F Construction;Caribbean Netherlands;2011;40.0;2720.0
1321;Gross annual wage: less than 5,000 do...;F Construction;Caribbean Netherlands;2012;40.0;2280.0
1322;Gross annual wage: less than 5,000 do...;F Construction;Caribbean Netherlands;2013;50.0;2370.0
1323;Gross annual wage: less than 5,000 do...;F Construction;Caribbean Netherlands;2014;60.0;2620.0
1324;Gross annual wage: less than 5,000 do...;F Construction;Caribbean Netherlands;2015;60.0;2330.0
1325;Gross annual wage: less than 5,000 do...;F Construction;Caribbean Netherlands;2016;50.0;2230.0
1326;Gross annual wage: less than 5,000 do...;F Construction;Caribbean Netherlands;2017;60.0;2300.0
1327;Gross annual wage: less than 5,000 do...;F Construction;Caribbean Netherlands;2018;70.0;2640.0
1328;Gross annual wage: less than 5,000 do...;F Construction;Caribbean Netherlands;2019;50.0;2000.0
1329;Gross annual wage: less than 5,000 do...;F Construction;Caribbean Netherlands;2020;50.0;2960.0
1330;Gross annual wage: less than 5,000 do...;F Construction;Caribbean Netherlands;2021;80.0;2340.0
1331;Gross annual wage: less than 5,000 do...;F Construction;Caribbean Netherlands;2022;50.0;2560.0
1332;Gross annual wage: less than 5,000 do...;F Construction;Bonaire;2011;30.0;3010.0
1333;Gross annual wage: less than 5,000 do...;F Construction;Bonaire;2012;30.0;2330.0
1334;Gross annual wage: less than 5,000 do...;F Construction;Bonaire;2013;50.0;2270.0
1335;Gross annual wage: less than 5,000 do...;F Construction;Bonaire;2014;60.0;2540.0
1336;Gross annual wage: less than 5,000 do...;F Construction;Bonaire;2015;60.0;2290.0
1337;Gross annual wage: less than 5,000 do...;F Construction;Bonaire;2016;40.0;2160.0
1338;Gross annual wage: less than 5,000 do...;F Construction;Bonaire;2017;50.0;2120.0
1339;Gross annual wage: less than 5,000 do...;F Construction;Bonaire;2018;50.0;2690.0
1340;Gross annual wage: less than 5,000 do...;F Construction;Bonaire;2019;50.0;1960.0
1341;Gross annual wage: less than 5,000 do...;F Construction;Bonaire;2020;30.0;2600.0
1342;Gross annual wage: less than 5,000 do...;F Construction;Bonaire;2021;60.0;2320.0
1343;Gross annual wage: less than 5,000 do...;F Construction;Bonaire;2022;30.0;2600.0
1344;Gross annual wage: less than 5,000 do...;F Construction;St. Eustatius;2011;10.0;1980.0
1345;Gross annual wage: less than 5,000 do...;F Construction;St. Eustatius;2012;10.0;2060.0
1346;Gross annual wage: less than 5,000 do...;F Construction;St. Eustatius;2013;;
