ID;NACERev1;Period;Sales_1;Prices_2;Volume_3;Sales_4;Prices_5;Volume_6
307;5211 + 522 Food, beverages and tobacco;1998 February;96.0;103.0;94.0;3.6;2.4;1.2
308;5211 + 522 Food, beverages and tobacco;1998 March;103.0;104.0;99.0;0.3;3.4;-3.0
309;5211 + 522 Food, beverages and tobacco;1998 1st quarter;103.0;103.0;100.0;3.9;2.3;1.6
310;5211 + 522 Food, beverages and tobacco;1998 April;108.0;104.0;104.0;6.7;3.6;2.9
311;5211 + 522 Food, beverages and tobacco;1998 May;114.0;104.0;109.0;-0.4;2.7;-3.1
312;5211 + 522 Food, beverages and tobacco;1998 June;107.0;104.0;103.0;6.2;2.2;3.9
313;5211 + 522 Food, beverages and tobacco;1998 2nd quarter;110.0;104.0;105.0;3.9;2.9;1.1
314;5211 + 522 Food, beverages and tobacco;1998 July;112.0;104.0;108.0;5.5;2.8;2.6
315;5211 + 522 Food, beverages and tobacco;1998 August;105.0;104.0;101.0;-3.5;2.3;-5.7
316;5211 + 522 Food, beverages and tobacco;1998 September;104.0;104.0;100.0;2.2;2.1;0.2
317;5211 + 522 Food, beverages and tobacco;1998 3rd quarter;107.0;104.0;103.0;1.4;2.4;-1.0
318;5211 + 522 Food, beverages and tobacco;1998 October;115.0;104.0;110.0;4.1;2.3;1.8
319;5211 + 522 Food, beverages and tobacco;1998 November;104.0;105.0;99.0;-0.4;2.0;-2.3
320;5211 + 522 Food, beverages and tobacco;1998 December;125.0;106.0;119.0;6.2;3.2;2.9
321;5211 + 522 Food, beverages and tobacco;1998 4th quarter;115.0;105.0;109.0;3.4;2.5;0.9
322;5211 + 522 Food, beverages and tobacco;1998;109.0;104.0;104.0;3.2;2.5;0.6
323;5211 + 522 Food, beverages and tobacco;1999 January;104.0;106.0;98.0;-5.8;3.5;-8.9
324;5211 + 522 Food, beverages and tobacco;1999 February;98.0;106.0;92.0;2.0;3.3;-1.3
325;5211 + 522 Food, beverages and tobacco;1999 March;108.0;107.0;101.0;5.0;3.0;1.9
326;5211 + 522 Food, beverages and tobacco;1999 1st quarter;104.0;107.0;97.0;0.2;3.3;-3.0
327;5211 + 522 Food, beverages and tobacco;1999 April;113.0;107.0;106.0;4.2;2.1;2.0
328;5211 + 522 Food, beverages and tobacco;1999 May;112.0;107.0;105.0;-1.5;2.1;-3.5
329;5211 + 522 Food, beverages and tobacco;1999 June;111.0;106.0;105.0;3.6;1.8;1.8
330;5211 + 522 Food, beverages and tobacco;1999 2nd quarter;112.0;106.0;105.0;2.0;2.0;0.0
331;5211 + 522 Food, beverages and tobacco;1999 July;117.0;104.0;112.0;4.4;0.2;4.2
332;5211 + 522 Food, beverages and tobacco;1999 August;104.0;105.0;99.0;-1.0;1.0;-2.0
333;5211 + 522 Food, beverages and tobacco;1999 September;108.0;105.0;103.0;4.1;0.6;3.4
334;5211 + 522 Food, beverages and tobacco;1999 3rd quarter;110.0;105.0;105.0;2.5;0.6;1.9
335;5211 + 522 Food, beverages and tobacco;1999 October;111.0;105.0;106.0;-3.8;0.4;-4.2
336;5211 + 522 Food, beverages and tobacco;1999 November;109.0;105.0;103.0;4.4;0.3;4.1
337;5211 + 522 Food, beverages and tobacco;1999 December;133.0;105.0;126.0;5.8;-0.4;6.3
338;5211 + 522 Food, beverages and tobacco;1999 4th quarter;117.0;105.0;112.0;2.2;0.1;2.1
339;5211 + 522 Food, beverages and tobacco;1999;111.0;106.0;105.0;1.8;1.5;0.3
340;5211 + 522 Food, beverages and tobacco;2000 January;100.0;105.0;95.0;-3.7;-0.7;-3.0
341;5211 + 522 Food, beverages and tobacco;2000 February;102.0;105.0;97.0;3.8;-1.4;5.3
342;5211 + 522 Food, beverages and tobacco;2000 March;115.0;106.0;109.0;6.8;-1.5;8.4
343;5211 + 522 Food, beverages and tobacco;2000 1st quarter;106.0;105.0;101.0;2.3;-1.2;3.5
344;5211 + 522 Food, beverages and tobacco;2000 April;112.0;106.0;105.0;-1.1;-0.5;-0.6
345;5211 + 522 Food, beverages and tobacco;2000 May;113.0;107.0;106.0;0.8;-0.1;0.9
346;5211 + 522 Food, beverages and tobacco;2000 June;118.0;107.0;111.0;6.6;0.8;5.8
347;5211 + 522 Food, beverages and tobacco;2000 2nd quarter;114.0;106.0;107.0;2.1;0.1;2.0
348;5211 + 522 Food, beverages and tobacco;2000 July;110.0;106.0;104.0;-6.1;1.8;-7.8
349;5211 + 522 Food, beverages and tobacco;2000 August;114.0;107.0;107.0;9.7;1.9;7.6
350;5211 + 522 Food, beverages and tobacco;2000 September;115.0;107.0;108.0;6.3;2.0;4.3
351;5211 + 522 Food, beverages and tobacco;2000 3rd quarter;113.0;107.0;106.0;3.0;1.9;1.0
352;5211 + 522 Food, beverages and tobacco;2000 October;109.0;108.0;102.0;-1.4;2.8;-4.1
353;5211 + 522 Food, beverages and tobacco;2000 November;116.0;108.0;107.0;6.8;2.8;3.9
354;5211 + 522 Food, beverages and tobacco;2000 December;135.0;108.0;125.0;1.8;3.0;-1.1
355;5211 + 522 Food, beverages and tobacco;2000 4th quarter;120.0;108.0;111.0;2.4;2.9;-0.5
356;5211 + 522 Food, beverages and tobacco;2000;113.0;107.0;106.0;2.4;0.9;1.5
357;5211 Food and beverages, gen. assortment;1994 January;86.0;97.0;88.0;;;
358;5211 Food and beverages, gen. assortment;1994 February;86.0;98.0;88.0;;;
359;5211 Food and beverages, gen. assortment;1994 March;97.0;99.0;98.0;;;
360;5211 Food and beverages, gen. assortment;1994 1st quarter;90.0;98.0;91.0;;;
361;5211 Food and beverages, gen. assortment;1994 April;100.0;98.0;101.0;;;
362;5211 Food and beverages, gen. assortment;1994 May;95.0;98.0;97.0;;;
363;5211 Food and beverages, gen. assortment;1994 June;97.0;99.0;98.0;;;
364;5211 Food and beverages, gen. assortment;1994 2nd quarter;97.0;98.0;99.0;;;
365;5211 Food and beverages, gen. assortment;1994 July;102.0;99.0;104.0;;;
366;5211 Food and beverages, gen. assortment;1994 August;95.0;99.0;95.0;;;
367;5211 Food and beverages, gen. assortment;1994 September;97.0;100.0;97.0;;;
368;5211 Food and beverages, gen. assortment;1994 3rd quarter;98.0;99.0;99.0;;;
369;5211 Food and beverages, gen. assortment;1994 October;94.0;101.0;93.0;;;
370;5211 Food and beverages, gen. assortment;1994 November;93.0;100.0;93.0;;;
371;5211 Food and beverages, gen. assortment;1994 December;111.0;100.0;111.0;;;
372;5211 Food and beverages, gen. assortment;1994 4th quarter;99.0;100.0;99.0;;;
373;5211 Food and beverages, gen. assortment;1994;96.0;99.0;97.0;;;
374;5211 Food and beverages, gen. assortment;1995 January;91.0;100.0;91.0;;;
375;5211 Food and beverages, gen. assortment;1995 February;90.0;101.0;89.0;;;
376;5211 Food and beverages, gen. assortment;1995 March;103.0;101.0;102.0;;;
377;5211 Food and beverages, gen. assortment;1995 1st quarter;95.0;101.0;94.0;5.3;2.7;2.6
378;5211 Food and beverages, gen. assortment;1995 April;98.0;101.0;97.0;;;
379;5211 Food and beverages, gen. assortment;1995 May;101.0;101.0;100.0;;;
380;5211 Food and beverages, gen. assortment;1995 June;105.0;101.0;105.0;;;
381;5211 Food and beverages, gen. assortment;1995 2nd quarter;101.0;101.0;101.0;3.6;1.8;1.7
382;5211 Food and beverages, gen. assortment;1995 July;101.0;99.0;102.0;;;
383;5211 Food and beverages, gen. assortment;1995 August;103.0;99.0;104.0;;;
384;5211 Food and beverages, gen. assortment;1995 September;101.0;99.0;102.0;;;
385;5211 Food and beverages, gen. assortment;1995 3rd quarter;102.0;99.0;103.0;3.3;-0.5;3.8
386;5211 Food and beverages, gen. assortment;1995 October;95.0;99.0;96.0;;;
387;5211 Food and beverages, gen. assortment;1995 November;100.0;99.0;100.0;;;
388;5211 Food and beverages, gen. assortment;1995 December;112.0;100.0;113.0;;;
389;5211 Food and beverages, gen. assortment;1995 4th quarter;102.0;99.0;103.0;2.4;-1.3;3.8
390;5211 Food and beverages, gen. assortment;1995;100.0;100.0;100.0;3.6;0.7;3.0
391;5211 Food and beverages, gen. assortment;1996 January;95.0;100.0;95.0;4.0;-0.2;4.3
392;5211 Food and beverages, gen. assortment;1996 February;96.0;100.0;97.0;7.6;-0.5;8.1
393;5211 Food and beverages, gen. assortment;1996 March;104.0;102.0;103.0;1.4;0.4;1.0
394;5211 Food and beverages, gen. assortment;1996 1st quarter;98.0;101.0;98.0;4.2;-0.1;4.3
395;5211 Food and beverages, gen. assortment;1996 April;100.0;102.0;98.0;2.2;0.4;1.7
396;5211 Food and beverages, gen. assortment;1996 May;110.0;100.0;110.0;9.3;-0.5;9.8
397;5211 Food and beverages, gen. assortment;1996 June;102.0;99.0;103.0;-2.9;-1.2;-1.7
398;5211 Food and beverages, gen. assortment;1996 2nd quarter;104.0;100.0;104.0;3.7;-0.4;4.2
399;5211 Food and beverages, gen. assortment;1996 July;102.0;99.0;103.0;0.4;-0.3;0.8
400;5211 Food and beverages, gen. assortment;1996 August;109.0;98.0;112.0;6.8;-1.2;8.1
401;5211 Food and beverages, gen. assortment;1996 September;95.0;98.0;96.0;-6.2;-0.7;-5.6
402;5211 Food and beverages, gen. assortment;1996 3rd quarter;102.0;98.0;104.0;0.4;-0.7;1.1
403;5211 Food and beverages, gen. assortment;1996 October;103.0;99.0;105.0;8.7;0.3;8.4
404;5211 Food and beverages, gen. assortment;1996 November;106.0;99.0;107.0;6.2;0.4;5.9
405;5211 Food and beverages, gen. assortment;1996 December;108.0;99.0;109.0;-3.7;0.7;-4.4
406;5211 Food and beverages, gen. assortment;1996 4th quarter;106.0;99.0;107.0;3.4;0.5;3.0
407;5211 Food and beverages, gen. assortment;1996;103.0;99.0;103.0;2.7;-0.5;3.2
408;5211 Food and beverages, gen. assortment;1997 January;105.0;101.0;103.0;10.2;1.8;8.3
409;5211 Food and beverages, gen. assortment;1997 February;94.0;101.0;93.0;-2.5;0.7;-3.2
410;5211 Food and beverages, gen. assortment;1997 March;104.0;100.0;103.0;-0.5;-1.1;0.7
411;5211 Food and beverages, gen. assortment;1997 1st quarter;101.0;101.0;100.0;2.4;0.5;1.9
412;5211 Food and beverages, gen. assortment;1997 April;104.0;101.0;103.0;3.7;-0.9;4.6
413;5211 Food and beverages, gen. assortment;1997 May;117.0;102.0;115.0;6.7;1.4;5.2
414;5211 Food and beverages, gen. assortment;1997 June;102.0;101.0;100.0;-0.2;2.2;-2.3
415;5211 Food and beverages, gen. assortment;1997 2nd quarter;108.0;101.0;106.0;3.4;0.9;2.5
416;5211 Food and beverages, gen. assortment;1997 July;108.0;101.0;107.0;6.4;2.1;4.3
417;5211 Food and beverages, gen. assortment;1997 August;112.0;101.0;111.0;2.8;3.6;-0.7
418;5211 Food and beverages, gen. assortment;1997 September;104.0;102.0;102.0;9.5;3.5;5.7
419;5211 Food and beverages, gen. assortment;1997 3rd quarter;108.0;101.0;107.0;6.2;3.1;3.1
420;5211 Food and beverages, gen. assortment;1997 October;113.0;102.0;111.0;9.8;3.1;6.4
421;5211 Food and beverages, gen. assortment;1997 November;107.0;103.0;104.0;0.7;4.1;-3.3
422;5211 Food and beverages, gen. assortment;1997 December;115.0;102.0;112.0;5.8;2.8;2.9
423;5211 Food and beverages, gen. assortment;1997 4th quarter;112.0;102.0;109.0;5.4;3.4;2.0
424;5211 Food and beverages, gen. assortment;1997;107.0;101.0;105.0;4.3;1.9;2.4
425;5211 Food and beverages, gen. assortment;1998 January;115.0;102.0;112.0;9.9;1.1;8.8
426;5211 Food and beverages, gen. assortment;1998 February;99.0;103.0;96.0;4.9;2.2;2.7
427;5211 Food and beverages, gen. assortment;1998 March;105.0;104.0;102.0;1.5;3.3;-1.7
428;5211 Food and beverages, gen. assortment;1998 1st quarter;106.0;103.0;103.0;5.5;2.2;3.2
429;5211 Food and beverages, gen. assortment;1998 April;111.0;104.0;107.0;7.6;3.5;3.9
430;5211 Food and beverages, gen. assortment;1998 May;118.0;104.0;113.0;0.5;2.6;-2.1
431;5211 Food and beverages, gen. assortment;1998 June;109.0;104.0;106.0;7.4;2.1;5.2
432;5211 Food and beverages, gen. assortment;1998 2nd quarter;113.0;104.0;108.0;4.9;2.7;2.1
433;5211 Food and beverages, gen. assortment;1998 July;116.0;104.0;111.0;6.7;2.5;4.0
434;5211 Food and beverages, gen. assortment;1998 August;108.0;103.0;105.0;-3.4;2.0;-5.3
435;5211 Food and beverages, gen. assortment;1998 September;106.0;103.0;103.0;2.4;1.7;0.7
436;5211 Food and beverages, gen. assortment;1998 3rd quarter;110.0;104.0;106.0;1.8;2.1;-0.3
437;5211 Food and beverages, gen. assortment;1998 October;119.0;104.0;115.0;5.0;1.9;3.0
438;5211 Food and beverages, gen. assortment;1998 November;106.0;104.0;102.0;-0.1;1.7;-1.8
439;5211 Food and beverages, gen. assortment;1998 December;123.0;105.0;118.0;7.0;2.8;4.0
440;5211 Food and beverages, gen. assortment;1998 4th quarter;116.0;104.0;111.0;4.0;2.1;1.9
441;5211 Food and beverages, gen. assortment;1998;111.0;104.0;107.0;4.0;2.3;1.7
442;5211 Food and beverages, gen. assortment;1999 January;109.0;106.0;103.0;-5.6;3.1;-8.5
443;5211 Food and beverages, gen. assortment;1999 February;102.0;106.0;96.0;3.0;3.1;-0.1
444;5211 Food and beverages, gen. assortment;1999 March;111.0;107.0;104.0;5.4;2.8;2.6
445;5211 Food and beverages, gen. assortment;1999 1st quarter;107.0;106.0;101.0;0.7;3.0;-2.2
446;5211 Food and beverages, gen. assortment;1999 April;117.0;106.0;111.0;5.5;1.9;3.5
447;5211 Food and beverages, gen. assortment;1999 May;116.0;106.0;110.0;-1.1;1.8;-2.9
448;5211 Food and beverages, gen. assortment;1999 June;114.0;105.0;108.0;3.8;1.6;2.2
449;5211 Food and beverages, gen. assortment;1999 2nd quarter;116.0;106.0;109.0;2.6;1.8;0.8
450;5211 Food and beverages, gen. assortment;1999 July;122.0;104.0;118.0;5.8;0.0;5.8
451;5211 Food and beverages, gen. assortment;1999 August;107.0;104.0;103.0;-0.8;0.7;-1.5
452;5211 Food and beverages, gen. assortment;1999 September;111.0;104.0;107.0;4.7;0.5;4.2
453;5211 Food and beverages, gen. assortment;1999 3rd quarter;114.0;104.0;109.0;3.3;0.4;2.9
454;5211 Food and beverages, gen. assortment;1999 October;115.0;104.0;110.0;-3.4;0.2;-3.6
455;5211 Food and beverages, gen. assortment;1999 November;112.0;105.0;107.0;5.0;0.2;4.7
456;5211 Food and beverages, gen. assortment;1999 December;132.0;104.0;127.0;7.1;-0.5;7.6
457;5211 Food and beverages, gen. assortment;1999 4th quarter;120.0;104.0;115.0;2.9;0.0;2.9
458;5211 Food and beverages, gen. assortment;1999;114.0;105.0;109.0;2.4;1.3;1.1
459;5211 Food and beverages, gen. assortment;2000 January;104.0;105.0;99.0;-4.0;-0.8;-3.3
460;5211 Food and beverages, gen. assortment;2000 February;106.0;104.0;101.0;4.1;-1.5;5.7
461;5211 Food and beverages, gen. assortment;2000 March;120.0;105.0;114.0;7.6;-1.6;9.4
462;5211 Food and beverages, gen. assortment;2000 1st quarter;110.0;105.0;105.0;2.6;-1.3;3.9
463;5211 Food and beverages, gen. assortment;2000 April;116.0;106.0;110.0;-1.0;-0.5;-0.5
464;5211 Food and beverages, gen. assortment;2000 May;117.0;106.0;110.0;0.3;-0.2;0.5
465;5211 Food and beverages, gen. assortment;2000 June;122.0;106.0;115.0;7.6;0.6;6.9
466;5211 Food and beverages, gen. assortment;2000 2nd quarter;118.0;106.0;112.0;2.2;0.0;2.3
467;5211 Food and beverages, gen. assortment;2000 July;114.0;106.0;108.0;-6.8;1.7;-8.3
468;5211 Food and beverages, gen. assortment;2000 August;118.0;106.0;111.0;9.5;1.8;7.5
469;5211 Food and beverages, gen. assortment;2000 September;120.0;106.0;113.0;7.5;1.8;5.5
470;5211 Food and beverages, gen. assortment;2000 3rd quarter;117.0;106.0;111.0;3.0;1.8;1.2
471;5211 Food and beverages, gen. assortment;2000 October;113.0;107.0;106.0;-1.4;2.7;-4.0
472;5211 Food and beverages, gen. assortment;2000 November;120.0;107.0;112.0;7.6;2.7;4.8
473;5211 Food and beverages, gen. assortment;2000 December;135.0;107.0;126.0;2.0;2.8;-0.8
474;5211 Food and beverages, gen. assortment;2000 4th quarter;123.0;107.0;114.0;2.7;2.7;-0.1
475;5211 Food and beverages, gen. assortment;2000;117.0;106.0;111.0;2.6;0.8;1.8
476;5221 Potatoes, vegetables and fruit;1994 January;;;;;;
477;5221 Potatoes, vegetables and fruit;1994 February;;;;;;
478;5221 Potatoes, vegetables and fruit;1994 March;;;;;;
479;5221 Potatoes, vegetables and fruit;1994 1st quarter;;;;;;
480;5221 Potatoes, vegetables and fruit;1994 April;;;;;;
481;5221 Potatoes, vegetables and fruit;1994 May;;;;;;
482;5221 Potatoes, vegetables and fruit;1994 June;;;;;;
483;5221 Potatoes, vegetables and fruit;1994 2nd quarter;;;;;;
484;5221 Potatoes, vegetables and fruit;1994 July;;;;;;
485;5221 Potatoes, vegetables and fruit;1994 August;;;;;;
486;5221 Potatoes, vegetables and fruit;1994 September;;;;;;
487;5221 Potatoes, vegetables and fruit;1994 3rd quarter;;;;;;
488;5221 Potatoes, vegetables and fruit;1994 October;;;;;;
489;5221 Potatoes, vegetables and fruit;1994 November;;;;;;
490;5221 Potatoes, vegetables and fruit;1994 December;;;;;;
491;5221 Potatoes, vegetables and fruit;1994 4th quarter;;;;;;
492;5221 Potatoes, vegetables and fruit;1994;104.0;98.0;105.0;;;
493;5221 Potatoes, vegetables and fruit;1995 January;;;;;;
494;5221 Potatoes, vegetables and fruit;1995 February;;;;;;
495;5221 Potatoes, vegetables and fruit;1995 March;;;;;;
496;5221 Potatoes, vegetables and fruit;1995 1st quarter;95.0;102.0;93.0;0.5;7.1;-6.1
497;5221 Potatoes, vegetables and fruit;1995 April;;;;;;
498;5221 Potatoes, vegetables and fruit;1995 May;;;;;;
499;5221 Potatoes, vegetables and fruit;1995 June;;;;;;
500;5221 Potatoes, vegetables and fruit;1995 2nd quarter;110.0;104.0;106.0;-4.1;3.8;-7.5
501;5221 Potatoes, vegetables and fruit;1995 July;;;;;;
502;5221 Potatoes, vegetables and fruit;1995 August;;;;;;
503;5221 Potatoes, vegetables and fruit;1995 September;;;;;;
504;5221 Potatoes, vegetables and fruit;1995 3rd quarter;100.0;96.0;103.0;-6.0;-2.5;-3.7
505;5221 Potatoes, vegetables and fruit;1995 October;;;;;;
506;5221 Potatoes, vegetables and fruit;1995 November;;;;;;
507;5221 Potatoes, vegetables and fruit;1995 December;;;;;;
508;5221 Potatoes, vegetables and fruit;1995 4th quarter;96.0;97.0;98.0;-4.7;-1.5;-3.4
509;5221 Potatoes, vegetables and fruit;1995;100.0;100.0;100.0;-3.8;1.6;-5.3
510;5221 Potatoes, vegetables and fruit;1996 January;;;;;;
511;5221 Potatoes, vegetables and fruit;1996 February;;;;;;
512;5221 Potatoes, vegetables and fruit;1996 March;;;;;;
513;5221 Potatoes, vegetables and fruit;1996 1st quarter;91.0;104.0;88.0;-3.6;2.4;-5.9
514;5221 Potatoes, vegetables and fruit;1996 April;;;;;;
515;5221 Potatoes, vegetables and fruit;1996 May;;;;;;
516;5221 Potatoes, vegetables and fruit;1996 June;;;;;;
517;5221 Potatoes, vegetables and fruit;1996 2nd quarter;102.0;102.0;101.0;-6.5;-1.2;-5.0
518;5221 Potatoes, vegetables and fruit;1996 July;;;;;;
519;5221 Potatoes, vegetables and fruit;1996 August;;;;;;
520;5221 Potatoes, vegetables and fruit;1996 September;;;;;;
521;5221 Potatoes, vegetables and fruit;1996 3rd quarter;92.0;93.0;98.0;-7.5;-2.8;-4.9
522;5221 Potatoes, vegetables and fruit;1996 October;;;;;;
523;5221 Potatoes, vegetables and fruit;1996 November;;;;;;
524;5221 Potatoes, vegetables and fruit;1996 December;;;;;;
525;5221 Potatoes, vegetables and fruit;1996 4th quarter;94.0;94.0;100.0;-2.3;0.3;-2.5
526;5221 Potatoes, vegetables and fruit;1996;94.0;98.0;96.0;-6.1;-1.8;-4.1
527;5221 Potatoes, vegetables and fruit;1997 January;;;;;;
528;5221 Potatoes, vegetables and fruit;1997 February;;;;;;
529;5221 Potatoes, vegetables and fruit;1997 March;;;;;;
530;5221 Potatoes, vegetables and fruit;1997 1st quarter;90.0;103.0;88.0;-0.9;-1.0;0.3
531;5221 Potatoes, vegetables and fruit;1997 April;;;;;;
532;5221 Potatoes, vegetables and fruit;1997 May;;;;;;
533;5221 Potatoes, vegetables and fruit;1997 June;;;;;;
534;5221 Potatoes, vegetables and fruit;1997 2nd quarter;102.0;98.0;103.0;-0.7;-3.1;2.6
535;5221 Potatoes, vegetables and fruit;1997 July;;;;;;
536;5221 Potatoes, vegetables and fruit;1997 August;;;;;;
537;5221 Potatoes, vegetables and fruit;1997 September;;;;;;
538;5221 Potatoes, vegetables and fruit;1997 3rd quarter;95.0;98.0;97.0;3.7;5.0;-1.2
539;5221 Potatoes, vegetables and fruit;1997 October;;;;;;
540;5221 Potatoes, vegetables and fruit;1997 November;;;;;;
541;5221 Potatoes, vegetables and fruit;1997 December;;;;;;
542;5221 Potatoes, vegetables and fruit;1997 4th quarter;91.0;99.0;91.0;-3.3;5.6;-8.5
543;5221 Potatoes, vegetables and fruit;1997;94.0;100.0;95.0;-0.4;1.3;-1.7
544;5221 Potatoes, vegetables and fruit;1998 January;;;;;;
545;5221 Potatoes, vegetables and fruit;1998 February;;;;;;
546;5221 Potatoes, vegetables and fruit;1998 March;;;;;;
547;5221 Potatoes, vegetables and fruit;1998 1st quarter;84.0;102.0;83.0;-6.2;-0.5;-5.7
548;5221 Potatoes, vegetables and fruit;1998 April;;;;;;
549;5221 Potatoes, vegetables and fruit;1998 May;;;;;;
550;5221 Potatoes, vegetables and fruit;1998 June;;;;;;
551;5221 Potatoes, vegetables and fruit;1998 2nd quarter;100.0;105.0;96.0;-1.2;6.8;-7.5
552;5221 Potatoes, vegetables and fruit;1998 July;;;;;;
553;5221 Potatoes, vegetables and fruit;1998 August;;;;;;
554;5221 Potatoes, vegetables and fruit;1998 September;;;;;;
555;5221 Potatoes, vegetables and fruit;1998 3rd quarter;94.0;104.0;90.0;-0.5;6.7;-6.8
556;5221 Potatoes, vegetables and fruit;1998 October;;;;;;
557;5221 Potatoes, vegetables and fruit;1998 November;;;;;;
558;5221 Potatoes, vegetables and fruit;1998 December;;;;;;
559;5221 Potatoes, vegetables and fruit;1998 4th quarter;92.0;110.0;84.0;1.1;10.5;-8.5
560;5221 Potatoes, vegetables and fruit;1998;93.0;105.0;88.0;-1.7;5.8;-7.1
561;5221 Potatoes, vegetables and fruit;1999 January;;;;;;
562;5221 Potatoes, vegetables and fruit;1999 February;;;;;;
563;5221 Potatoes, vegetables and fruit;1999 March;;;;;;
564;5221 Potatoes, vegetables and fruit;1999 1st quarter;85.0;119.0;72.0;0.9;16.3;-13.2
565;5221 Potatoes, vegetables and fruit;1999 April;;;;;;
566;5221 Potatoes, vegetables and fruit;1999 May;;;;;;
567;5221 Potatoes, vegetables and fruit;1999 June;;;;;;
568;5221 Potatoes, vegetables and fruit;1999 2nd quarter;100.0;116.0;86.0;-0.4;10.6;-9.9
569;5221 Potatoes, vegetables and fruit;1999 July;;;;;;
570;5221 Potatoes, vegetables and fruit;1999 August;;;;;;
571;5221 Potatoes, vegetables and fruit;1999 September;;;;;;
572;5221 Potatoes, vegetables and fruit;1999 3rd quarter;92.0;105.0;88.0;-2.6;0.1;-2.7
573;5221 Potatoes, vegetables and fruit;1999 October;;;;;;
574;5221 Potatoes, vegetables and fruit;1999 November;;;;;;
