ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1;LabourVolume_2
316;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2011;;
317;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2012;;
318;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2013;1611.0;1288.0
319;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2014;1573.0;1259.0
320;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2015;1557.0;1248.0
321;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2016;1545.0;1244.0
322;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2010;;
323;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2011;;
324;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2012;;
325;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2013;527.0;399.0
326;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2014;551.0;420.0
327;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2015;579.0;442.0
328;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2016;618.0;473.0
329;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2010;;
330;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2011;;
331;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2012;;
332;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2013;424.0;201.0
333;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2014;414.0;197.0
334;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2015;406.0;195.0
335;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2016;397.0;188.0
336;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2010;;
337;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2011;;
338;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2012;;
339;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2013;2462.0;1807.0
340;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2014;2449.0;1789.0
341;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2015;2468.0;1793.0
342;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2016;2530.0;1844.0
343;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2010;;
344;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2011;;
345;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2012;;
346;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2013;639.0;567.0
347;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2014;637.0;564.0
348;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2015;651.0;577.0
349;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2016;674.0;601.0
350;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2010;;
351;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2011;;
352;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2012;;
353;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2013;3428.0;2545.0
354;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2014;3412.0;2529.0
355;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2015;3433.0;2542.0
356;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2016;3483.0;2590.0
357;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2010;;
358;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2011;;
359;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2012;;
360;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2013;;
361;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2014;;
362;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2015;;
363;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2016;;
364;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2010;;
365;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2011;;
366;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2012;;
367;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2013;;
368;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2014;;
369;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2015;;
370;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2016;;
371;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2010;;
372;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2011;;
373;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2012;;
374;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2013;;
375;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2014;;
376;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2015;;
377;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2016;;
378;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2010;;
379;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2011;;
380;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2012;;
381;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2013;;
382;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2014;;
383;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2015;;
384;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2016;;
385;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2010;;
386;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2011;;
387;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2012;;
388;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2013;;
389;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2014;;
390;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2015;;
391;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2016;;
392;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2010;;
393;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2011;;
394;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2012;;
395;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2013;;
396;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2014;;
397;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2015;;
398;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2016;;
399;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2010;;
400;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2011;;
401;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2012;;
402;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2013;2285.0;1702.0
403;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2014;2295.0;1709.0
404;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2015;2361.0;1757.0
405;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2016;2351.0;1758.0
406;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2010;;
407;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2011;;
408;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2012;;
409;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2013;595.0;379.0
410;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2014;617.0;394.0
411;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2015;674.0;431.0
412;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2016;695.0;450.0
413;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2010;;
414;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2011;;
415;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2012;;
416;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2013;1645.0;1299.0
417;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2014;1637.0;1295.0
418;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2015;1648.0;1308.0
419;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2016;1621.0;1295.0
420;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2010;;
421;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2011;;
422;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2012;;
423;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2013;102.0;89.0
424;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2014;105.0;91.0
425;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2015;112.0;97.0
426;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2016;115.0;100.0
427;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Male;2010;;
428;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Male;2011;;
429;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Male;2012;;
430;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Male;2013;1164.0;982.0
431;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Male;2014;1158.0;975.0
432;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Male;2015;1191.0;1001.0
433;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Male;2016;1176.0;991.0
434;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Female;2010;;
435;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Female;2011;;
436;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Female;2012;;
437;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Female;2013;1121.0;713.0
438;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Female;2014;1137.0;725.0
439;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Female;2015;1169.0;746.0
440;Total domestic and foreign;Total Jobs;300 Higher education;Sex: Female;2016;1175.0;756.0
441;Total domestic and foreign;Total Jobs;300 Higher education;Age: 15 to 34 years;2010;;
442;Total domestic and foreign;Total Jobs;300 Higher education;Age: 15 to 34 years;2011;;
443;Total domestic and foreign;Total Jobs;300 Higher education;Age: 15 to 34 years;2012;;
444;Total domestic and foreign;Total Jobs;300 Higher education;Age: 15 to 34 years;2013;779.0;525.0
445;Total domestic and foreign;Total Jobs;300 Higher education;Age: 15 to 34 years;2014;782.0;524.0
446;Total domestic and foreign;Total Jobs;300 Higher education;Age: 15 to 34 years;2015;808.0;540.0
447;Total domestic and foreign;Total Jobs;300 Higher education;Age: 15 to 34 years;2016;799.0;538.0
448;Total domestic and foreign;Total Jobs;300 Higher education;Age: 35 to 54 years;2010;;
449;Total domestic and foreign;Total Jobs;300 Higher education;Age: 35 to 54 years;2011;;
450;Total domestic and foreign;Total Jobs;300 Higher education;Age: 35 to 54 years;2012;;
451;Total domestic and foreign;Total Jobs;300 Higher education;Age: 35 to 54 years;2013;1157.0;925.0
452;Total domestic and foreign;Total Jobs;300 Higher education;Age: 35 to 54 years;2014;1159.0;928.0
453;Total domestic and foreign;Total Jobs;300 Higher education;Age: 35 to 54 years;2015;1180.0;946.0
454;Total domestic and foreign;Total Jobs;300 Higher education;Age: 35 to 54 years;2016;1183.0;953.0
455;Total domestic and foreign;Total Jobs;300 Higher education;Age: 55 years or older;2010;;
456;Total domestic and foreign;Total Jobs;300 Higher education;Age: 55 years or older;2011;;
457;Total domestic and foreign;Total Jobs;300 Higher education;Age: 55 years or older;2012;;
458;Total domestic and foreign;Total Jobs;300 Higher education;Age: 55 years or older;2013;382.0;289.0
459;Total domestic and foreign;Total Jobs;300 Higher education;Age: 55 years or older;2014;390.0;297.0
460;Total domestic and foreign;Total Jobs;300 Higher education;Age: 55 years or older;2015;413.0;315.0
461;Total domestic and foreign;Total Jobs;300 Higher education;Age: 55 years or older;2016;417.0;319.0
462;Total domestic and foreign;Total Jobs;300 Higher education;Wage: low (among lowest 30 percent);2010;;
463;Total domestic and foreign;Total Jobs;300 Higher education;Wage: low (among lowest 30 percent);2011;;
464;Total domestic and foreign;Total Jobs;300 Higher education;Wage: low (among lowest 30 percent);2012;;
465;Total domestic and foreign;Total Jobs;300 Higher education;Wage: low (among lowest 30 percent);2013;163.0;77.0
466;Total domestic and foreign;Total Jobs;300 Higher education;Wage: low (among lowest 30 percent);2014;156.0;74.0
467;Total domestic and foreign;Total Jobs;300 Higher education;Wage: low (among lowest 30 percent);2015;159.0;76.0
468;Total domestic and foreign;Total Jobs;300 Higher education;Wage: low (among lowest 30 percent);2016;141.0;67.0
469;Total domestic and foreign;Total Jobs;300 Higher education;Wage: middle;2010;;
470;Total domestic and foreign;Total Jobs;300 Higher education;Wage: middle;2011;;
471;Total domestic and foreign;Total Jobs;300 Higher education;Wage: middle;2012;;
472;Total domestic and foreign;Total Jobs;300 Higher education;Wage: middle;2013;1140.0;837.0
