ID;TripCharacteristics;Population;TravelPurposes;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
295;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2019;16.72;30.47
296;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2020;12.96;28.92
297;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2021;13.81;30.24
298;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2022;14.13;28.98
299;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2023;12.61;27.84
300;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2018;17.03;29.4
301;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2019;18.17;30.44
302;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2020;12.82;26.66
303;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2021;14.06;29.51
304;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2022;14.46;29.34
305;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2023;14.51;27.91
306;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2018;16.55;27.39
307;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2019;15.72;28.35
308;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2020;12.85;26.53
309;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2021;13.4;29.53
310;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2022;14.42;29.49
311;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2023;15.29;28.17
312;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Overijssel (PV);2018;13.94;25.98
313;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Overijssel (PV);2019;14.74;27.04
314;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Overijssel (PV);2020;11.48;26.74
315;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Overijssel (PV);2021;11.43;27.34
316;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Overijssel (PV);2022;11.86;25.83
317;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Overijssel (PV);2023;12.56;25.87
318;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Flevoland (PV);2018;17.25;30.09
319;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Flevoland (PV);2019;17.71;29.48
320;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Flevoland (PV);2020;14.64;29.54
321;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Flevoland (PV);2021;15.07;30.65
322;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Flevoland (PV);2022;15.76;29.98
323;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Flevoland (PV);2023;15.15;29.78
324;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Gelderland (PV);2018;14.0;26.91
325;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Gelderland (PV);2019;14.28;27.97
326;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Gelderland (PV);2020;11.56;25.98
327;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Gelderland (PV);2021;11.97;27.82
328;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Gelderland (PV);2022;11.97;26.94
329;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Gelderland (PV);2023;12.82;26.79
330;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Utrecht (PV);2018;13.76;27.55
331;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Utrecht (PV);2019;15.06;28.3
332;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Utrecht (PV);2020;11.41;27.17
333;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Utrecht (PV);2021;11.46;28.38
334;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Utrecht (PV);2022;11.75;27.21
335;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Utrecht (PV);2023;12.72;27.81
336;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Holland (PV);2018;13.34;29.06
337;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Holland (PV);2019;13.19;30.39
338;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Holland (PV);2020;10.38;28.32
339;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Holland (PV);2021;10.65;30.24
340;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Holland (PV);2022;11.0;29.09
341;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Holland (PV);2023;11.37;29.09
342;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;12.58;28.34
343;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;12.93;28.97
344;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;10.55;28.41
345;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;10.62;29.55
346;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;10.68;27.94
347;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;11.53;28.98
348;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zeeland (PV);2018;13.21;25.66
349;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zeeland (PV);2019;15.38;27.64
350;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zeeland (PV);2020;12.94;29.09
351;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zeeland (PV);2021;13.53;29.16
352;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zeeland (PV);2022;12.42;28.43
353;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Zeeland (PV);2023;14.14;27.71
354;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;13.31;26.53
355;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;13.31;26.46
356;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;10.29;25.28
357;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;10.68;26.74
358;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;11.62;27.0
359;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;12.5;27.02
360;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Limburg (PV);2018;12.52;26.3
361;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Limburg (PV);2019;12.3;26.23
362;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Limburg (PV);2020;10.75;26.29
363;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Limburg (PV);2021;10.84;28.23
364;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Limburg (PV);2022;11.38;26.75
365;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Limburg (PV);2023;10.81;25.99
366;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Extremely urbanised;2018;12.48;29.3
367;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Extremely urbanised;2019;12.51;30.15
368;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Extremely urbanised;2020;10.03;29.34
369;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Extremely urbanised;2021;10.16;30.95
370;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Extremely urbanised;2022;10.43;29.46
371;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Extremely urbanised;2023;10.89;29.78
372;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Strongly urbanised;2018;13.22;27.21
373;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Strongly urbanised;2019;13.56;27.58
374;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Strongly urbanised;2020;10.7;26.4
375;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Strongly urbanised;2021;11.04;27.74
376;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Strongly urbanised;2022;11.53;27.09
377;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Strongly urbanised;2023;12.08;27.2
378;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Moderately urbanised;2018;13.13;26.54
379;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Moderately urbanised;2019;13.78;27.23
380;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Moderately urbanised;2020;10.82;25.68
381;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Moderately urbanised;2021;11.16;26.94
382;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Moderately urbanised;2022;11.45;26.77
383;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Moderately urbanised;2023;12.2;26.5
384;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Hardly urbanised;2018;14.35;26.35
385;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Hardly urbanised;2019;14.37;26.83
386;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Hardly urbanised;2020;11.54;25.99
387;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Hardly urbanised;2021;11.89;27.44
388;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Hardly urbanised;2022;12.43;26.42
389;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Hardly urbanised;2023;12.82;26.31
390;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Not urbanised;2018;15.08;26.8
391;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Not urbanised;2019;16.62;29.31
392;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Not urbanised;2020;13.18;27.01
393;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Not urbanised;2021;13.67;29.49
394;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Not urbanised;2022;13.41;27.59
395;Total;Population 6 years or older;Total;Upper bound 95% confidence interval;Not urbanised;2023;14.59;27.72
396;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;The Netherlands;2018;19.23;29.6
397;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;The Netherlands;2019;19.26;29.92
398;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;The Netherlands;2020;16.66;26.13
399;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;The Netherlands;2021;16.54;25.88
400;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;The Netherlands;2022;17.61;27.96
401;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;The Netherlands;2023;18.33;29.26
402;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Nederland (LD);2018;21.03;26.93
403;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Nederland (LD);2019;21.05;26.45
404;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Nederland (LD);2020;17.51;24.68
405;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Nederland (LD);2021;18.45;25.33
406;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Nederland (LD);2022;18.7;25.64
407;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Noord-Nederland (LD);2023;19.21;25.96
408;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Oost-Nederland (LD);2018;20.69;29.58
409;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Oost-Nederland (LD);2019;20.67;29.09
410;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Oost-Nederland (LD);2020;18.04;25.7
411;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Oost-Nederland (LD);2021;17.37;25.04
412;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Oost-Nederland (LD);2022;18.91;27.6
413;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Oost-Nederland (LD);2023;19.8;29.04
414;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;West-Nederland (LD);2018;18.58;31.46
415;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;West-Nederland (LD);2019;18.82;32.39
416;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;West-Nederland (LD);2020;16.32;27.89
417;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;West-Nederland (LD);2021;15.73;27.37
418;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;West-Nederland (LD);2022;16.72;29.32
419;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;West-Nederland (LD);2023;17.62;31.03
420;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Nederland (LD);2018;18.39;26.75
421;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Nederland (LD);2019;18.08;26.92
422;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Nederland (LD);2020;15.61;23.66
423;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Nederland (LD);2021;16.39;24.01
424;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Nederland (LD);2022;17.62;26.64
425;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Zuid-Nederland (LD);2023;17.93;27.33
426;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Groningen (PV);2018;18.73;26.54
427;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Groningen (PV);2019;20.37;27.18
428;Total;Population 6 years or older;Travel to/from work, (non)-daily commute;Value;Groningen (PV);2020;17.3;26.65
