ID;Functions;Providers;Periods;HealthAndSocialCareExpenditure_1
436;Total expenditure on health and care;HP5: Retailers of medical goods;2009;8943
437;Total expenditure on health and care;HP5: Retailers of medical goods;2010;9181
438;Total expenditure on health and care;HP5: Retailers of medical goods;2011;9470
439;Total expenditure on health and care;HP5: Retailers of medical goods;2012;8993
440;Total expenditure on health and care;HP5: Retailers of medical goods;2013;8558
441;Total expenditure on health and care;HP5: Retailers of medical goods;2014;8558
442;Total expenditure on health and care;HP5: Retailers of medical goods;2015;8581
443;Total expenditure on health and care;HP5: Retailers of medical goods;2016;8574
444;Total expenditure on health and care;HP5: Retailers of medical goods;2017;8707
445;Total expenditure on health and care;HP5: Retailers of medical goods;2018;8789
446;Total expenditure on health and care;HP5: Retailers of medical goods;2019;9220
447;Total expenditure on health and care;HP5: Retailers of medical goods;2020;9433
448;Total expenditure on health and care;HP5: Retailers of medical goods;2021;10065
449;Total expenditure on health and care;HP5: Retailers of medical goods;2022;10310
450;Total expenditure on health and care;HP51: Pharmacies;1998;3284
451;Total expenditure on health and care;HP51: Pharmacies;1999;3600
452;Total expenditure on health and care;HP51: Pharmacies;2000;3844
453;Total expenditure on health and care;HP51: Pharmacies;2001;4211
454;Total expenditure on health and care;HP51: Pharmacies;2002;4559
455;Total expenditure on health and care;HP51: Pharmacies;2003;4878
456;Total expenditure on health and care;HP51: Pharmacies;2004;4997
457;Total expenditure on health and care;HP51: Pharmacies;2005;5198
458;Total expenditure on health and care;HP51: Pharmacies;2006;5261
459;Total expenditure on health and care;HP51: Pharmacies;2007;5689
460;Total expenditure on health and care;HP51: Pharmacies;2008;5583
461;Total expenditure on health and care;HP51: Pharmacies;2009;5633
462;Total expenditure on health and care;HP51: Pharmacies;2010;5769
463;Total expenditure on health and care;HP51: Pharmacies;2011;5838
464;Total expenditure on health and care;HP51: Pharmacies;2012;5266
465;Total expenditure on health and care;HP51: Pharmacies;2013;5030
466;Total expenditure on health and care;HP51: Pharmacies;2014;5029
467;Total expenditure on health and care;HP51: Pharmacies;2015;5098
468;Total expenditure on health and care;HP51: Pharmacies;2016;5222
469;Total expenditure on health and care;HP51: Pharmacies;2017;5379
470;Total expenditure on health and care;HP51: Pharmacies;2018;5359
471;Total expenditure on health and care;HP51: Pharmacies;2019;5645
472;Total expenditure on health and care;HP51: Pharmacies;2020;5774
473;Total expenditure on health and care;HP51: Pharmacies;2021;5702
474;Total expenditure on health and care;HP51: Pharmacies;2022;6077
475;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;1998;2212
476;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;1999;2327
477;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2000;2399
478;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2001;2583
479;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2002;2793
480;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2003;2992
481;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2004;3137
482;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2005;3097
483;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2006;3146
484;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2007;3178
485;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2008;3495
486;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2009;3310
487;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2010;3412
488;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2011;3632
489;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2012;3727
490;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2013;3528
491;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2014;3530
492;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2015;3483
493;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2016;3353
494;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2017;3329
495;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2018;3429
496;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2019;3575
497;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2020;3659
498;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2021;4363
499;Total expenditure on health and care;HP52-59 : Suppl. med. appliances, other;2022;4233
500;Total expenditure on health and care;HP6: Providers of preventive care;1998;1189
501;Total expenditure on health and care;HP6: Providers of preventive care;1999;1320
502;Total expenditure on health and care;HP6: Providers of preventive care;2000;1474
503;Total expenditure on health and care;HP6: Providers of preventive care;2001;1633
504;Total expenditure on health and care;HP6: Providers of preventive care;2002;1972
505;Total expenditure on health and care;HP6: Providers of preventive care;2003;2066
506;Total expenditure on health and care;HP6: Providers of preventive care;2004;2038
507;Total expenditure on health and care;HP6: Providers of preventive care;2005;2002
508;Total expenditure on health and care;HP6: Providers of preventive care;2006;1858
509;Total expenditure on health and care;HP6: Providers of preventive care;2007;1990
510;Total expenditure on health and care;HP6: Providers of preventive care;2008;2139
511;Total expenditure on health and care;HP6: Providers of preventive care;2009;2103
512;Total expenditure on health and care;HP6: Providers of preventive care;2010;2166
513;Total expenditure on health and care;HP6: Providers of preventive care;2011;2148
514;Total expenditure on health and care;HP6: Providers of preventive care;2012;2136
515;Total expenditure on health and care;HP6: Providers of preventive care;2013;2061
516;Total expenditure on health and care;HP6: Providers of preventive care;2014;2074
517;Total expenditure on health and care;HP6: Providers of preventive care;2015;2036
518;Total expenditure on health and care;HP6: Providers of preventive care;2016;2098
519;Total expenditure on health and care;HP6: Providers of preventive care;2017;2159
520;Total expenditure on health and care;HP6: Providers of preventive care;2018;2180
521;Total expenditure on health and care;HP6: Providers of preventive care;2019;2375
522;Total expenditure on health and care;HP6: Providers of preventive care;2020;3460
523;Total expenditure on health and care;HP6: Providers of preventive care;2021;6837
524;Total expenditure on health and care;HP6: Providers of preventive care;2022;4533
525;Total expenditure on health and care;HP7: Healthcare adm. and financ.;1998;2063
526;Total expenditure on health and care;HP7: Healthcare adm. and financ.;1999;2197
527;Total expenditure on health and care;HP7: Healthcare adm. and financ.;2000;2301
528;Total expenditure on health and care;HP7: Healthcare adm. and financ.;2001;2492
529;Total expenditure on health and care;HP7: Healthcare adm. and financ.;2002;2713
530;Total expenditure on health and care;HP7: Healthcare adm. and financ.;2003;2808
531;Total expenditure on health and care;HP7: Healthcare adm. and financ.;2004;2860
532;Total expenditure on health and care;HP7: Healthcare adm. and financ.;2005;3286
533;Total expenditure on health and care;HP7: Healthcare adm. and financ.;2006;3543
534;Total expenditure on health and care;HP7: Healthcare adm. and financ.;2007;3718
