ID;ModesOfTravel;Population;Margins;RegionCharacteristics;Periods;TransportPerformance_1
344;Total;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;30.5
345;Total;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;34.0
346;Total;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;36.3
347;Total;Population 6 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;39.9
348;Total;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2018;4.9
349;Total;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2019;5.6
350;Total;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2020;4.3
351;Total;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2021;5.0
352;Total;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2022;4.9
353;Total;Population 6 years or older;Upper bound 95% confidence interval;Zeeland (PV);2023;5.2
354;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;33.7
355;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;33.6
356;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;23.2
357;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;25.3
358;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;29.5
359;Total;Population 6 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;32.3
360;Total;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2018;13.8
361;Total;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2019;13.4
362;Total;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2020;10.1
363;Total;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2021;10.7
364;Total;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2022;12.0
365;Total;Population 6 years or older;Upper bound 95% confidence interval;Limburg (PV);2023;12.2
366;Total;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2018;48.6
367;Total;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2019;47.9
368;Total;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2020;32.5
369;Total;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2021;37.6
370;Total;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2022;42.3
371;Total;Population 6 years or older;Upper bound 95% confidence interval;Extremely urbanised;2023;45.4
372;Total;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2018;68.2
373;Total;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2019;68.8
374;Total;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2020;47.7
375;Total;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2021;52.4
376;Total;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2022;58.1
377;Total;Population 6 years or older;Upper bound 95% confidence interval;Strongly urbanised;2023;61.7
378;Total;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2018;36.1
379;Total;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2019;37.3
380;Total;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2020;25.8
381;Total;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2021;26.8
382;Total;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2022;32.2
383;Total;Population 6 years or older;Upper bound 95% confidence interval;Moderately urbanised;2023;35.1
384;Total;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2018;53.8
385;Total;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2019;52.6
386;Total;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2020;37.1
387;Total;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2021;42.3
388;Total;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2022;46.0
389;Total;Population 6 years or older;Upper bound 95% confidence interval;Hardly urbanised;2023;47.2
390;Total;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2018;19.8
391;Total;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2019;21.4
392;Total;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2020;15.2
393;Total;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2021;15.9
394;Total;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2022;15.5
395;Total;Population 6 years or older;Upper bound 95% confidence interval;Not urbanised;2023;17.3
396;Total;Population: 12 years or older;Value;The Netherlands;2018;210.8
397;Total;Population: 12 years or older;Value;The Netherlands;2019;211.9
398;Total;Population: 12 years or older;Value;The Netherlands;2020;146.6
399;Total;Population: 12 years or older;Value;The Netherlands;2021;162.4
400;Total;Population: 12 years or older;Value;The Netherlands;2022;180.7
401;Total;Population: 12 years or older;Value;The Netherlands;2023;192.6
402;Total;Population: 12 years or older;Value;Noord-Nederland (LD);2018;24.2
403;Total;Population: 12 years or older;Value;Noord-Nederland (LD);2019;24.3
404;Total;Population: 12 years or older;Value;Noord-Nederland (LD);2020;16.6
405;Total;Population: 12 years or older;Value;Noord-Nederland (LD);2021;18.6
406;Total;Population: 12 years or older;Value;Noord-Nederland (LD);2022;21.0
407;Total;Population: 12 years or older;Value;Noord-Nederland (LD);2023;21.2
408;Total;Population: 12 years or older;Value;Oost-Nederland (LD);2018;47.4
409;Total;Population: 12 years or older;Value;Oost-Nederland (LD);2019;48.1
410;Total;Population: 12 years or older;Value;Oost-Nederland (LD);2020;33.7
411;Total;Population: 12 years or older;Value;Oost-Nederland (LD);2021;37.3
412;Total;Population: 12 years or older;Value;Oost-Nederland (LD);2022;41.6
413;Total;Population: 12 years or older;Value;Oost-Nederland (LD);2023;43.9
414;Total;Population: 12 years or older;Value;West-Nederland (LD);2018;95.4
415;Total;Population: 12 years or older;Value;West-Nederland (LD);2019;96.5
416;Total;Population: 12 years or older;Value;West-Nederland (LD);2020;65.8
417;Total;Population: 12 years or older;Value;West-Nederland (LD);2021;73.2
418;Total;Population: 12 years or older;Value;West-Nederland (LD);2022;79.9
419;Total;Population: 12 years or older;Value;West-Nederland (LD);2023;86.6
420;Total;Population: 12 years or older;Value;Zuid-Nederland (LD);2018;43.8
421;Total;Population: 12 years or older;Value;Zuid-Nederland (LD);2019;43.0
422;Total;Population: 12 years or older;Value;Zuid-Nederland (LD);2020;30.5
423;Total;Population: 12 years or older;Value;Zuid-Nederland (LD);2021;33.2
424;Total;Population: 12 years or older;Value;Zuid-Nederland (LD);2022;38.1
425;Total;Population: 12 years or older;Value;Zuid-Nederland (LD);2023;40.8
426;Total;Population: 12 years or older;Value;Groningen (PV);2018;7.5
427;Total;Population: 12 years or older;Value;Groningen (PV);2019;7.9
428;Total;Population: 12 years or older;Value;Groningen (PV);2020;5.3
429;Total;Population: 12 years or older;Value;Groningen (PV);2021;6.1
430;Total;Population: 12 years or older;Value;Groningen (PV);2022;6.8
431;Total;Population: 12 years or older;Value;Groningen (PV);2023;6.5
432;Total;Population: 12 years or older;Value;Fryslân (PV);2018;9.3
433;Total;Population: 12 years or older;Value;Fryslân (PV);2019;9.6
434;Total;Population: 12 years or older;Value;Fryslân (PV);2020;6.6
435;Total;Population: 12 years or older;Value;Fryslân (PV);2021;7.1
436;Total;Population: 12 years or older;Value;Fryslân (PV);2022;8.3
437;Total;Population: 12 years or older;Value;Fryslân (PV);2023;8.3
438;Total;Population: 12 years or older;Value;Drenthe (PV);2018;7.3
439;Total;Population: 12 years or older;Value;Drenthe (PV);2019;6.8
440;Total;Population: 12 years or older;Value;Drenthe (PV);2020;4.7
441;Total;Population: 12 years or older;Value;Drenthe (PV);2021;5.4
442;Total;Population: 12 years or older;Value;Drenthe (PV);2022;6.0
443;Total;Population: 12 years or older;Value;Drenthe (PV);2023;6.4
444;Total;Population: 12 years or older;Value;Overijssel (PV);2018;14.9
445;Total;Population: 12 years or older;Value;Overijssel (PV);2019;15.2
446;Total;Population: 12 years or older;Value;Overijssel (PV);2020;10.2
447;Total;Population: 12 years or older;Value;Overijssel (PV);2021;11.2
448;Total;Population: 12 years or older;Value;Overijssel (PV);2022;12.8
449;Total;Population: 12 years or older;Value;Overijssel (PV);2023;13.6
450;Total;Population: 12 years or older;Value;Flevoland (PV);2018;5.8
451;Total;Population: 12 years or older;Value;Flevoland (PV);2019;5.8
452;Total;Population: 12 years or older;Value;Flevoland (PV);2020;4.2
453;Total;Population: 12 years or older;Value;Flevoland (PV);2021;4.7
454;Total;Population: 12 years or older;Value;Flevoland (PV);2022;5.1
455;Total;Population: 12 years or older;Value;Flevoland (PV);2023;5.4
456;Total;Population: 12 years or older;Value;Gelderland (PV);2018;26.7
457;Total;Population: 12 years or older;Value;Gelderland (PV);2019;27.1
458;Total;Population: 12 years or older;Value;Gelderland (PV);2020;19.3
459;Total;Population: 12 years or older;Value;Gelderland (PV);2021;21.3
460;Total;Population: 12 years or older;Value;Gelderland (PV);2022;23.7
461;Total;Population: 12 years or older;Value;Gelderland (PV);2023;24.9
462;Total;Population: 12 years or older;Value;Utrecht (PV);2018;16.2
463;Total;Population: 12 years or older;Value;Utrecht (PV);2019;18.2
464;Total;Population: 12 years or older;Value;Utrecht (PV);2020;12.1
465;Total;Population: 12 years or older;Value;Utrecht (PV);2021;13.0
466;Total;Population: 12 years or older;Value;Utrecht (PV);2022;14.6
467;Total;Population: 12 years or older;Value;Utrecht (PV);2023;16.1
468;Total;Population: 12 years or older;Value;Noord-Holland (PV);2018;34.4
469;Total;Population: 12 years or older;Value;Noord-Holland (PV);2019;32.1
470;Total;Population: 12 years or older;Value;Noord-Holland (PV);2020;21.9
471;Total;Population: 12 years or older;Value;Noord-Holland (PV);2021;24.4
472;Total;Population: 12 years or older;Value;Noord-Holland (PV);2022;27.4
473;Total;Population: 12 years or older;Value;Noord-Holland (PV);2023;28.9
474;Total;Population: 12 years or older;Value;Zuid-Holland (PV);2018;40.6
475;Total;Population: 12 years or older;Value;Zuid-Holland (PV);2019;41.4
476;Total;Population: 12 years or older;Value;Zuid-Holland (PV);2020;28.2
477;Total;Population: 12 years or older;Value;Zuid-Holland (PV);2021;31.5
478;Total;Population: 12 years or older;Value;Zuid-Holland (PV);2022;33.7
479;Total;Population: 12 years or older;Value;Zuid-Holland (PV);2023;37.2
480;Total;Population: 12 years or older;Value;Zeeland (PV);2018;4.2
481;Total;Population: 12 years or older;Value;Zeeland (PV);2019;4.8
482;Total;Population: 12 years or older;Value;Zeeland (PV);2020;3.6
483;Total;Population: 12 years or older;Value;Zeeland (PV);2021;4.3
484;Total;Population: 12 years or older;Value;Zeeland (PV);2022;4.2
485;Total;Population: 12 years or older;Value;Zeeland (PV);2023;4.4
486;Total;Population: 12 years or older;Value;Noord-Brabant (PV);2018;31.3
487;Total;Population: 12 years or older;Value;Noord-Brabant (PV);2019;30.9
488;Total;Population: 12 years or older;Value;Noord-Brabant (PV);2020;21.4
489;Total;Population: 12 years or older;Value;Noord-Brabant (PV);2021;23.5
490;Total;Population: 12 years or older;Value;Noord-Brabant (PV);2022;27.3
491;Total;Population: 12 years or older;Value;Noord-Brabant (PV);2023;29.8
492;Total;Population: 12 years or older;Value;Limburg (PV);2018;12.6
493;Total;Population: 12 years or older;Value;Limburg (PV);2019;12.1
494;Total;Population: 12 years or older;Value;Limburg (PV);2020;9.1
495;Total;Population: 12 years or older;Value;Limburg (PV);2021;9.7
496;Total;Population: 12 years or older;Value;Limburg (PV);2022;10.8
497;Total;Population: 12 years or older;Value;Limburg (PV);2023;11.0
498;Total;Population: 12 years or older;Value;Extremely urbanised;2018;45.4
499;Total;Population: 12 years or older;Value;Extremely urbanised;2019;44.8
500;Total;Population: 12 years or older;Value;Extremely urbanised;2020;30.3
501;Total;Population: 12 years or older;Value;Extremely urbanised;2021;34.9
502;Total;Population: 12 years or older;Value;Extremely urbanised;2022;39.5
503;Total;Population: 12 years or older;Value;Extremely urbanised;2023;42.5
504;Total;Population: 12 years or older;Value;Strongly urbanised;2018;64.0
505;Total;Population: 12 years or older;Value;Strongly urbanised;2019;64.5
506;Total;Population: 12 years or older;Value;Strongly urbanised;2020;44.3
507;Total;Population: 12 years or older;Value;Strongly urbanised;2021;49.0
508;Total;Population: 12 years or older;Value;Strongly urbanised;2022;54.4
509;Total;Population: 12 years or older;Value;Strongly urbanised;2023;57.9
510;Total;Population: 12 years or older;Value;Moderately urbanised;2018;33.3
511;Total;Population: 12 years or older;Value;Moderately urbanised;2019;34.6
512;Total;Population: 12 years or older;Value;Moderately urbanised;2020;23.6
513;Total;Population: 12 years or older;Value;Moderately urbanised;2021;24.8
514;Total;Population: 12 years or older;Value;Moderately urbanised;2022;29.7
515;Total;Population: 12 years or older;Value;Moderately urbanised;2023;32.6
516;Total;Population: 12 years or older;Value;Hardly urbanised;2018;50.0
517;Total;Population: 12 years or older;Value;Hardly urbanised;2019;48.8
518;Total;Population: 12 years or older;Value;Hardly urbanised;2020;34.5
519;Total;Population: 12 years or older;Value;Hardly urbanised;2021;39.4
520;Total;Population: 12 years or older;Value;Hardly urbanised;2022;42.9
