ID;Sex;CharacteristicsHouseholdsPersons;ComponentsOfWealth;Periods;NumberOfDeceasedPersons_1;TotalInheritedWealth_2;MeanInheritedWealth_3;MedianInheritedWealth_4
317;Total male and female;Marital status: never married;1.2.1 Principal residence;2020;3.9;954.6;242.0;207.0
318;Total male and female;Marital status: never married;1.2.1 Principal residence;2021;4.2;1123.8;264.9;228.0
319;Total male and female;Marital status: never married;1.2.1 Principal residence;2022;4.5;1318.0;294.3;253.0
320;Total male and female;Marital status: never married;1.2.2 Other real estate;2007;0.5;85.4;162.6;81.6
321;Total male and female;Marital status: never married;1.2.2 Other real estate;2008;0.5;96.7;192.3;68.9
322;Total male and female;Marital status: never married;1.2.2 Other real estate;2009;0.5;92.0;167.6;69.6
323;Total male and female;Marital status: never married;1.2.2 Other real estate;2010;0.5;104.5;194.3;75.0
324;Total male and female;Marital status: never married;1.2.2 Other real estate;2011;0.5;63.3;136.1;76.0
325;Total male and female;Marital status: never married;1.2.2 Other real estate;2012;0.5;77.5;161.8;71.0
326;Total male and female;Marital status: never married;1.2.2 Other real estate;2013;0.5;67.8;143.1;58.5
327;Total male and female;Marital status: never married;1.2.2 Other real estate;2014;0.5;73.8;161.1;62.5
328;Total male and female;Marital status: never married;1.2.2 Other real estate;2015;0.5;88.6;187.3;60.0
329;Total male and female;Marital status: never married;1.2.2 Other real estate;2016;0.5;125.3;244.2;69.5
330;Total male and female;Marital status: never married;1.2.2 Other real estate;2017;0.5;95.7;197.3;66.5
331;Total male and female;Marital status: never married;1.2.2 Other real estate;2018;0.5;73.8;159.1;68.0
332;Total male and female;Marital status: never married;1.2.2 Other real estate;2019;0.5;85.1;177.6;71.8
333;Total male and female;Marital status: never married;1.2.2 Other real estate;2020;0.6;117.8;200.0;91.1
334;Total male and female;Marital status: never married;1.2.2 Other real estate;2021;0.6;212.4;363.6;84.7
335;Total male and female;Marital status: never married;1.2.2 Other real estate;2022;0.5;111.8;204.4;69.0
336;Total male and female;Marital status: never married;1.3 Enterprise capital;2007;0.4;91.3;216.2;22.8
337;Total male and female;Marital status: never married;1.3 Enterprise capital;2008;0.4;113.6;269.8;34.0
338;Total male and female;Marital status: never married;1.3 Enterprise capital;2009;0.4;96.1;230.4;21.4
339;Total male and female;Marital status: never married;1.3 Enterprise capital;2010;0.5;134.6;262.9;25.9
340;Total male and female;Marital status: never married;1.3 Enterprise capital;2011;0.3;72.2;240.7;21.4
341;Total male and female;Marital status: never married;1.3 Enterprise capital;2012;0.3;133.8;446.1;15.5
342;Total male and female;Marital status: never married;1.3 Enterprise capital;2013;0.3;146.4;450.5;29.9
343;Total male and female;Marital status: never married;1.3 Enterprise capital;2014;0.3;200.4;594.7;18.1
344;Total male and female;Marital status: never married;1.3 Enterprise capital;2015;0.3;76.7;266.3;15.7
345;Total male and female;Marital status: never married;1.3 Enterprise capital;2016;0.4;103.1;282.4;18.5
346;Total male and female;Marital status: never married;1.3 Enterprise capital;2017;0.4;154.2;378.8;13.5
347;Total male and female;Marital status: never married;1.3 Enterprise capital;2018;0.4;93.9;227.3;13.7
348;Total male and female;Marital status: never married;1.3 Enterprise capital;2019;0.4;162.0;377.6;23.4
349;Total male and female;Marital status: never married;1.3 Enterprise capital;2020;0.5;526.4;1046.6;24.0
350;Total male and female;Marital status: never married;1.3 Enterprise capital;2021;0.5;255.5;485.8;36.8
351;Total male and female;Marital status: never married;1.3 Enterprise capital;2022;0.6;331.0;560.9;19.8
352;Total male and female;Marital status: never married;1.5 Other assets;2007;5.4;159.3;29.4;2.8
353;Total male and female;Marital status: never married;1.5 Other assets;2008;5.5;150.8;27.4;2.6
354;Total male and female;Marital status: never married;1.5 Other assets;2009;5.6;154.1;27.5;2.8
355;Total male and female;Marital status: never married;1.5 Other assets;2010;4.8;115.6;24.2;2.6
356;Total male and female;Marital status: never married;1.5 Other assets;2011;4.3;80.8;18.8;2.5
357;Total male and female;Marital status: never married;1.5 Other assets;2012;4.6;90.9;19.6;2.5
358;Total male and female;Marital status: never married;1.5 Other assets;2013;4.6;86.3;18.6;2.5
359;Total male and female;Marital status: never married;1.5 Other assets;2014;4.5;81.6;18.1;2.3
360;Total male and female;Marital status: never married;1.5 Other assets;2015;4.8;96.0;19.8;2.5
361;Total male and female;Marital status: never married;1.5 Other assets;2016;4.7;110.3;23.7;3.0
362;Total male and female;Marital status: never married;1.5 Other assets;2017;4.5;81.2;18.1;2.7
363;Total male and female;Marital status: never married;1.5 Other assets;2018;4.7;74.5;15.7;2.5
364;Total male and female;Marital status: never married;1.5 Other assets;2019;4.7;100.3;21.2;2.7
365;Total male and female;Marital status: never married;1.5 Other assets;2020;5.5;141.4;25.8;2.7
366;Total male and female;Marital status: never married;1.5 Other assets;2021;5.8;124.8;21.7;3.0
367;Total male and female;Marital status: never married;1.5 Other assets;2022;5.9;138.1;23.3;3.2
368;Total male and female;Marital status: never married;2 Liabilities;2007;6.0;202.1;33.5;2.6
369;Total male and female;Marital status: never married;2 Liabilities;2008;4.4;214.6;48.7;5.4
370;Total male and female;Marital status: never married;2 Liabilities;2009;4.5;234.4;52.7;6.4
371;Total male and female;Marital status: never married;2 Liabilities;2010;5.6;318.0;57.0;4.3
372;Total male and female;Marital status: never married;2 Liabilities;2011;6.2;193.2;31.1;2.2
373;Total male and female;Marital status: never married;2 Liabilities;2012;7.1;241.4;33.9;2.5
374;Total male and female;Marital status: never married;2 Liabilities;2013;7.1;231.1;32.5;2.5
375;Total male and female;Marital status: never married;2 Liabilities;2014;7.1;240.4;33.7;3.1
376;Total male and female;Marital status: never married;2 Liabilities;2015;7.4;245.0;33.0;2.9
377;Total male and female;Marital status: never married;2 Liabilities;2016;7.7;289.0;37.4;2.7
378;Total male and female;Marital status: never married;2 Liabilities;2017;7.5;296.3;39.3;3.1
379;Total male and female;Marital status: never married;2 Liabilities;2018;7.7;277.9;36.2;3.0
380;Total male and female;Marital status: never married;2 Liabilities;2019;7.1;285.5;40.3;3.4
381;Total male and female;Marital status: never married;2 Liabilities;2020;7.9;408.6;51.4;3.5
382;Total male and female;Marital status: never married;2 Liabilities;2021;8.3;385.5;46.2;3.9
383;Total male and female;Marital status: never married;2 Liabilities;2022;8.5;459.8;53.8;4.2
384;Total male and female;Marital status: never married;2.1 Principal residence loans;2007;1.8;152.8;83.4;68.0
385;Total male and female;Marital status: never married;2.1 Principal residence loans;2008;1.9;175.4;93.4;71.1
386;Total male and female;Marital status: never married;2.1 Principal residence loans;2009;2.0;198.1;99.4;76.0
387;Total male and female;Marital status: never married;2.1 Principal residence loans;2010;2.1;246.6;119.4;86.5
388;Total male and female;Marital status: never married;2.1 Principal residence loans;2011;1.6;142.7;91.8;78.2
389;Total male and female;Marital status: never married;2.1 Principal residence loans;2012;1.8;172.4;98.4;79.2
390;Total male and female;Marital status: never married;2.1 Principal residence loans;2013;1.7;166.4;99.7;83.1
391;Total male and female;Marital status: never married;2.1 Principal residence loans;2014;1.8;171.1;96.2;79.3
392;Total male and female;Marital status: never married;2.1 Principal residence loans;2015;1.8;179.8;100.3;78.5
393;Total male and female;Marital status: never married;2.1 Principal residence loans;2016;2.0;205.0;104.1;80.0
394;Total male and female;Marital status: never married;2.1 Principal residence loans;2017;2.1;203.4;98.6;81.8
395;Total male and female;Marital status: never married;2.1 Principal residence loans;2018;2.1;202.7;96.5;81.8
396;Total male and female;Marital status: never married;2.1 Principal residence loans;2019;2.1;206.1;100.3;83.8
397;Total male and female;Marital status: never married;2.1 Principal residence loans;2020;2.2;239.2;106.8;85.1
398;Total male and female;Marital status: never married;2.1 Principal residence loans;2021;2.5;256.0;102.8;83.8
399;Total male and female;Marital status: never married;2.1 Principal residence loans;2022;2.6;279.9;108.1;86.9
400;Total male and female;Marital status: never married;2.3 Other loans;2007;5.0;49.3;9.8;1.2
401;Total male and female;Marital status: never married;2.3 Other loans;2008;3.1;39.2;12.7;0.9
402;Total male and female;Marital status: never married;2.3 Other loans;2009;3.1;36.3;11.7;0.9
403;Total male and female;Marital status: never married;2.3 Other loans;2010;4.3;71.4;16.6;1.5
404;Total male and female;Marital status: never married;2.3 Other loans;2011;5.5;50.5;9.2;1.2
405;Total male and female;Marital status: never married;2.3 Other loans;2012;6.4;69.0;10.9;1.4
406;Total male and female;Marital status: never married;2.3 Other loans;2013;6.4;64.7;10.2;1.5
407;Total male and female;Marital status: never married;2.3 Other loans;2014;6.3;69.3;11.0;1.6
408;Total male and female;Marital status: never married;2.3 Other loans;2015;6.6;65.2;9.9;1.7
409;Total male and female;Marital status: never married;2.3 Other loans;2016;6.8;84.0;12.3;1.4
410;Total male and female;Marital status: never married;2.3 Other loans;2017;6.6;92.9;14.2;1.5
411;Total male and female;Marital status: never married;2.3 Other loans;2018;6.6;75.1;11.3;1.5
412;Total male and female;Marital status: never married;2.3 Other loans;2019;6.0;79.3;13.2;1.5
413;Total male and female;Marital status: never married;2.3 Other loans;2020;6.8;169.4;24.9;1.6
414;Total male and female;Marital status: never married;2.3 Other loans;2021;7.0;129.5;18.4;1.6
415;Total male and female;Marital status: never married;2.3 Other loans;2022;7.2;179.9;25.1;1.5
416;Total male and female;Marital status: maried and partnership;Wealth;2007;55.0;6494.5;118.1;39.1
417;Total male and female;Marital status: maried and partnership;Wealth;2008;55.8;7140.7;128.0;45.0
418;Total male and female;Marital status: maried and partnership;Wealth;2009;56.2;6944.1;123.5;46.5
419;Total male and female;Marital status: maried and partnership;Wealth;2010;57.1;7266.7;127.4;49.0
420;Total male and female;Marital status: maried and partnership;Wealth;2011;56.8;7594.7;133.8;47.0
421;Total male and female;Marital status: maried and partnership;Wealth;2012;58.3;7011.4;120.2;45.3
422;Total male and female;Marital status: maried and partnership;Wealth;2013;58.6;6900.5;117.8;42.5
423;Total male and female;Marital status: maried and partnership;Wealth;2014;57.7;6506.2;112.8;40.7
424;Total male and female;Marital status: maried and partnership;Wealth;2015;60.3;6915.2;114.8;44.2
425;Total male and female;Marital status: maried and partnership;Wealth;2016;60.8;7755.1;127.5;46.1
426;Total male and female;Marital status: maried and partnership;Wealth;2017;61.0;8098.1;132.8;51.0
427;Total male and female;Marital status: maried and partnership;Wealth;2018;62.5;8355.1;133.7;54.2
428;Total male and female;Marital status: maried and partnership;Wealth;2019;62.4;8899.3;142.7;62.3
429;Total male and female;Marital status: maried and partnership;Wealth;2020;69.4;11215.4;161.5;69.1
430;Total male and female;Marital status: maried and partnership;Wealth;2021;70.6;11483.0;162.7;80.6
431;Total male and female;Marital status: maried and partnership;Wealth;2022;68.2;12954.6;190.1;101.5
432;Total male and female;Marital status: maried and partnership;1 Assets;2007;55.0;7782.7;141.6;57.7
433;Total male and female;Marital status: maried and partnership;1 Assets;2008;55.8;8337.0;149.4;68.7
434;Total male and female;Marital status: maried and partnership;1 Assets;2009;56.2;8244.6;146.7;73.2
435;Total male and female;Marital status: maried and partnership;1 Assets;2010;57.1;8935.8;156.6;80.1
436;Total male and female;Marital status: maried and partnership;1 Assets;2011;56.8;9187.5;161.9;82.1
437;Total male and female;Marital status: maried and partnership;1 Assets;2012;58.3;8653.5;148.3;82.8
438;Total male and female;Marital status: maried and partnership;1 Assets;2013;58.6;8588.2;146.6;78.8
439;Total male and female;Marital status: maried and partnership;1 Assets;2014;57.7;8319.9;144.2;79.2
440;Total male and female;Marital status: maried and partnership;1 Assets;2015;60.3;8726.0;144.8;82.7
441;Total male and female;Marital status: maried and partnership;1 Assets;2016;60.8;9686.2;159.2;87.2
442;Total male and female;Marital status: maried and partnership;1 Assets;2017;61.0;10167.5;166.7;92.5
443;Total male and female;Marital status: maried and partnership;1 Assets;2018;62.5;10423.9;166.8;96.8
444;Total male and female;Marital status: maried and partnership;1 Assets;2019;62.4;11049.3;177.1;106.1
445;Total male and female;Marital status: maried and partnership;1 Assets;2020;69.4;13843.9;199.4;111.9
446;Total male and female;Marital status: maried and partnership;1 Assets;2021;70.6;14053.8;199.1;124.1
447;Total male and female;Marital status: maried and partnership;1 Assets;2022;68.2;15755.5;231.1;147.3
448;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2007;49.7;2314.4;46.6;14.1
449;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2008;51.3;2328.4;45.4;14.2
450;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2009;51.4;2294.1;44.6;14.4
451;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2010;53.9;2671.3;49.6;15.1
452;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2011;54.5;2600.2;47.7;14.3
453;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2012;56.7;2744.2;48.4;14.0
454;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2013;56.9;2822.1;49.6;12.8
455;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2014;56.0;2760.3;49.3;12.0
456;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2015;59.0;2837.2;48.1;12.8
457;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2016;59.6;3348.6;56.2;13.2
458;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2017;59.9;3254.2;54.4;13.5
459;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2018;61.3;3272.1;53.4;13.9
460;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2019;60.9;2860.4;47.0;14.3
461;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2020;68.2;3318.4;48.7;15.1
462;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2021;69.4;3440.4;49.6;15.9
463;Total male and female;Marital status: maried and partnership;1.1 Financial assets;2022;67.1;3489.8;52.0;18.3
464;Total male and female;Marital status: maried and partnership;1.1.1 Bank and savings credits;2007;49.6;1437.3;29.0;12.4
465;Total male and female;Marital status: maried and partnership;1.1.1 Bank and savings credits;2008;51.2;1573.5;30.7;12.9
466;Total male and female;Marital status: maried and partnership;1.1.1 Bank and savings credits;2009;51.3;1629.2;31.8;13.2
467;Total male and female;Marital status: maried and partnership;1.1.1 Bank and savings credits;2010;53.7;1761.7;32.8;13.6
468;Total male and female;Marital status: maried and partnership;1.1.1 Bank and savings credits;2011;54.4;1686.1;31.0;12.9
469;Total male and female;Marital status: maried and partnership;1.1.1 Bank and savings credits;2012;56.6;1861.1;32.9;12.8
