ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;CountriesOfOrigin;Periods;JobsForeignBornEmployees_1
313;Total jobs;Total employees;A-U All economic activities;Total;Germany;2016 4th quarter;44.6
314;Total jobs;Total employees;A-U All economic activities;Total;Germany;2016;44.1
315;Total jobs;Total employees;A-U All economic activities;Total;Germany;2017 1st quarter;44.1
316;Total jobs;Total employees;A-U All economic activities;Total;Germany;2017 2nd quarter;45.1
317;Total jobs;Total employees;A-U All economic activities;Total;Germany;2017 3rd quarter;44.8
318;Total jobs;Total employees;A-U All economic activities;Total;Germany;2017 4th quarter;45.7
319;Total jobs;Total employees;A-U All economic activities;Total;Germany;2017;44.9
320;Total jobs;Total employees;A-U All economic activities;Total;Germany;2018 1st quarter;45.8
321;Total jobs;Total employees;A-U All economic activities;Total;Germany;2018 2nd quarter;46.8
322;Total jobs;Total employees;A-U All economic activities;Total;Germany;2018 3rd quarter;46.4
323;Total jobs;Total employees;A-U All economic activities;Total;Germany;2018 4th quarter;47.4
324;Total jobs;Total employees;A-U All economic activities;Total;Germany;2018;46.6
325;Total jobs;Total employees;A-U All economic activities;Total;Germany;2019 1st quarter;47.1
326;Total jobs;Total employees;A-U All economic activities;Total;Germany;2019 2nd quarter;48.1
327;Total jobs;Total employees;A-U All economic activities;Total;Germany;2019 3rd quarter;47.4
328;Total jobs;Total employees;A-U All economic activities;Total;Germany;2019 4th quarter;48.1
329;Total jobs;Total employees;A-U All economic activities;Total;Germany;2019;47.7
330;Total jobs;Total employees;A-U All economic activities;Total;Germany;2020 1st quarter;47.5
331;Total jobs;Total employees;A-U All economic activities;Total;Germany;2020 2nd quarter;46.4
332;Total jobs;Total employees;A-U All economic activities;Total;Germany;2020 3rd quarter;46.5
333;Total jobs;Total employees;A-U All economic activities;Total;Germany;2020 4th quarter;47.1
334;Total jobs;Total employees;A-U All economic activities;Total;Germany;2020;46.9
335;Total jobs;Total employees;A-U All economic activities;Total;Germany;2021 1st quarter;46.4
336;Total jobs;Total employees;A-U All economic activities;Total;Germany;2021 2nd quarter;47.3
337;Total jobs;Total employees;A-U All economic activities;Total;Germany;2021 3rd quarter;47.4
338;Total jobs;Total employees;A-U All economic activities;Total;Germany;2021 4th quarter;48.7
339;Total jobs;Total employees;A-U All economic activities;Total;Germany;2021;47.5
340;Total jobs;Total employees;A-U All economic activities;Total;Germany;2022 1st quarter;48.4
341;Total jobs;Total employees;A-U All economic activities;Total;Germany;2022 2nd quarter;49.7
342;Total jobs;Total employees;A-U All economic activities;Total;Germany;2022 3rd quarter;48.8
343;Total jobs;Total employees;A-U All economic activities;Total;Germany;2022 4th quarter;49.6
344;Total jobs;Total employees;A-U All economic activities;Total;Germany;2022;49.1
345;Total jobs;Total employees;A-U All economic activities;Total;Germany;2023 1st quarter;50.9
346;Total jobs;Total employees;A-U All economic activities;Total;Germany;2023 2nd quarter;51.5
347;Total jobs;Total employees;A-U All economic activities;Total;Germany;2023 3rd quarter;50.4
348;Total jobs;Total employees;A-U All economic activities;Total;Germany;2023 4th quarter;51.2
349;Total jobs;Total employees;A-U All economic activities;Total;Germany;2023;51.0
350;Total jobs;Total employees;A-U All economic activities;Total;France;2010 1st quarter;8.5
351;Total jobs;Total employees;A-U All economic activities;Total;France;2010 2nd quarter;8.7
352;Total jobs;Total employees;A-U All economic activities;Total;France;2010 3rd quarter;8.6
353;Total jobs;Total employees;A-U All economic activities;Total;France;2010 4th quarter;8.6
354;Total jobs;Total employees;A-U All economic activities;Total;France;2010;8.6
355;Total jobs;Total employees;A-U All economic activities;Total;France;2011 1st quarter;8.6
356;Total jobs;Total employees;A-U All economic activities;Total;France;2011 2nd quarter;8.9
357;Total jobs;Total employees;A-U All economic activities;Total;France;2011 3rd quarter;8.7
358;Total jobs;Total employees;A-U All economic activities;Total;France;2011 4th quarter;8.8
359;Total jobs;Total employees;A-U All economic activities;Total;France;2011;8.7
360;Total jobs;Total employees;A-U All economic activities;Total;France;2012 1st quarter;8.8
361;Total jobs;Total employees;A-U All economic activities;Total;France;2012 2nd quarter;9.0
362;Total jobs;Total employees;A-U All economic activities;Total;France;2012 3rd quarter;8.8
363;Total jobs;Total employees;A-U All economic activities;Total;France;2012 4th quarter;8.7
364;Total jobs;Total employees;A-U All economic activities;Total;France;2012;8.8
365;Total jobs;Total employees;A-U All economic activities;Total;France;2013 1st quarter;8.6
366;Total jobs;Total employees;A-U All economic activities;Total;France;2013 2nd quarter;8.8
367;Total jobs;Total employees;A-U All economic activities;Total;France;2013 3rd quarter;8.7
368;Total jobs;Total employees;A-U All economic activities;Total;France;2013 4th quarter;8.8
369;Total jobs;Total employees;A-U All economic activities;Total;France;2013;8.7
370;Total jobs;Total employees;A-U All economic activities;Total;France;2014 1st quarter;8.9
371;Total jobs;Total employees;A-U All economic activities;Total;France;2014 2nd quarter;9.3
372;Total jobs;Total employees;A-U All economic activities;Total;France;2014 3rd quarter;9.2
373;Total jobs;Total employees;A-U All economic activities;Total;France;2014 4th quarter;9.2
374;Total jobs;Total employees;A-U All economic activities;Total;France;2014;9.1
375;Total jobs;Total employees;A-U All economic activities;Total;France;2015 1st quarter;9.4
376;Total jobs;Total employees;A-U All economic activities;Total;France;2015 2nd quarter;9.8
377;Total jobs;Total employees;A-U All economic activities;Total;France;2015 3rd quarter;9.8
378;Total jobs;Total employees;A-U All economic activities;Total;France;2015 4th quarter;9.9
379;Total jobs;Total employees;A-U All economic activities;Total;France;2015;9.7
380;Total jobs;Total employees;A-U All economic activities;Total;France;2016 1st quarter;10.0
381;Total jobs;Total employees;A-U All economic activities;Total;France;2016 2nd quarter;10.5
382;Total jobs;Total employees;A-U All economic activities;Total;France;2016 3rd quarter;10.6
383;Total jobs;Total employees;A-U All economic activities;Total;France;2016 4th quarter;10.7
384;Total jobs;Total employees;A-U All economic activities;Total;France;2016;10.5
385;Total jobs;Total employees;A-U All economic activities;Total;France;2017 1st quarter;10.9
386;Total jobs;Total employees;A-U All economic activities;Total;France;2017 2nd quarter;11.5
387;Total jobs;Total employees;A-U All economic activities;Total;France;2017 3rd quarter;11.4
388;Total jobs;Total employees;A-U All economic activities;Total;France;2017 4th quarter;11.6
389;Total jobs;Total employees;A-U All economic activities;Total;France;2017;11.4
390;Total jobs;Total employees;A-U All economic activities;Total;France;2018 1st quarter;11.8
391;Total jobs;Total employees;A-U All economic activities;Total;France;2018 2nd quarter;12.4
392;Total jobs;Total employees;A-U All economic activities;Total;France;2018 3rd quarter;12.3
393;Total jobs;Total employees;A-U All economic activities;Total;France;2018 4th quarter;12.5
394;Total jobs;Total employees;A-U All economic activities;Total;France;2018;12.3
395;Total jobs;Total employees;A-U All economic activities;Total;France;2019 1st quarter;12.8
396;Total jobs;Total employees;A-U All economic activities;Total;France;2019 2nd quarter;13.4
397;Total jobs;Total employees;A-U All economic activities;Total;France;2019 3rd quarter;13.3
398;Total jobs;Total employees;A-U All economic activities;Total;France;2019 4th quarter;13.5
399;Total jobs;Total employees;A-U All economic activities;Total;France;2019;13.2
400;Total jobs;Total employees;A-U All economic activities;Total;France;2020 1st quarter;13.7
401;Total jobs;Total employees;A-U All economic activities;Total;France;2020 2nd quarter;13.4
402;Total jobs;Total employees;A-U All economic activities;Total;France;2020 3rd quarter;13.3
403;Total jobs;Total employees;A-U All economic activities;Total;France;2020 4th quarter;13.6
404;Total jobs;Total employees;A-U All economic activities;Total;France;2020;13.5
405;Total jobs;Total employees;A-U All economic activities;Total;France;2021 1st quarter;13.6
406;Total jobs;Total employees;A-U All economic activities;Total;France;2021 2nd quarter;14.1
407;Total jobs;Total employees;A-U All economic activities;Total;France;2021 3rd quarter;14.3
408;Total jobs;Total employees;A-U All economic activities;Total;France;2021 4th quarter;14.9
409;Total jobs;Total employees;A-U All economic activities;Total;France;2021;14.2
410;Total jobs;Total employees;A-U All economic activities;Total;France;2022 1st quarter;15.2
411;Total jobs;Total employees;A-U All economic activities;Total;France;2022 2nd quarter;16.1
412;Total jobs;Total employees;A-U All economic activities;Total;France;2022 3rd quarter;15.7
413;Total jobs;Total employees;A-U All economic activities;Total;France;2022 4th quarter;16.1
414;Total jobs;Total employees;A-U All economic activities;Total;France;2022;15.8
415;Total jobs;Total employees;A-U All economic activities;Total;France;2023 1st quarter;16.4
416;Total jobs;Total employees;A-U All economic activities;Total;France;2023 2nd quarter;17.1
417;Total jobs;Total employees;A-U All economic activities;Total;France;2023 3rd quarter;16.6
418;Total jobs;Total employees;A-U All economic activities;Total;France;2023 4th quarter;16.8
419;Total jobs;Total employees;A-U All economic activities;Total;France;2023;16.7
420;Total jobs;Total employees;A-U All economic activities;Total;Greece;2010 1st quarter;3.5
421;Total jobs;Total employees;A-U All economic activities;Total;Greece;2010 2nd quarter;3.7
422;Total jobs;Total employees;A-U All economic activities;Total;Greece;2010 3rd quarter;3.7
423;Total jobs;Total employees;A-U All economic activities;Total;Greece;2010 4th quarter;3.7
424;Total jobs;Total employees;A-U All economic activities;Total;Greece;2010;3.6
425;Total jobs;Total employees;A-U All economic activities;Total;Greece;2011 1st quarter;3.7
426;Total jobs;Total employees;A-U All economic activities;Total;Greece;2011 2nd quarter;4.1
427;Total jobs;Total employees;A-U All economic activities;Total;Greece;2011 3rd quarter;4.2
428;Total jobs;Total employees;A-U All economic activities;Total;Greece;2011 4th quarter;4.3
429;Total jobs;Total employees;A-U All economic activities;Total;Greece;2011;4.1
430;Total jobs;Total employees;A-U All economic activities;Total;Greece;2012 1st quarter;4.4
431;Total jobs;Total employees;A-U All economic activities;Total;Greece;2012 2nd quarter;5.0
432;Total jobs;Total employees;A-U All economic activities;Total;Greece;2012 3rd quarter;5.1
433;Total jobs;Total employees;A-U All economic activities;Total;Greece;2012 4th quarter;5.1
434;Total jobs;Total employees;A-U All economic activities;Total;Greece;2012;4.9
435;Total jobs;Total employees;A-U All economic activities;Total;Greece;2013 1st quarter;5.1
436;Total jobs;Total employees;A-U All economic activities;Total;Greece;2013 2nd quarter;5.6
437;Total jobs;Total employees;A-U All economic activities;Total;Greece;2013 3rd quarter;5.6
438;Total jobs;Total employees;A-U All economic activities;Total;Greece;2013 4th quarter;5.6
439;Total jobs;Total employees;A-U All economic activities;Total;Greece;2013;5.5
440;Total jobs;Total employees;A-U All economic activities;Total;Greece;2014 1st quarter;5.7
441;Total jobs;Total employees;A-U All economic activities;Total;Greece;2014 2nd quarter;6.0
442;Total jobs;Total employees;A-U All economic activities;Total;Greece;2014 3rd quarter;6.0
443;Total jobs;Total employees;A-U All economic activities;Total;Greece;2014 4th quarter;6.1
444;Total jobs;Total employees;A-U All economic activities;Total;Greece;2014;5.9
445;Total jobs;Total employees;A-U All economic activities;Total;Greece;2015 1st quarter;6.1
446;Total jobs;Total employees;A-U All economic activities;Total;Greece;2015 2nd quarter;6.5
447;Total jobs;Total employees;A-U All economic activities;Total;Greece;2015 3rd quarter;6.6
448;Total jobs;Total employees;A-U All economic activities;Total;Greece;2015 4th quarter;6.8
449;Total jobs;Total employees;A-U All economic activities;Total;Greece;2015;6.5
450;Total jobs;Total employees;A-U All economic activities;Total;Greece;2016 1st quarter;6.9
451;Total jobs;Total employees;A-U All economic activities;Total;Greece;2016 2nd quarter;7.4
452;Total jobs;Total employees;A-U All economic activities;Total;Greece;2016 3rd quarter;7.4
453;Total jobs;Total employees;A-U All economic activities;Total;Greece;2016 4th quarter;7.5
454;Total jobs;Total employees;A-U All economic activities;Total;Greece;2016;7.3
455;Total jobs;Total employees;A-U All economic activities;Total;Greece;2017 1st quarter;7.6
456;Total jobs;Total employees;A-U All economic activities;Total;Greece;2017 2nd quarter;8.2
457;Total jobs;Total employees;A-U All economic activities;Total;Greece;2017 3rd quarter;8.4
458;Total jobs;Total employees;A-U All economic activities;Total;Greece;2017 4th quarter;8.7
459;Total jobs;Total employees;A-U All economic activities;Total;Greece;2017;8.2
460;Total jobs;Total employees;A-U All economic activities;Total;Greece;2018 1st quarter;9.0
461;Total jobs;Total employees;A-U All economic activities;Total;Greece;2018 2nd quarter;9.7
462;Total jobs;Total employees;A-U All economic activities;Total;Greece;2018 3rd quarter;9.8
463;Total jobs;Total employees;A-U All economic activities;Total;Greece;2018 4th quarter;10.2
464;Total jobs;Total employees;A-U All economic activities;Total;Greece;2018;9.7
465;Total jobs;Total employees;A-U All economic activities;Total;Greece;2019 1st quarter;10.3
466;Total jobs;Total employees;A-U All economic activities;Total;Greece;2019 2nd quarter;10.9
