ID;Sex;Age;MaritalStatus;CountryOfOrigin;CountryOfBirth;ParentsCountryOfBirth;Periods;Population_1
306;Total males and females;Total;Total;Suriname;Person born in the Netherlands;One parent born in NL, one born abroad;2022;73948.0
307;Total males and females;Total;Total;Suriname;Person born in the Netherlands;One parent born in NL, one born abroad;2023;75102.0
308;Total males and females;Total;Total;Suriname;Person born in the Netherlands;One parent born in NL, one born abroad;2024;76200.0
309;Total males and females;Total;Total;Suriname;Person born in the Netherlands;Two parents born abroad;2022;109739.0
310;Total males and females;Total;Total;Suriname;Person born in the Netherlands;Two parents born abroad;2023;110150.0
311;Total males and females;Total;Total;Suriname;Person born in the Netherlands;Two parents born abroad;2024;110449.0
312;Total males and females;Total;Total;Suriname;Person born abroad;Total;2022;177945.0
313;Total males and females;Total;Total;Suriname;Person born abroad;Total;2023;177890.0
314;Total males and females;Total;Total;Suriname;Person born abroad;Total;2024;178703.0
315;Total males and females;Total;Total;Suriname;Person born abroad;Two parents born in the Netherlands;2022;1818.0
316;Total males and females;Total;Total;Suriname;Person born abroad;Two parents born in the Netherlands;2023;1812.0
317;Total males and females;Total;Total;Suriname;Person born abroad;Two parents born in the Netherlands;2024;1843.0
318;Total males and females;Total;Total;Suriname;Person born abroad;One parent born in NL, one born abroad;2022;3468.0
319;Total males and females;Total;Total;Suriname;Person born abroad;One parent born in NL, one born abroad;2023;3478.0
320;Total males and females;Total;Total;Suriname;Person born abroad;One parent born in NL, one born abroad;2024;3516.0
321;Total males and females;Total;Total;Suriname;Person born abroad;Two parents born abroad;2022;172659.0
322;Total males and females;Total;Total;Suriname;Person born abroad;Two parents born abroad;2023;172600.0
323;Total males and females;Total;Total;Suriname;Person born abroad;Two parents born abroad;2024;173344.0
324;Total males and females;Total;Total;Turkey;Total;Total;2022;430682.0
325;Total males and females;Total;Total;Turkey;Total;Total;2023;444329.0
326;Total males and females;Total;Total;Turkey;Total;Total;2024;457100.0
327;Total males and females;Total;Total;Turkey;Total;Two parents born in the Netherlands;2022;704.0
328;Total males and females;Total;Total;Turkey;Total;Two parents born in the Netherlands;2023;761.0
329;Total males and females;Total;Total;Turkey;Total;Two parents born in the Netherlands;2024;832.0
330;Total males and females;Total;Total;Turkey;Total;One parent born in NL, one born abroad;2022;61955.0
331;Total males and females;Total;Total;Turkey;Total;One parent born in NL, one born abroad;2023;64060.0
332;Total males and females;Total;Total;Turkey;Total;One parent born in NL, one born abroad;2024;66093.0
333;Total males and females;Total;Total;Turkey;Total;Two parents born abroad;2022;368023.0
334;Total males and females;Total;Total;Turkey;Total;Two parents born abroad;2023;379508.0
335;Total males and females;Total;Total;Turkey;Total;Two parents born abroad;2024;390175.0
336;Total males and females;Total;Total;Turkey;Person born in the Netherlands;Total;2022;225729.0
337;Total males and females;Total;Total;Turkey;Person born in the Netherlands;Total;2023;228608.0
338;Total males and females;Total;Total;Turkey;Person born in the Netherlands;Total;2024;231594.0
339;Total males and females;Total;Total;Turkey;Person born in the Netherlands;Two parents born in the Netherlands;2022;
340;Total males and females;Total;Total;Turkey;Person born in the Netherlands;Two parents born in the Netherlands;2023;
341;Total males and females;Total;Total;Turkey;Person born in the Netherlands;Two parents born in the Netherlands;2024;
342;Total males and females;Total;Total;Turkey;Person born in the Netherlands;One parent born in NL, one born abroad;2022;60283.0
343;Total males and females;Total;Total;Turkey;Person born in the Netherlands;One parent born in NL, one born abroad;2023;62188.0
344;Total males and females;Total;Total;Turkey;Person born in the Netherlands;One parent born in NL, one born abroad;2024;64016.0
345;Total males and females;Total;Total;Turkey;Person born in the Netherlands;Two parents born abroad;2022;165446.0
346;Total males and females;Total;Total;Turkey;Person born in the Netherlands;Two parents born abroad;2023;166420.0
347;Total males and females;Total;Total;Turkey;Person born in the Netherlands;Two parents born abroad;2024;167578.0
348;Total males and females;Total;Total;Turkey;Person born abroad;Total;2022;204953.0
349;Total males and females;Total;Total;Turkey;Person born abroad;Total;2023;215721.0
350;Total males and females;Total;Total;Turkey;Person born abroad;Total;2024;225506.0
351;Total males and females;Total;Total;Turkey;Person born abroad;Two parents born in the Netherlands;2022;704.0
352;Total males and females;Total;Total;Turkey;Person born abroad;Two parents born in the Netherlands;2023;761.0
353;Total males and females;Total;Total;Turkey;Person born abroad;Two parents born in the Netherlands;2024;832.0
354;Total males and females;Total;Total;Turkey;Person born abroad;One parent born in NL, one born abroad;2022;1672.0
355;Total males and females;Total;Total;Turkey;Person born abroad;One parent born in NL, one born abroad;2023;1872.0
356;Total males and females;Total;Total;Turkey;Person born abroad;One parent born in NL, one born abroad;2024;2077.0
357;Total males and females;Total;Total;Turkey;Person born abroad;Two parents born abroad;2022;202577.0
358;Total males and females;Total;Total;Turkey;Person born abroad;Two parents born abroad;2023;213088.0
359;Total males and females;Total;Total;Turkey;Person born abroad;Two parents born abroad;2024;222597.0
360;Total males and females;Total;Total;Africa (excluding Morocco);Total;Total;2022;341835.0
361;Total males and females;Total;Total;Africa (excluding Morocco);Total;Total;2023;359982.0
362;Total males and females;Total;Total;Africa (excluding Morocco);Total;Total;2024;377706.0
363;Total males and females;Total;Total;Africa (excluding Morocco);Total;Two parents born in the Netherlands;2022;11327.0
364;Total males and females;Total;Total;Africa (excluding Morocco);Total;Two parents born in the Netherlands;2023;11298.0
365;Total males and females;Total;Total;Africa (excluding Morocco);Total;Two parents born in the Netherlands;2024;11278.0
366;Total males and females;Total;Total;Africa (excluding Morocco);Total;One parent born in NL, one born abroad;2022;62424.0
367;Total males and females;Total;Total;Africa (excluding Morocco);Total;One parent born in NL, one born abroad;2023;64013.0
368;Total males and females;Total;Total;Africa (excluding Morocco);Total;One parent born in NL, one born abroad;2024;65551.0
369;Total males and females;Total;Total;Africa (excluding Morocco);Total;Two parents born abroad;2022;268084.0
370;Total males and females;Total;Total;Africa (excluding Morocco);Total;Two parents born abroad;2023;284671.0
371;Total males and females;Total;Total;Africa (excluding Morocco);Total;Two parents born abroad;2024;300877.0
372;Total males and females;Total;Total;Africa (excluding Morocco);Person born in the Netherlands;Total;2022;131667.0
373;Total males and females;Total;Total;Africa (excluding Morocco);Person born in the Netherlands;Total;2023;136358.0
374;Total males and females;Total;Total;Africa (excluding Morocco);Person born in the Netherlands;Total;2024;141377.0
375;Total males and females;Total;Total;Africa (excluding Morocco);Person born in the Netherlands;Two parents born in the Netherlands;2022;
376;Total males and females;Total;Total;Africa (excluding Morocco);Person born in the Netherlands;Two parents born in the Netherlands;2023;
377;Total males and females;Total;Total;Africa (excluding Morocco);Person born in the Netherlands;Two parents born in the Netherlands;2024;
378;Total males and females;Total;Total;Africa (excluding Morocco);Person born in the Netherlands;One parent born in NL, one born abroad;2022;55744.0
379;Total males and females;Total;Total;Africa (excluding Morocco);Person born in the Netherlands;One parent born in NL, one born abroad;2023;57163.0
380;Total males and females;Total;Total;Africa (excluding Morocco);Person born in the Netherlands;One parent born in NL, one born abroad;2024;58606.0
381;Total males and females;Total;Total;Africa (excluding Morocco);Person born in the Netherlands;Two parents born abroad;2022;75923.0
382;Total males and females;Total;Total;Africa (excluding Morocco);Person born in the Netherlands;Two parents born abroad;2023;79195.0
383;Total males and females;Total;Total;Africa (excluding Morocco);Person born in the Netherlands;Two parents born abroad;2024;82771.0
384;Total males and females;Total;Total;Africa (excluding Morocco);Person born abroad;Total;2022;210168.0
385;Total males and females;Total;Total;Africa (excluding Morocco);Person born abroad;Total;2023;223624.0
386;Total males and females;Total;Total;Africa (excluding Morocco);Person born abroad;Total;2024;236329.0
387;Total males and females;Total;Total;Africa (excluding Morocco);Person born abroad;Two parents born in the Netherlands;2022;11327.0
388;Total males and females;Total;Total;Africa (excluding Morocco);Person born abroad;Two parents born in the Netherlands;2023;11298.0
389;Total males and females;Total;Total;Africa (excluding Morocco);Person born abroad;Two parents born in the Netherlands;2024;11278.0
390;Total males and females;Total;Total;Africa (excluding Morocco);Person born abroad;One parent born in NL, one born abroad;2022;6680.0
391;Total males and females;Total;Total;Africa (excluding Morocco);Person born abroad;One parent born in NL, one born abroad;2023;6850.0
392;Total males and females;Total;Total;Africa (excluding Morocco);Person born abroad;One parent born in NL, one born abroad;2024;6945.0
393;Total males and females;Total;Total;Africa (excluding Morocco);Person born abroad;Two parents born abroad;2022;192161.0
394;Total males and females;Total;Total;Africa (excluding Morocco);Person born abroad;Two parents born abroad;2023;205476.0
395;Total males and females;Total;Total;Africa (excluding Morocco);Person born abroad;Two parents born abroad;2024;218106.0
396;Total males and females;Total;Total;Americas and Oceania (excluding Suri...;Total;Total;2022;268930.0
397;Total males and females;Total;Total;Americas and Oceania (excluding Suri...;Total;Total;2023;282794.0
398;Total males and females;Total;Total;Americas and Oceania (excluding Suri...;Total;Total;2024;295682.0
399;Total males and females;Total;Total;Americas and Oceania (excluding Suri...;Total;Two parents born in the Netherlands;2022;29544.0
400;Total males and females;Total;Total;Americas and Oceania (excluding Suri...;Total;Two parents born in the Netherlands;2023;29564.0
401;Total males and females;Total;Total;Americas and Oceania (excluding Suri...;Total;Two parents born in the Netherlands;2024;29598.0
