ID;Transactions;InstitutionalSectors;Periods;GovernmentRevenue_1
585;Total government revenue;Local government;2008 1st quarter;21414
586;Total government revenue;Local government;2008 2nd quarter;23860
587;Total government revenue;Local government;2008 3rd quarter;21806
588;Total government revenue;Local government;2008 4th quarter;21683
589;Total government revenue;Local government;2008;88763
590;Total government revenue;Local government;2009 1st quarter;22218
591;Total government revenue;Local government;2009 2nd quarter;24977
592;Total government revenue;Local government;2009 3rd quarter;23589
593;Total government revenue;Local government;2009 4th quarter;23219
594;Total government revenue;Local government;2009;94003
595;Total government revenue;Local government;2010 1st quarter;23180
596;Total government revenue;Local government;2010 2nd quarter;25251
597;Total government revenue;Local government;2010 3rd quarter;22300
598;Total government revenue;Local government;2010 4th quarter;22795
599;Total government revenue;Local government;2010;93526
600;Total government revenue;Local government;2011 1st quarter;23349
601;Total government revenue;Local government;2011 2nd quarter;25530
602;Total government revenue;Local government;2011 3rd quarter;22597
603;Total government revenue;Local government;2011 4th quarter;22417
604;Total government revenue;Local government;2011;93893
605;Total government revenue;Local government;2012 1st quarter;23412
606;Total government revenue;Local government;2012 2nd quarter;25643
607;Total government revenue;Local government;2012 3rd quarter;21474
608;Total government revenue;Local government;2012 4th quarter;22284
609;Total government revenue;Local government;2012;92813
610;Total government revenue;Local government;2013 1st quarter;21940
611;Total government revenue;Local government;2013 2nd quarter;23344
612;Total government revenue;Local government;2013 3rd quarter;20395
613;Total government revenue;Local government;2013 4th quarter;22967
614;Total government revenue;Local government;2013;88646
615;Total government revenue;Local government;2014 1st quarter;22251
616;Total government revenue;Local government;2014 2nd quarter;24072
617;Total government revenue;Local government;2014 3rd quarter;21687
618;Total government revenue;Local government;2014 4th quarter;21085
619;Total government revenue;Local government;2014;89095
620;Total government revenue;Local government;2015 1st quarter;24078
621;Total government revenue;Local government;2015 2nd quarter;25400
622;Total government revenue;Local government;2015 3rd quarter;22593
623;Total government revenue;Local government;2015 4th quarter;23345
624;Total government revenue;Local government;2015;95416
625;Total government revenue;Local government;2016 1st quarter;24715
626;Total government revenue;Local government;2016 2nd quarter;25629
627;Total government revenue;Local government;2016 3rd quarter;22997
628;Total government revenue;Local government;2016 4th quarter;23324
629;Total government revenue;Local government;2016;96665
630;Total government revenue;Local government;2017 1st quarter;24528
631;Total government revenue;Local government;2017 2nd quarter;25785
632;Total government revenue;Local government;2017 3rd quarter;23069
633;Total government revenue;Local government;2017 4th quarter;23692
634;Total government revenue;Local government;2017;97074
635;Total government revenue;Local government;2018 1st quarter;24988
636;Total government revenue;Local government;2018 2nd quarter;25951
637;Total government revenue;Local government;2018 3rd quarter;23992
638;Total government revenue;Local government;2018 4th quarter;24842
639;Total government revenue;Local government;2018;99773
640;Total government revenue;Local government;2019 1st quarter;25414
641;Total government revenue;Local government;2019 2nd quarter;27121
642;Total government revenue;Local government;2019 3rd quarter;25775
643;Total government revenue;Local government;2019 4th quarter;24727
644;Total government revenue;Local government;2019;103037
645;Total government revenue;Local government;2020 1st quarter;27105
646;Total government revenue;Local government;2020 2nd quarter;29040
647;Total government revenue;Local government;2020 3rd quarter;26771
648;Total government revenue;Local government;2020 4th quarter;27168
649;Total government revenue;Local government;2020;110084
650;Total government revenue;Local government;2021 1st quarter;28726
651;Total government revenue;Local government;2021 2nd quarter;30538
652;Total government revenue;Local government;2021 3rd quarter;29745
653;Total government revenue;Local government;2021 4th quarter;29022
654;Total government revenue;Local government;2021;118031
655;Total government revenue;Local government;2022 1st quarter;30748
656;Total government revenue;Local government;2022 2nd quarter;31584
657;Total government revenue;Local government;2022 3rd quarter;33009
658;Total government revenue;Local government;2022 4th quarter;32104
659;Total government revenue;Local government;2022;127445
660;Total government revenue;Local government;2023 1st quarter;32646
661;Total government revenue;Local government;2023 2nd quarter;33468
662;Total government revenue;Local government;2023 3rd quarter;33283
663;Total government revenue;Local government;2023 4th quarter;36217
664;Total government revenue;Local government;2023;135614
665;Total government revenue;Local government;2024 1st quarter;33094
666;Total government revenue;Local government;2024 2nd quarter;36119
667;Total government revenue;Local government;2024 3rd quarter;36444
668;Total government revenue;Local government;2024 4th quarter;38212
669;Total government revenue;Local government;2024;143869
