ID;Transactions;InstitutionalSectors;Periods;GovernmentExpenditure_1
562;Total government expenditure;Local government;2003 3rd quarter;18750
563;Total government expenditure;Local government;2003 4th quarter;21356
564;Total government expenditure;Local government;2003;78830
565;Total government expenditure;Local government;2004 1st quarter;18408
566;Total government expenditure;Local government;2004 2nd quarter;20505
567;Total government expenditure;Local government;2004 3rd quarter;18479
568;Total government expenditure;Local government;2004 4th quarter;21206
569;Total government expenditure;Local government;2004;78598
570;Total government expenditure;Local government;2005 1st quarter;17757
571;Total government expenditure;Local government;2005 2nd quarter;20872
572;Total government expenditure;Local government;2005 3rd quarter;18520
573;Total government expenditure;Local government;2005 4th quarter;22808
574;Total government expenditure;Local government;2005;79957
575;Total government expenditure;Local government;2006 1st quarter;19096
576;Total government expenditure;Local government;2006 2nd quarter;21151
577;Total government expenditure;Local government;2006 3rd quarter;19384
578;Total government expenditure;Local government;2006 4th quarter;22007
579;Total government expenditure;Local government;2006;81638
580;Total government expenditure;Local government;2007 1st quarter;20493
581;Total government expenditure;Local government;2007 2nd quarter;22944
582;Total government expenditure;Local government;2007 3rd quarter;20405
583;Total government expenditure;Local government;2007 4th quarter;23505
584;Total government expenditure;Local government;2007;87347
585;Total government expenditure;Local government;2008 1st quarter;22085
586;Total government expenditure;Local government;2008 2nd quarter;24676
587;Total government expenditure;Local government;2008 3rd quarter;21458
588;Total government expenditure;Local government;2008 4th quarter;25063
589;Total government expenditure;Local government;2008;93282
590;Total government expenditure;Local government;2009 1st quarter;23289
591;Total government expenditure;Local government;2009 2nd quarter;25993
592;Total government expenditure;Local government;2009 3rd quarter;24303
593;Total government expenditure;Local government;2009 4th quarter;26166
594;Total government expenditure;Local government;2009;99751
595;Total government expenditure;Local government;2010 1st quarter;23493
596;Total government expenditure;Local government;2010 2nd quarter;26583
597;Total government expenditure;Local government;2010 3rd quarter;23790
598;Total government expenditure;Local government;2010 4th quarter;26744
599;Total government expenditure;Local government;2010;100610
600;Total government expenditure;Local government;2011 1st quarter;22834
601;Total government expenditure;Local government;2011 2nd quarter;25809
602;Total government expenditure;Local government;2011 3rd quarter;23551
603;Total government expenditure;Local government;2011 4th quarter;25940
604;Total government expenditure;Local government;2011;98134
605;Total government expenditure;Local government;2012 1st quarter;22491
606;Total government expenditure;Local government;2012 2nd quarter;25347
607;Total government expenditure;Local government;2012 3rd quarter;22889
608;Total government expenditure;Local government;2012 4th quarter;24874
609;Total government expenditure;Local government;2012;95601
610;Total government expenditure;Local government;2013 1st quarter;21327
611;Total government expenditure;Local government;2013 2nd quarter;23765
612;Total government expenditure;Local government;2013 3rd quarter;21819
613;Total government expenditure;Local government;2013 4th quarter;24105
614;Total government expenditure;Local government;2013;91016
615;Total government expenditure;Local government;2014 1st quarter;21186
616;Total government expenditure;Local government;2014 2nd quarter;24222
617;Total government expenditure;Local government;2014 3rd quarter;21765
618;Total government expenditure;Local government;2014 4th quarter;23481
619;Total government expenditure;Local government;2014;90654
620;Total government expenditure;Local government;2015 1st quarter;23118
621;Total government expenditure;Local government;2015 2nd quarter;25445
622;Total government expenditure;Local government;2015 3rd quarter;23225
623;Total government expenditure;Local government;2015 4th quarter;24884
624;Total government expenditure;Local government;2015;96672
625;Total government expenditure;Local government;2016 1st quarter;23040
626;Total government expenditure;Local government;2016 2nd quarter;25311
627;Total government expenditure;Local government;2016 3rd quarter;23167
628;Total government expenditure;Local government;2016 4th quarter;24699
629;Total government expenditure;Local government;2016;96217
630;Total government expenditure;Local government;2017 1st quarter;23368
631;Total government expenditure;Local government;2017 2nd quarter;25774
