ID;Population;Sex;PersonalCharacteristics;Margins;Periods;TrafficParticipation_1;UseOfPublicTransport_2
281;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2023;84.1;5.4
282;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2018;87.5;8.0
283;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2019;87.1;8.7
284;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2020;80.3;3.7
285;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2021;83.3;3.6
286;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2022;84.6;5.7
287;Population 6 years or older;Total male and female;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2023;85.6;6.3
288;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Value;2018;86.6;8.1
289;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Value;2019;86.3;7.6
290;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Value;2020;80.0;3.4
291;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Value;2021;81.7;3.1
292;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Value;2022;82.8;5.0
293;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Value;2023;84.2;6.6
294;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2018;85.8;7.6
295;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2019;85.4;7.1
296;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2020;79.3;3.1
297;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2021;81.0;2.9
298;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2022;81.9;4.6
299;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2023;83.4;6.2
300;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2018;87.4;8.7
301;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2019;87.2;8.1
302;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2020;80.7;3.7
303;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2021;82.5;3.4
304;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2022;83.6;5.4
305;Population 6 years or older;Total male and female;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2023;84.9;7.0
306;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Value;2018;88.7;40.7
307;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Value;2019;86.7;41.1
308;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Value;2020;73.5;18.6
309;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Value;2021;79.6;23.7
310;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Value;2022;83.8;30.2
311;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Value;2023;83.6;33.3
312;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Lower bound 95% confidence interval;2018;87.0;38.7
313;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Lower bound 95% confidence interval;2019;84.8;38.9
314;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Lower bound 95% confidence interval;2020;71.7;17.1
315;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Lower bound 95% confidence interval;2021;78.1;22.2
316;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Lower bound 95% confidence interval;2022;82.0;28.5
317;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Lower bound 95% confidence interval;2023;81.9;31.4
318;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Upper bound 95% confidence interval;2018;90.2;42.9
319;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Upper bound 95% confidence interval;2019;88.4;43.4
320;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Upper bound 95% confidence interval;2020;75.2;20.2
321;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Upper bound 95% confidence interval;2021;81.1;25.3
322;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Upper bound 95% confidence interval;2022;85.4;32.0
323;Population 6 years or older;Total male and female;Students with week pass publ. transp.;Upper bound 95% confidence interval;2023;85.2;35.2
324;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Value;2018;94.1;17.2
325;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Value;2019;89.0;19.4
326;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Value;2020;81.8;
327;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Value;2021;82.4;16.1
328;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Value;2022;88.7;19.2
329;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Value;2023;86.2;19.8
330;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2018;88.0;12.7
331;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2019;83.9;14.6
332;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2020;76.5;
333;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2021;77.3;12.3
334;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2022;82.6;14.6
335;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2023;78.5;15.0
336;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2018;97.2;22.8
337;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2019;92.6;25.4
338;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2020;86.1;
339;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2021;86.6;20.8
340;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2022;92.8;24.9
341;Population 6 years or older;Total male and female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2023;91.5;25.6
342;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Value;2018;82.6;7.1
343;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Value;2019;81.7;7.0
344;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Value;2020;73.8;3.2
345;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Value;2021;78.0;3.2
346;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Value;2022;79.5;4.8
347;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Value;2023;80.2;5.7
348;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2018;82.2;6.9
349;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2019;81.3;6.8
350;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2020;73.4;3.0
351;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2021;77.7;3.1
352;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2022;79.1;4.6
353;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2023;79.8;5.5
354;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2018;83.1;7.4
355;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2019;82.1;7.3
356;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2020;74.2;3.4
357;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2021;78.4;3.4
358;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2022;79.9;5.0
359;Population 6 years or older;Total male and female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2023;80.6;6.0
360;Population 6 years or older;Total male and female;Level of educ: 1. Low;Value;2018;73.6;5.9
361;Population 6 years or older;Total male and female;Level of educ: 1. Low;Value;2019;72.0;5.5
362;Population 6 years or older;Total male and female;Level of educ: 1. Low;Value;2020;63.7;2.9
363;Population 6 years or older;Total male and female;Level of educ: 1. Low;Value;2021;70.5;3.2
364;Population 6 years or older;Total male and female;Level of educ: 1. Low;Value;2022;72.8;4.5
365;Population 6 years or older;Total male and female;Level of educ: 1. Low;Value;2023;72.0;4.8
366;Population 6 years or older;Total male and female;Level of educ: 1. Low;Lower bound 95% confidence interval;2018;72.6;5.4
367;Population 6 years or older;Total male and female;Level of educ: 1. Low;Lower bound 95% confidence interval;2019;71.0;5.0
368;Population 6 years or older;Total male and female;Level of educ: 1. Low;Lower bound 95% confidence interval;2020;62.8;2.6
369;Population 6 years or older;Total male and female;Level of educ: 1. Low;Lower bound 95% confidence interval;2021;69.6;2.9
370;Population 6 years or older;Total male and female;Level of educ: 1. Low;Lower bound 95% confidence interval;2022;71.9;4.1
371;Population 6 years or older;Total male and female;Level of educ: 1. Low;Lower bound 95% confidence interval;2023;71.1;4.4
372;Population 6 years or older;Total male and female;Level of educ: 1. Low;Upper bound 95% confidence interval;2018;74.5;6.4
373;Population 6 years or older;Total male and female;Level of educ: 1. Low;Upper bound 95% confidence interval;2019;73.0;5.9
374;Population 6 years or older;Total male and female;Level of educ: 1. Low;Upper bound 95% confidence interval;2020;64.7;3.2
