ID;TypeOfBankruptcy;Age;Periods;PronouncedBankrupcies_1
608;Total natural persons;25 to 29 years;2024 May;9
609;Total natural persons;25 to 29 years;2024 June;5
610;Total natural persons;25 to 29 years;2024 2nd quarter;21
611;Total natural persons;25 to 29 years;2024 July;16
612;Total natural persons;25 to 29 years;2024 August;6
613;Total natural persons;25 to 29 years;2024 September;7
614;Total natural persons;25 to 29 years;2024 3rd quarter;29
615;Total natural persons;25 to 29 years;2024 October;6
616;Total natural persons;25 to 29 years;2024 November;5
617;Total natural persons;25 to 29 years;2024 December;5
618;Total natural persons;25 to 29 years;2024 4th quarter;16
619;Total natural persons;25 to 29 years;2024;88
620;Total natural persons;25 to 29 years;2025 January;9
621;Total natural persons;25 to 29 years;2025 February;5
622;Total natural persons;25 to 29 years;2025 March;4
623;Total natural persons;25 to 29 years;2025 1st quarter;18
624;Total natural persons;30 to 34 years;2013 January;52
625;Total natural persons;30 to 34 years;2013 February;35
626;Total natural persons;30 to 34 years;2013 March;52
627;Total natural persons;30 to 34 years;2013 1st quarter;139
628;Total natural persons;30 to 34 years;2013 April;41
629;Total natural persons;30 to 34 years;2013 May;38
630;Total natural persons;30 to 34 years;2013 June;31
631;Total natural persons;30 to 34 years;2013 2nd quarter;110
632;Total natural persons;30 to 34 years;2013 July;40
633;Total natural persons;30 to 34 years;2013 August;31
634;Total natural persons;30 to 34 years;2013 September;22
635;Total natural persons;30 to 34 years;2013 3rd quarter;93
636;Total natural persons;30 to 34 years;2013 October;44
637;Total natural persons;30 to 34 years;2013 November;37
638;Total natural persons;30 to 34 years;2013 December;35
639;Total natural persons;30 to 34 years;2013 4th quarter;116
640;Total natural persons;30 to 34 years;2013;458
641;Total natural persons;30 to 34 years;2014 January;33
642;Total natural persons;30 to 34 years;2014 February;33
643;Total natural persons;30 to 34 years;2014 March;19
644;Total natural persons;30 to 34 years;2014 1st quarter;85
645;Total natural persons;30 to 34 years;2014 April;31
646;Total natural persons;30 to 34 years;2014 May;32
647;Total natural persons;30 to 34 years;2014 June;19
648;Total natural persons;30 to 34 years;2014 2nd quarter;82
649;Total natural persons;30 to 34 years;2014 July;28
650;Total natural persons;30 to 34 years;2014 August;19
651;Total natural persons;30 to 34 years;2014 September;27
652;Total natural persons;30 to 34 years;2014 3rd quarter;74
653;Total natural persons;30 to 34 years;2014 October;23
654;Total natural persons;30 to 34 years;2014 November;21
655;Total natural persons;30 to 34 years;2014 December;18
656;Total natural persons;30 to 34 years;2014 4th quarter;62
657;Total natural persons;30 to 34 years;2014;303
658;Total natural persons;30 to 34 years;2015 January;22
659;Total natural persons;30 to 34 years;2015 February;16
660;Total natural persons;30 to 34 years;2015 March;25
661;Total natural persons;30 to 34 years;2015 1st quarter;63
662;Total natural persons;30 to 34 years;2015 April;17
663;Total natural persons;30 to 34 years;2015 May;8
664;Total natural persons;30 to 34 years;2015 June;18
665;Total natural persons;30 to 34 years;2015 2nd quarter;43
666;Total natural persons;30 to 34 years;2015 July;17
667;Total natural persons;30 to 34 years;2015 August;16
668;Total natural persons;30 to 34 years;2015 September;13
669;Total natural persons;30 to 34 years;2015 3rd quarter;46
670;Total natural persons;30 to 34 years;2015 October;9
671;Total natural persons;30 to 34 years;2015 November;16
672;Total natural persons;30 to 34 years;2015 December;28
673;Total natural persons;30 to 34 years;2015 4th quarter;53
674;Total natural persons;30 to 34 years;2015;205
675;Total natural persons;30 to 34 years;2016 January;12
676;Total natural persons;30 to 34 years;2016 February;23
677;Total natural persons;30 to 34 years;2016 March;23
678;Total natural persons;30 to 34 years;2016 1st quarter;58
679;Total natural persons;30 to 34 years;2016 April;18
680;Total natural persons;30 to 34 years;2016 May;10
681;Total natural persons;30 to 34 years;2016 June;18
682;Total natural persons;30 to 34 years;2016 2nd quarter;46
683;Total natural persons;30 to 34 years;2016 July;10
684;Total natural persons;30 to 34 years;2016 August;15
685;Total natural persons;30 to 34 years;2016 September;9
686;Total natural persons;30 to 34 years;2016 3rd quarter;34
687;Total natural persons;30 to 34 years;2016 October;14
688;Total natural persons;30 to 34 years;2016 November;10
689;Total natural persons;30 to 34 years;2016 December;6
690;Total natural persons;30 to 34 years;2016 4th quarter;30
691;Total natural persons;30 to 34 years;2016;168
692;Total natural persons;30 to 34 years;2017 January;17
693;Total natural persons;30 to 34 years;2017 February;14
694;Total natural persons;30 to 34 years;2017 March;14
695;Total natural persons;30 to 34 years;2017 1st quarter;45
696;Total natural persons;30 to 34 years;2017 April;13
697;Total natural persons;30 to 34 years;2017 May;9
698;Total natural persons;30 to 34 years;2017 June;10
699;Total natural persons;30 to 34 years;2017 2nd quarter;32
700;Total natural persons;30 to 34 years;2017 July;13
701;Total natural persons;30 to 34 years;2017 August;10
702;Total natural persons;30 to 34 years;2017 September;15
703;Total natural persons;30 to 34 years;2017 3rd quarter;38
704;Total natural persons;30 to 34 years;2017 October;4
705;Total natural persons;30 to 34 years;2017 November;14
706;Total natural persons;30 to 34 years;2017 December;10
707;Total natural persons;30 to 34 years;2017 4th quarter;28
708;Total natural persons;30 to 34 years;2017;143
709;Total natural persons;30 to 34 years;2018 January;14
710;Total natural persons;30 to 34 years;2018 February;9
711;Total natural persons;30 to 34 years;2018 March;15
712;Total natural persons;30 to 34 years;2018 1st quarter;38
713;Total natural persons;30 to 34 years;2018 April;5
714;Total natural persons;30 to 34 years;2018 May;10
715;Total natural persons;30 to 34 years;2018 June;8
716;Total natural persons;30 to 34 years;2018 2nd quarter;23
717;Total natural persons;30 to 34 years;2018 July;6
718;Total natural persons;30 to 34 years;2018 August;9
719;Total natural persons;30 to 34 years;2018 September;10
720;Total natural persons;30 to 34 years;2018 3rd quarter;25
721;Total natural persons;30 to 34 years;2018 October;18
722;Total natural persons;30 to 34 years;2018 November;10
723;Total natural persons;30 to 34 years;2018 December;8
724;Total natural persons;30 to 34 years;2018 4th quarter;36
725;Total natural persons;30 to 34 years;2018;122
726;Total natural persons;30 to 34 years;2019 January;13
727;Total natural persons;30 to 34 years;2019 February;17
728;Total natural persons;30 to 34 years;2019 March;12
729;Total natural persons;30 to 34 years;2019 1st quarter;42
730;Total natural persons;30 to 34 years;2019 April;14
731;Total natural persons;30 to 34 years;2019 May;11
732;Total natural persons;30 to 34 years;2019 June;13
733;Total natural persons;30 to 34 years;2019 2nd quarter;38
734;Total natural persons;30 to 34 years;2019 July;17
735;Total natural persons;30 to 34 years;2019 August;10
736;Total natural persons;30 to 34 years;2019 September;7
737;Total natural persons;30 to 34 years;2019 3rd quarter;34
738;Total natural persons;30 to 34 years;2019 October;14
739;Total natural persons;30 to 34 years;2019 November;14
740;Total natural persons;30 to 34 years;2019 December;9
741;Total natural persons;30 to 34 years;2019 4th quarter;37
742;Total natural persons;30 to 34 years;2019;151
743;Total natural persons;30 to 34 years;2020 January;15
744;Total natural persons;30 to 34 years;2020 February;13
745;Total natural persons;30 to 34 years;2020 March;9
746;Total natural persons;30 to 34 years;2020 1st quarter;37
747;Total natural persons;30 to 34 years;2020 April;11
748;Total natural persons;30 to 34 years;2020 May;10
749;Total natural persons;30 to 34 years;2020 June;8
750;Total natural persons;30 to 34 years;2020 2nd quarter;29
751;Total natural persons;30 to 34 years;2020 July;7
752;Total natural persons;30 to 34 years;2020 August;6
753;Total natural persons;30 to 34 years;2020 September;12
754;Total natural persons;30 to 34 years;2020 3rd quarter;25
755;Total natural persons;30 to 34 years;2020 October;7
756;Total natural persons;30 to 34 years;2020 November;11
757;Total natural persons;30 to 34 years;2020 December;10
758;Total natural persons;30 to 34 years;2020 4th quarter;28
759;Total natural persons;30 to 34 years;2020;119
760;Total natural persons;30 to 34 years;2021 January;7
761;Total natural persons;30 to 34 years;2021 February;3
762;Total natural persons;30 to 34 years;2021 March;8
763;Total natural persons;30 to 34 years;2021 1st quarter;18
764;Total natural persons;30 to 34 years;2021 April;13
765;Total natural persons;30 to 34 years;2021 May;6
766;Total natural persons;30 to 34 years;2021 June;3
767;Total natural persons;30 to 34 years;2021 2nd quarter;22
768;Total natural persons;30 to 34 years;2021 July;4
769;Total natural persons;30 to 34 years;2021 August;9
770;Total natural persons;30 to 34 years;2021 September;4
771;Total natural persons;30 to 34 years;2021 3rd quarter;17
772;Total natural persons;30 to 34 years;2021 October;3
773;Total natural persons;30 to 34 years;2021 November;3
774;Total natural persons;30 to 34 years;2021 December;6
775;Total natural persons;30 to 34 years;2021 4th quarter;12
776;Total natural persons;30 to 34 years;2021;69
777;Total natural persons;30 to 34 years;2022 January;6
778;Total natural persons;30 to 34 years;2022 February;7
779;Total natural persons;30 to 34 years;2022 March;4
780;Total natural persons;30 to 34 years;2022 1st quarter;17
781;Total natural persons;30 to 34 years;2022 April;6
782;Total natural persons;30 to 34 years;2022 May;9
783;Total natural persons;30 to 34 years;2022 June;5
784;Total natural persons;30 to 34 years;2022 2nd quarter;20
785;Total natural persons;30 to 34 years;2022 July;3
786;Total natural persons;30 to 34 years;2022 August;5
787;Total natural persons;30 to 34 years;2022 September;6
788;Total natural persons;30 to 34 years;2022 3rd quarter;14
789;Total natural persons;30 to 34 years;2022 October;10
790;Total natural persons;30 to 34 years;2022 November;6
791;Total natural persons;30 to 34 years;2022 December;8
792;Total natural persons;30 to 34 years;2022 4th quarter;24
793;Total natural persons;30 to 34 years;2022;75
794;Total natural persons;30 to 34 years;2023 January;10
795;Total natural persons;30 to 34 years;2023 February;6
796;Total natural persons;30 to 34 years;2023 March;12
797;Total natural persons;30 to 34 years;2023 1st quarter;28
798;Total natural persons;30 to 34 years;2023 April;12
799;Total natural persons;30 to 34 years;2023 May;12
800;Total natural persons;30 to 34 years;2023 June;8
801;Total natural persons;30 to 34 years;2023 2nd quarter;32
802;Total natural persons;30 to 34 years;2023 July;11
803;Total natural persons;30 to 34 years;2023 August;12
804;Total natural persons;30 to 34 years;2023 September;6
805;Total natural persons;30 to 34 years;2023 3rd quarter;29
806;Total natural persons;30 to 34 years;2023 October;6
807;Total natural persons;30 to 34 years;2023 November;8
808;Total natural persons;30 to 34 years;2023 December;9
809;Total natural persons;30 to 34 years;2023 4th quarter;23
810;Total natural persons;30 to 34 years;2023;112
811;Total natural persons;30 to 34 years;2024 January;20
812;Total natural persons;30 to 34 years;2024 February;13
813;Total natural persons;30 to 34 years;2024 March;6
814;Total natural persons;30 to 34 years;2024 1st quarter;39
815;Total natural persons;30 to 34 years;2024 April;8
816;Total natural persons;30 to 34 years;2024 May;8
817;Total natural persons;30 to 34 years;2024 June;12
818;Total natural persons;30 to 34 years;2024 2nd quarter;28
819;Total natural persons;30 to 34 years;2024 July;13
820;Total natural persons;30 to 34 years;2024 August;13
821;Total natural persons;30 to 34 years;2024 September;16
822;Total natural persons;30 to 34 years;2024 3rd quarter;42
823;Total natural persons;30 to 34 years;2024 October;13
824;Total natural persons;30 to 34 years;2024 November;10
825;Total natural persons;30 to 34 years;2024 December;9
826;Total natural persons;30 to 34 years;2024 4th quarter;32
827;Total natural persons;30 to 34 years;2024;141
