ID;OwnerTenant;HouseholdCharacteristics;DwellingCharacteristics;Margins;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
322;Total;Private households;Number of rooms: 4;Lower bound 95% confidence interval;2009;88.0;81.1
323;Total;Private households;Number of rooms: 4;Lower bound 95% confidence interval;2012;87.4;82.1
324;Total;Private households;Number of rooms: 4;Lower bound 95% confidence interval;2015;84.5;79.4
325;Total;Private households;Number of rooms: 4;Lower bound 95% confidence interval;2018;82.3;80.8
326;Total;Private households;Number of rooms: 4;Lower bound 95% confidence interval;2021;82.9;81.0
327;Total;Private households;Number of rooms: 4;Lower bound 95% confidence interval;2024;80.7;80.6
328;Total;Private households;Number of rooms: 4;Upper bound 95% confidence interval;2002;88.8;83.8
329;Total;Private households;Number of rooms: 4;Upper bound 95% confidence interval;2006;90.1;84.6
330;Total;Private households;Number of rooms: 4;Upper bound 95% confidence interval;2009;89.1;82.4
331;Total;Private households;Number of rooms: 4;Upper bound 95% confidence interval;2012;88.6;83.5
332;Total;Private households;Number of rooms: 4;Upper bound 95% confidence interval;2015;85.9;81.0
333;Total;Private households;Number of rooms: 4;Upper bound 95% confidence interval;2018;83.8;82.2
334;Total;Private households;Number of rooms: 4;Upper bound 95% confidence interval;2021;84.5;82.7
335;Total;Private households;Number of rooms: 4;Upper bound 95% confidence interval;2024;82.4;82.2
336;Total;Private households;Number of rooms: 5;Value;2002;94.2;87.9
337;Total;Private households;Number of rooms: 5;Value;2006;94.1;87.8
338;Total;Private households;Number of rooms: 5;Value;2009;94.0;86.0
339;Total;Private households;Number of rooms: 5;Value;2012;93.1;86.5
340;Total;Private households;Number of rooms: 5;Value;2015;91.6;84.6
341;Total;Private households;Number of rooms: 5;Value;2018;89.3;86.8
342;Total;Private households;Number of rooms: 5;Value;2021;91.0;86.8
343;Total;Private households;Number of rooms: 5;Value;2024;89.3;86.1
344;Total;Private households;Number of rooms: 5;Lower bound 95% confidence interval;2002;93.8;87.4
345;Total;Private households;Number of rooms: 5;Lower bound 95% confidence interval;2006;93.6;87.1
346;Total;Private households;Number of rooms: 5;Lower bound 95% confidence interval;2009;93.5;85.3
347;Total;Private households;Number of rooms: 5;Lower bound 95% confidence interval;2012;92.6;85.8
348;Total;Private households;Number of rooms: 5;Lower bound 95% confidence interval;2015;91.0;83.8
349;Total;Private households;Number of rooms: 5;Lower bound 95% confidence interval;2018;88.6;86.1
350;Total;Private households;Number of rooms: 5;Lower bound 95% confidence interval;2021;90.3;86.0
351;Total;Private households;Number of rooms: 5;Lower bound 95% confidence interval;2024;88.6;85.3
352;Total;Private households;Number of rooms: 5;Upper bound 95% confidence interval;2002;94.6;88.5
353;Total;Private households;Number of rooms: 5;Upper bound 95% confidence interval;2006;94.6;88.5
354;Total;Private households;Number of rooms: 5;Upper bound 95% confidence interval;2009;94.4;86.6
355;Total;Private households;Number of rooms: 5;Upper bound 95% confidence interval;2012;93.7;87.2
356;Total;Private households;Number of rooms: 5;Upper bound 95% confidence interval;2015;92.2;85.3
357;Total;Private households;Number of rooms: 5;Upper bound 95% confidence interval;2018;89.9;87.5
358;Total;Private households;Number of rooms: 5;Upper bound 95% confidence interval;2021;91.7;87.5
359;Total;Private households;Number of rooms: 5;Upper bound 95% confidence interval;2024;90.0;86.9
360;Total;Private households;Number of rooms: 6;Value;2002;96.2;89.4
361;Total;Private households;Number of rooms: 6;Value;2006;96.9;89.0
362;Total;Private households;Number of rooms: 6;Value;2009;96.4;87.9
363;Total;Private households;Number of rooms: 6;Value;2012;95.3;90.2
364;Total;Private households;Number of rooms: 6;Value;2015;94.5;88.9
365;Total;Private households;Number of rooms: 6;Value;2018;93.2;89.9
366;Total;Private households;Number of rooms: 6;Value;2021;95.1;89.6
367;Total;Private households;Number of rooms: 6;Value;2024;92.7;88.9
368;Total;Private households;Number of rooms: 6;Lower bound 95% confidence interval;2002;95.6;88.5
369;Total;Private households;Number of rooms: 6;Lower bound 95% confidence interval;2006;96.2;87.8
370;Total;Private households;Number of rooms: 6;Lower bound 95% confidence interval;2009;95.7;86.8
371;Total;Private households;Number of rooms: 6;Lower bound 95% confidence interval;2012;94.6;89.3
372;Total;Private households;Number of rooms: 6;Lower bound 95% confidence interval;2015;93.7;87.9
373;Total;Private households;Number of rooms: 6;Lower bound 95% confidence interval;2018;92.3;89.0
374;Total;Private households;Number of rooms: 6;Lower bound 95% confidence interval;2021;94.4;88.6
375;Total;Private households;Number of rooms: 6;Lower bound 95% confidence interval;2024;91.6;87.7
376;Total;Private households;Number of rooms: 6;Upper bound 95% confidence interval;2002;96.7;90.3
377;Total;Private households;Number of rooms: 6;Upper bound 95% confidence interval;2006;97.4;90.0
378;Total;Private households;Number of rooms: 6;Upper bound 95% confidence interval;2009;96.9;88.9
379;Total;Private households;Number of rooms: 6;Upper bound 95% confidence interval;2012;95.9;91.1
380;Total;Private households;Number of rooms: 6;Upper bound 95% confidence interval;2015;95.2;89.8
381;Total;Private households;Number of rooms: 6;Upper bound 95% confidence interval;2018;93.9;90.8
382;Total;Private households;Number of rooms: 6;Upper bound 95% confidence interval;2021;95.8;90.5
383;Total;Private households;Number of rooms: 6;Upper bound 95% confidence interval;2024;93.6;89.9
384;Total;Private households;Number of rooms: 7 or more;Value;2002;96.7;90.6
385;Total;Private households;Number of rooms: 7 or more;Value;2006;97.1;91.5
386;Total;Private households;Number of rooms: 7 or more;Value;2009;97.2;89.6
387;Total;Private households;Number of rooms: 7 or more;Value;2012;97.1;91.7
388;Total;Private households;Number of rooms: 7 or more;Value;2015;96.0;90.0
389;Total;Private households;Number of rooms: 7 or more;Value;2018;94.6;91.0
390;Total;Private households;Number of rooms: 7 or more;Value;2021;95.6;92.6
391;Total;Private households;Number of rooms: 7 or more;Value;2024;92.0;90.2
392;Total;Private households;Number of rooms: 7 or more;Lower bound 95% confidence interval;2002;95.8;89.5
393;Total;Private households;Number of rooms: 7 or more;Lower bound 95% confidence interval;2006;96.2;90.2
394;Total;Private households;Number of rooms: 7 or more;Lower bound 95% confidence interval;2009;96.5;88.3
395;Total;Private households;Number of rooms: 7 or more;Lower bound 95% confidence interval;2012;96.3;90.6
396;Total;Private households;Number of rooms: 7 or more;Lower bound 95% confidence interval;2015;95.2;88.8
397;Total;Private households;Number of rooms: 7 or more;Lower bound 95% confidence interval;2018;93.7;89.9
398;Total;Private households;Number of rooms: 7 or more;Lower bound 95% confidence interval;2021;94.7;91.5
399;Total;Private households;Number of rooms: 7 or more;Lower bound 95% confidence interval;2024;90.6;88.7
400;Total;Private households;Number of rooms: 7 or more;Upper bound 95% confidence interval;2002;97.3;91.6
401;Total;Private households;Number of rooms: 7 or more;Upper bound 95% confidence interval;2006;97.7;92.7
402;Total;Private households;Number of rooms: 7 or more;Upper bound 95% confidence interval;2009;97.8;90.7
403;Total;Private households;Number of rooms: 7 or more;Upper bound 95% confidence interval;2012;97.6;92.7
404;Total;Private households;Number of rooms: 7 or more;Upper bound 95% confidence interval;2015;96.7;91.0
405;Total;Private households;Number of rooms: 7 or more;Upper bound 95% confidence interval;2018;95.4;92.0
406;Total;Private households;Number of rooms: 7 or more;Upper bound 95% confidence interval;2021;96.3;93.5
407;Total;Private households;Number of rooms: 7 or more;Upper bound 95% confidence interval;2024;93.2;91.5
408;Total;Private households;Year of construction: 1000 to 1945;Value;2002;87.6;83.5
409;Total;Private households;Year of construction: 1000 to 1945;Value;2006;87.6;84.7
410;Total;Private households;Year of construction: 1000 to 1945;Value;2009;89.7;83.6
411;Total;Private households;Year of construction: 1000 to 1945;Value;2012;88.2;84.7
412;Total;Private households;Year of construction: 1000 to 1945;Value;2015;85.5;83.7
413;Total;Private households;Year of construction: 1000 to 1945;Value;2018;84.1;85.1
414;Total;Private households;Year of construction: 1000 to 1945;Value;2021;83.3;85.4
415;Total;Private households;Year of construction: 1000 to 1945;Value;2024;79.4;83.9
416;Total;Private households;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2002;86.9;82.7
417;Total;Private households;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2006;86.7;83.8
418;Total;Private households;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2009;89.0;82.7
419;Total;Private households;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2012;87.3;83.8
420;Total;Private households;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2015;84.6;82.8
421;Total;Private households;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2018;83.1;84.2
422;Total;Private households;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2021;82.2;84.4
423;Total;Private households;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2024;78.2;82.8
424;Total;Private households;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2002;88.3;84.2
425;Total;Private households;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2006;88.4;85.5
426;Total;Private households;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2009;90.4;84.4
427;Total;Private households;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2012;89.0;85.6
428;Total;Private households;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2015;86.4;84.6
429;Total;Private households;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2018;85.1;86.0
430;Total;Private households;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2021;84.4;86.4
431;Total;Private households;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2024;80.5;84.9
432;Total;Private households;Year of construction: 1946 to 1970;Value;2002;85.3;82.3
433;Total;Private households;Year of construction: 1946 to 1970;Value;2006;86.1;82.7
434;Total;Private households;Year of construction: 1946 to 1970;Value;2009;84.9;80.6
435;Total;Private households;Year of construction: 1946 to 1970;Value;2012;84.3;81.1
436;Total;Private households;Year of construction: 1946 to 1970;Value;2015;81.7;78.6
437;Total;Private households;Year of construction: 1946 to 1970;Value;2018;77.9;78.8
438;Total;Private households;Year of construction: 1946 to 1970;Value;2021;79.5;79.4
439;Total;Private households;Year of construction: 1946 to 1970;Value;2024;75.6;78.3
440;Total;Private households;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2002;84.7;81.6
441;Total;Private households;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2006;85.4;82.0
442;Total;Private households;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2009;84.2;79.9
443;Total;Private households;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2012;83.5;80.3
444;Total;Private households;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2015;80.9;77.7
445;Total;Private households;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2018;77.0;77.9
446;Total;Private households;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2021;78.5;78.4
447;Total;Private households;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2024;74.5;77.3
448;Total;Private households;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2002;85.9;82.9
449;Total;Private households;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2006;86.7;83.4
450;Total;Private households;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2009;85.6;81.3
451;Total;Private households;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2012;85.0;81.8
452;Total;Private households;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2015;82.5;79.4
453;Total;Private households;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2018;78.8;79.6
454;Total;Private households;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2021;80.5;80.4
