ID;InstitutionalSectors;TransactionsAndBalancingItems;Periods;GovernmentProductionAndConsumption_1
619;Central government;P1 Output;2005;40560
620;Central government;P1 Output;2006;43096
621;Central government;P1 Output;2007;44872
622;Central government;P1 Output;2008;49475
623;Central government;P1 Output;2009;48867
624;Central government;P1 Output;2010;49146
625;Central government;P1 Output;2011;49311
626;Central government;P1 Output;2012;50822
627;Central government;P1 Output;2013;56205
628;Central government;P1 Output;2014;54775
629;Central government;P1 Output;2015;53058
630;Central government;P1 Output;2016;53306
631;Central government;P1 Output;2017;53712
632;Central government;P1 Output;2018;55632
633;Central government;P1 Output;2019;57814
634;Central government;P1 Output;2020;60358
635;Central government;P1 Output;2021;66894
636;Central government;P1 Output;2022;77101
637;Central government;P1 Output;2023;76386
638;Central government;P11 Market output;1995;3520
639;Central government;P11 Market output;1996;3919
640;Central government;P11 Market output;1997;3988
641;Central government;P11 Market output;1998;3780
642;Central government;P11 Market output;1999;3412
643;Central government;P11 Market output;2000;4511
644;Central government;P11 Market output;2001;5512
645;Central government;P11 Market output;2002;5058
646;Central government;P11 Market output;2003;5306
647;Central government;P11 Market output;2004;5723
648;Central government;P11 Market output;2005;6348
649;Central government;P11 Market output;2006;7739
650;Central government;P11 Market output;2007;7738
651;Central government;P11 Market output;2008;10553
652;Central government;P11 Market output;2009;8330
653;Central government;P11 Market output;2010;8615
654;Central government;P11 Market output;2011;9259
655;Central government;P11 Market output;2012;10638
656;Central government;P11 Market output;2013;10927
657;Central government;P11 Market output;2014;8869
658;Central government;P11 Market output;2015;6611
659;Central government;P11 Market output;2016;5114
660;Central government;P11 Market output;2017;5110
661;Central government;P11 Market output;2018;4721
662;Central government;P11 Market output;2019;4225
663;Central government;P11 Market output;2020;3074
664;Central government;P11 Market output;2021;5013
665;Central government;P11 Market output;2022;10047
666;Central government;P11 Market output;2023;3430
667;Central government;P12A Own-account capital formation;1995;1966
668;Central government;P12A Own-account capital formation;1996;1950
669;Central government;P12A Own-account capital formation;1997;2060
670;Central government;P12A Own-account capital formation;1998;2161
671;Central government;P12A Own-account capital formation;1999;2386
672;Central government;P12A Own-account capital formation;2000;2514
673;Central government;P12A Own-account capital formation;2001;2808
674;Central government;P12A Own-account capital formation;2002;3036
675;Central government;P12A Own-account capital formation;2003;3243
676;Central government;P12A Own-account capital formation;2004;3331
677;Central government;P12A Own-account capital formation;2005;3382
678;Central government;P12A Own-account capital formation;2006;3467
679;Central government;P12A Own-account capital formation;2007;3414
680;Central government;P12A Own-account capital formation;2008;3537
681;Central government;P12A Own-account capital formation;2009;3762
682;Central government;P12A Own-account capital formation;2010;3941
683;Central government;P12A Own-account capital formation;2011;4182
684;Central government;P12A Own-account capital formation;2012;4132
685;Central government;P12A Own-account capital formation;2013;4334
686;Central government;P12A Own-account capital formation;2014;4453
687;Central government;P12A Own-account capital formation;2015;4613
688;Central government;P12A Own-account capital formation;2016;4675
689;Central government;P12A Own-account capital formation;2017;4840
690;Central government;P12A Own-account capital formation;2018;5112
691;Central government;P12A Own-account capital formation;2019;5217
692;Central government;P12A Own-account capital formation;2020;5450
693;Central government;P12A Own-account capital formation;2021;5768
694;Central government;P12A Own-account capital formation;2022;6008
695;Central government;P12A Own-account capital formation;2023;6299
696;Central government;P13 Non-marketoutput;1995;21077
697;Central government;P13 Non-marketoutput;1996;21534
698;Central government;P13 Non-marketoutput;1997;22196
699;Central government;P13 Non-marketoutput;1998;23401
700;Central government;P13 Non-marketoutput;1999;24157
701;Central government;P13 Non-marketoutput;2000;25769
702;Central government;P13 Non-marketoutput;2001;28020
703;Central government;P13 Non-marketoutput;2002;29519
704;Central government;P13 Non-marketoutput;2003;30200
705;Central government;P13 Non-marketoutput;2004;29844
706;Central government;P13 Non-marketoutput;2005;30830
707;Central government;P13 Non-marketoutput;2006;31890
708;Central government;P13 Non-marketoutput;2007;33720
709;Central government;P13 Non-marketoutput;2008;35385
710;Central government;P13 Non-marketoutput;2009;36775
711;Central government;P13 Non-marketoutput;2010;36590
712;Central government;P13 Non-marketoutput;2011;35870
713;Central government;P13 Non-marketoutput;2012;36052
714;Central government;P13 Non-marketoutput;2013;40944
715;Central government;P13 Non-marketoutput;2014;41453
716;Central government;P13 Non-marketoutput;2015;41834
717;Central government;P13 Non-marketoutput;2016;43517
718;Central government;P13 Non-marketoutput;2017;43762
719;Central government;P13 Non-marketoutput;2018;45799
720;Central government;P13 Non-marketoutput;2019;48372
721;Central government;P13 Non-marketoutput;2020;51834
722;Central government;P13 Non-marketoutput;2021;56113
