ID;OwnerOrTenant;HouseholdCharacteristics;DwellingCharacteristics;Accuracy;Periods;TotalHousingCosts_1;NetRentOrMortgage_2;AdditionalHousingCosts_3;HousingCostRatio_4;NonSkewedRent_5;SkewedTowardsCheapRent_6;SkewedTowardsExpensiveRent_7
213;Total;Age head of household: younger than 35;Type of dwelling: multi-family;Upper bound 95% confidence interval;2015;685.0;527.0;159.0;43.0;;;
214;Total;Age head of household: younger than 35;Type of dwelling: multi-family;Upper bound 95% confidence interval;2018;701.0;542.0;161.0;42.3;;;
215;Total;Age head of household: younger than 35;Type of dwelling: multi-family;Upper bound 95% confidence interval;2021;786.0;646.0;142.0;40.8;;;
216;Total;Age head of household: younger than 35;Living surface: less than  75 m²;Value;2012;584.0;425.0;159.0;41.1;;;
217;Total;Age head of household: younger than 35;Living surface: less than  75 m²;Value;2015;609.0;457.0;152.0;43.2;;;
218;Total;Age head of household: younger than 35;Living surface: less than  75 m²;Value;2018;631.0;477.0;154.0;42.9;;;
219;Total;Age head of household: younger than 35;Living surface: less than  75 m²;Value;2021;706.0;574.0;132.0;40.8;;;
220;Total;Age head of household: younger than 35;Living surface: less than  75 m²;Lower bound 95% confidence interval;2012;574.0;416.0;156.0;40.0;;;
221;Total;Age head of household: younger than 35;Living surface: less than  75 m²;Lower bound 95% confidence interval;2015;596.0;443.0;150.0;42.1;;;
222;Total;Age head of household: younger than 35;Living surface: less than  75 m²;Lower bound 95% confidence interval;2018;617.0;464.0;152.0;41.7;;;
223;Total;Age head of household: younger than 35;Living surface: less than  75 m²;Lower bound 95% confidence interval;2021;689.0;557.0;130.0;39.5;;;
224;Total;Age head of household: younger than 35;Living surface: less than  75 m²;Upper bound 95% confidence interval;2012;594.0;435.0;161.0;42.2;;;
225;Total;Age head of household: younger than 35;Living surface: less than  75 m²;Upper bound 95% confidence interval;2015;622.0;470.0;154.0;44.4;;;
226;Total;Age head of household: younger than 35;Living surface: less than  75 m²;Upper bound 95% confidence interval;2018;644.0;490.0;156.0;44.1;;;
227;Total;Age head of household: younger than 35;Living surface: less than  75 m²;Upper bound 95% confidence interval;2021;724.0;592.0;134.0;42.1;;;
228;Total;Age head of household: younger than 35;Living surface: 75 to 99 m²;Value;2012;776.0;595.0;180.0;36.7;;;
229;Total;Age head of household: younger than 35;Living surface: 75 to 99 m²;Value;2015;763.0;587.0;176.0;36.0;;;
230;Total;Age head of household: younger than 35;Living surface: 75 to 99 m²;Value;2018;783.0;604.0;180.0;34.3;;;
231;Total;Age head of household: younger than 35;Living surface: 75 to 99 m²;Value;2021;850.0;685.0;165.0;32.6;;;
232;Total;Age head of household: younger than 35;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2012;756.0;576.0;177.0;35.5;;;
233;Total;Age head of household: younger than 35;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2015;748.0;573.0;173.0;35.1;;;
234;Total;Age head of household: younger than 35;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2018;768.0;588.0;177.0;33.3;;;
235;Total;Age head of household: younger than 35;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2021;827.0;662.0;162.0;31.4;;;
236;Total;Age head of household: younger than 35;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2012;795.0;615.0;183.0;37.9;;;
237;Total;Age head of household: younger than 35;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2015;778.0;602.0;178.0;37.0;;;
238;Total;Age head of household: younger than 35;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2018;799.0;619.0;182.0;35.4;;;
239;Total;Age head of household: younger than 35;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2021;874.0;708.0;168.0;33.8;;;
240;Total;Age head of household: younger than 35;Living surface: 100 to 149 m²;Value;2012;955.0;749.0;206.0;33.7;;;
241;Total;Age head of household: younger than 35;Living surface: 100 to 149 m²;Value;2015;950.0;749.0;201.0;33.9;;;
242;Total;Age head of household: younger than 35;Living surface: 100 to 149 m²;Value;2018;977.0;773.0;204.0;32.1;;;
243;Total;Age head of household: younger than 35;Living surface: 100 to 149 m²;Value;2021;1029.0;836.0;194.0;29.9;;;
244;Total;Age head of household: younger than 35;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2012;935.0;729.0;204.0;33.0;;;
245;Total;Age head of household: younger than 35;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2015;933.0;732.0;199.0;33.0;;;
246;Total;Age head of household: younger than 35;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2018;962.0;759.0;201.0;31.3;;;
247;Total;Age head of household: younger than 35;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2021;1008.0;815.0;191.0;29.0;;;
248;Total;Age head of household: younger than 35;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2012;975.0;768.0;209.0;34.5;;;
249;Total;Age head of household: younger than 35;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2015;967.0;765.0;204.0;34.8;;;
250;Total;Age head of household: younger than 35;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2018;991.0;787.0;206.0;32.9;;;
251;Total;Age head of household: younger than 35;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2021;1050.0;856.0;196.0;30.9;;;
252;Total;Age head of household: younger than 35;Living surface: 150 m² or more;Value;2012;1105.0;879.0;226.0;36.7;;;
253;Total;Age head of household: younger than 35;Living surface: 150 m² or more;Value;2015;1152.0;913.0;239.0;37.0;;;
254;Total;Age head of household: younger than 35;Living surface: 150 m² or more;Value;2018;1247.0;1007.0;240.0;34.9;;;
255;Total;Age head of household: younger than 35;Living surface: 150 m² or more;Value;2021;1275.0;1040.0;235.0;33.2;;;
256;Total;Age head of household: younger than 35;Living surface: 150 m² or more;Lower bound 95% confidence interval;2012;1068.0;844.0;221.0;35.5;;;
257;Total;Age head of household: younger than 35;Living surface: 150 m² or more;Lower bound 95% confidence interval;2015;1102.0;862.0;231.0;34.4;;;
258;Total;Age head of household: younger than 35;Living surface: 150 m² or more;Lower bound 95% confidence interval;2018;1183.0;945.0;233.0;33.1;;;
259;Total;Age head of household: younger than 35;Living surface: 150 m² or more;Lower bound 95% confidence interval;2021;1219.0;985.0;228.0;31.3;;;
260;Total;Age head of household: younger than 35;Living surface: 150 m² or more;Upper bound 95% confidence interval;2012;1142.0;914.0;230.0;38.0;;;
261;Total;Age head of household: younger than 35;Living surface: 150 m² or more;Upper bound 95% confidence interval;2015;1202.0;964.0;247.0;39.6;;;
262;Total;Age head of household: younger than 35;Living surface: 150 m² or more;Upper bound 95% confidence interval;2018;1310.0;1069.0;247.0;36.8;;;
263;Total;Age head of household: younger than 35;Living surface: 150 m² or more;Upper bound 95% confidence interval;2021;1331.0;1095.0;242.0;35.2;;;
264;Total;Age head of household: 35 to 44;Dwelling: 1st 25%-group WOZ;Value;2012;604.0;423.0;181.0;33.3;;;
265;Total;Age head of household: 35 to 44;Dwelling: 1st 25%-group WOZ;Value;2015;616.0;438.0;177.0;34.1;;;
266;Total;Age head of household: 35 to 44;Dwelling: 1st 25%-group WOZ;Value;2018;615.0;436.0;179.0;31.8;;;
267;Total;Age head of household: 35 to 44;Dwelling: 1st 25%-group WOZ;Value;2021;639.0;472.0;167.0;29.3;;;
268;Total;Age head of household: 35 to 44;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2012;588.0;408.0;178.0;32.4;;;
269;Total;Age head of household: 35 to 44;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2015;605.0;428.0;174.0;33.3;;;
270;Total;Age head of household: 35 to 44;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2018;603.0;424.0;176.0;31.0;;;
271;Total;Age head of household: 35 to 44;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2021;622.0;456.0;163.0;28.4;;;
272;Total;Age head of household: 35 to 44;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2012;620.0;438.0;184.0;34.1;;;
273;Total;Age head of household: 35 to 44;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2015;627.0;449.0;180.0;34.9;;;
274;Total;Age head of household: 35 to 44;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2018;628.0;448.0;182.0;32.5;;;
275;Total;Age head of household: 35 to 44;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2021;656.0;489.0;170.0;30.1;;;
276;Total;Age head of household: 35 to 44;Dwelling: 2nd 25%-group WOZ;Value;2012;792.0;584.0;208.0;32.1;;;
277;Total;Age head of household: 35 to 44;Dwelling: 2nd 25%-group WOZ;Value;2015;796.0;600.0;196.0;31.7;;;
278;Total;Age head of household: 35 to 44;Dwelling: 2nd 25%-group WOZ;Value;2018;848.0;651.0;197.0;30.8;;;
279;Total;Age head of household: 35 to 44;Dwelling: 2nd 25%-group WOZ;Value;2021;839.0;651.0;188.0;28.3;;;
280;Total;Age head of household: 35 to 44;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2012;777.0;570.0;205.0;31.3;;;
281;Total;Age head of household: 35 to 44;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2015;783.0;588.0;194.0;30.9;;;
282;Total;Age head of household: 35 to 44;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2018;823.0;627.0;194.0;30.0;;;
283;Total;Age head of household: 35 to 44;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2021;821.0;633.0;185.0;27.4;;;
284;Total;Age head of household: 35 to 44;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2012;807.0;598.0;211.0;32.8;;;
285;Total;Age head of household: 35 to 44;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2015;809.0;612.0;199.0;32.5;;;
286;Total;Age head of household: 35 to 44;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2018;873.0;675.0;200.0;31.6;;;
287;Total;Age head of household: 35 to 44;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2021;858.0;670.0;191.0;29.3;;;
288;Total;Age head of household: 35 to 44;Dwellings: 3rd 25%-group WOZ;Value;2012;988.0;760.0;229.0;31.6;;;
289;Total;Age head of household: 35 to 44;Dwellings: 3rd 25%-group WOZ;Value;2015;981.0;767.0;214.0;30.0;;;
290;Total;Age head of household: 35 to 44;Dwellings: 3rd 25%-group WOZ;Value;2018;1030.0;816.0;214.0;27.8;;;
291;Total;Age head of household: 35 to 44;Dwellings: 3rd 25%-group WOZ;Value;2021;1057.0;850.0;208.0;26.7;;;
292;Total;Age head of household: 35 to 44;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2012;970.0;742.0;226.0;30.8;;;
293;Total;Age head of household: 35 to 44;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2015;967.0;754.0;211.0;29.2;;;
294;Total;Age head of household: 35 to 44;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2018;1014.0;801.0;211.0;27.2;;;
295;Total;Age head of household: 35 to 44;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2021;1038.0;831.0;204.0;25.8;;;
296;Total;Age head of household: 35 to 44;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2012;1007.0;777.0;232.0;32.3;;;
297;Total;Age head of household: 35 to 44;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2015;995.0;781.0;216.0;30.8;;;
298;Total;Age head of household: 35 to 44;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2018;1046.0;831.0;217.0;28.4;;;
299;Total;Age head of household: 35 to 44;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2021;1077.0;868.0;211.0;27.6;;;
300;Total;Age head of household: 35 to 44;Dwellings: 4th 25%-group WOZ;Value;2012;1400.0;1127.0;273.0;31.5;;;
301;Total;Age head of household: 35 to 44;Dwellings: 4th 25%-group WOZ;Value;2015;1435.0;1184.0;252.0;29.6;;;
302;Total;Age head of household: 35 to 44;Dwellings: 4th 25%-group WOZ;Value;2018;1480.0;1230.0;249.0;29.5;;;
303;Total;Age head of household: 35 to 44;Dwellings: 4th 25%-group WOZ;Value;2021;1469.0;1233.0;236.0;26.9;;;
304;Total;Age head of household: 35 to 44;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2012;1368.0;1096.0;270.0;30.6;;;
305;Total;Age head of household: 35 to 44;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2015;1377.0;1126.0;248.0;28.7;;;
306;Total;Age head of household: 35 to 44;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2018;1446.0;1198.0;245.0;28.5;;;
307;Total;Age head of household: 35 to 44;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2021;1436.0;1201.0;232.0;26.1;;;
308;Total;Age head of household: 35 to 44;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2012;1432.0;1158.0;276.0;32.4;;;
309;Total;Age head of household: 35 to 44;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2015;1494.0;1241.0;255.0;30.6;;;
310;Total;Age head of household: 35 to 44;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2018;1513.0;1262.0;253.0;30.5;;;
311;Total;Age head of household: 35 to 44;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2021;1502.0;1265.0;240.0;27.7;;;
312;Total;Age head of household: 35 to 44;Year of construction: 1000 to 1945;Value;2012;1012.0;783.0;229.0;32.9;;;
313;Total;Age head of household: 35 to 44;Year of construction: 1000 to 1945;Value;2015;1040.0;822.0;218.0;31.4;;;
314;Total;Age head of household: 35 to 44;Year of construction: 1000 to 1945;Value;2018;1076.0;858.0;218.0;31.6;;;
315;Total;Age head of household: 35 to 44;Year of construction: 1000 to 1945;Value;2021;1139.0;919.0;220.0;28.8;;;
316;Total;Age head of household: 35 to 44;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2012;977.0;750.0;225.0;31.9;;;
317;Total;Age head of household: 35 to 44;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2015;976.0;760.0;213.0;30.3;;;
318;Total;Age head of household: 35 to 44;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2018;1038.0;822.0;214.0;30.5;;;
319;Total;Age head of household: 35 to 44;Year of construction: 1000 to 1945;Lower bound 95% confidence interval;2021;1099.0;882.0;215.0;27.7;;;
320;Total;Age head of household: 35 to 44;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2012;1047.0;816.0;233.0;33.9;;;
321;Total;Age head of household: 35 to 44;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2015;1104.0;885.0;222.0;32.6;;;
322;Total;Age head of household: 35 to 44;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2018;1114.0;894.0;223.0;32.8;;;
323;Total;Age head of household: 35 to 44;Year of construction: 1000 to 1945;Upper bound 95% confidence interval;2021;1178.0;956.0;225.0;29.9;;;
324;Total;Age head of household: 35 to 44;Year of construction: 1946 to 1970;Value;2012;822.0;601.0;220.0;32.3;;;
325;Total;Age head of household: 35 to 44;Year of construction: 1946 to 1970;Value;2015;808.0;603.0;206.0;32.6;;;
326;Total;Age head of household: 35 to 44;Year of construction: 1946 to 1970;Value;2018;828.0;623.0;205.0;30.2;;;
327;Total;Age head of household: 35 to 44;Year of construction: 1946 to 1970;Value;2021;874.0;672.0;201.0;28.3;;;
328;Total;Age head of household: 35 to 44;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2012;800.0;581.0;217.0;31.5;;;
