ID;Population;Sex;PersonalCharacteristics;TravelMotives;Margins;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3;Trips_4;DistanceTravelled_5;TimeTravelled_6
198;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Utrecht (PV);2018;2.82;35.95;74.39;1029.0;13123.0;452.6
199;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Utrecht (PV);2019;2.73;37.97;73.96;997.0;13860.0;450.0
200;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Utrecht (PV);2020;2.38;25.46;62.57;870.0;9318.0;381.7
201;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Utrecht (PV);2021;2.52;27.33;69.53;920.0;9976.0;423.0
202;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Utrecht (PV);2022;2.75;30.58;72.63;1003.0;11162.0;441.8
203;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Utrecht (PV);2023;2.77;33.45;74.94;1010.0;12209.0;455.9
204;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2018;2.71;34.13;76.59;988.0;12458.0;466.0
205;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2019;2.58;32.01;75.91;942.0;11684.0;461.8
206;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2020;2.2;21.46;60.34;804.0;7855.0;368.1
207;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2021;2.4;24.16;70.51;876.0;8818.0;428.9
208;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2022;2.54;26.4;71.92;929.0;9635.0;437.5
209;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Holland (PV);2023;2.57;27.54;72.69;937.0;10053.0;442.2
210;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;2.66;31.84;73.56;972.0;11621.0;447.5
211;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;2.62;32.17;73.91;955.0;11741.0;449.6
212;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;2.19;21.91;60.56;801.0;8019.0;369.4
213;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;2.38;24.04;68.64;868.0;8775.0;417.6
214;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;2.54;25.82;69.39;926.0;9424.0;422.1
215;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;2.55;28.1;72.39;932.0;10255.0;440.4
216;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zeeland (PV);2018;2.56;29.13;60.4;936.0;10633.0;367.4
217;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zeeland (PV);2019;2.56;33.13;64.22;936.0;12091.0;390.7
218;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zeeland (PV);2020;2.21;23.42;58.79;810.0;8572.0;358.6
219;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zeeland (PV);2021;2.47;27.97;65.59;902.0;10208.0;399.0
220;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zeeland (PV);2022;2.64;28.44;69.33;964.0;10380.0;421.8
221;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Zeeland (PV);2023;2.52;29.68;64.22;921.0;10832.0;390.7
222;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;2.74;34.51;70.56;1002.0;12597.0;429.3
223;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;2.7;33.81;69.04;984.0;12339.0;420.0
224;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;2.42;23.39;59.17;885.0;8559.0;360.9
225;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;2.52;25.29;65.15;921.0;9231.0;396.4
226;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;2.7;29.48;70.32;984.0;10760.0;427.8
227;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;2.75;32.55;72.13;1003.0;11880.0;438.8
228;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Limburg (PV);2018;2.69;30.67;67.38;982.0;11193.0;409.9
229;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Limburg (PV);2019;2.63;29.27;65.17;958.0;10685.0;396.5
230;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Limburg (PV);2020;2.31;22.26;57.61;845.0;8147.0;351.4
231;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Limburg (PV);2021;2.43;23.54;65.18;887.0;8593.0;396.5
232;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Limburg (PV);2022;2.6;26.87;66.22;949.0;9808.0;402.8
233;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Limburg (PV);2023;2.69;26.44;66.42;980.0;9651.0;404.1
234;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Extremely urbanised;2018;2.66;31.59;76.09;972.0;11531.0;462.9
235;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Extremely urbanised;2019;2.55;30.37;74.99;932.0;11085.0;456.2
236;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Extremely urbanised;2020;2.1;20.07;60.24;770.0;7344.0;367.4
237;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Extremely urbanised;2021;2.3;22.3;69.67;840.0;8140.0;423.8
238;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Extremely urbanised;2022;2.48;24.64;71.41;905.0;8995.0;434.4
239;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Extremely urbanised;2023;2.51;26.12;73.28;917.0;9533.0;445.8
240;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Strongly urbanised;2018;2.77;35.08;73.65;1010.0;12806.0;448.0
241;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Strongly urbanised;2019;2.7;35.02;72.78;986.0;12782.0;442.7
242;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Strongly urbanised;2020;2.34;23.94;60.54;857.0;8762.0;369.3
243;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Strongly urbanised;2021;2.49;26.33;67.64;909.0;9609.0;411.4
244;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Strongly urbanised;2022;2.68;29.59;71.17;980.0;10801.0;433.0
245;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Strongly urbanised;2023;2.72;31.54;72.55;993.0;11510.0;441.3
246;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Moderately urbanised;2018;2.79;34.66;71.73;1018.0;12650.0;436.4
247;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Moderately urbanised;2019;2.75;35.61;72.2;1002.0;12996.0;439.2
248;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Moderately urbanised;2020;2.46;25.0;61.07;899.0;9151.0;372.5
249;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Moderately urbanised;2021;2.56;26.89;66.97;935.0;9814.0;407.4
250;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Moderately urbanised;2022;2.78;30.15;72.16;1013.0;11004.0;439.0
251;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Moderately urbanised;2023;2.78;32.27;71.85;1015.0;11779.0;437.1
252;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Hardly urbanised;2018;2.79;38.25;71.73;1020.0;13962.0;436.3
253;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Hardly urbanised;2019;2.71;36.99;70.66;989.0;13502.0;429.8
254;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Hardly urbanised;2020;2.4;26.3;60.57;877.0;9627.0;369.5
255;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Hardly urbanised;2021;2.56;29.06;68.41;936.0;10606.0;416.2
256;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Hardly urbanised;2022;2.75;32.62;70.96;1005.0;11908.0;431.7
257;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Hardly urbanised;2023;2.75;33.71;70.61;1003.0;12302.0;429.6
258;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Not urbanised;2018;2.6;36.48;67.0;949.0;13315.0;407.6
259;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Not urbanised;2019;2.56;38.89;70.73;935.0;14196.0;430.3
260;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Not urbanised;2020;2.33;28.19;60.2;854.0;10317.0;367.2
261;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Not urbanised;2021;2.46;30.77;69.01;898.0;11232.0;419.8
262;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Not urbanised;2022;2.57;31.91;68.01;937.0;11646.0;413.7
263;Population 6 years or older;Total male and female;Total persons;Total;Lower bound 95% confidence interval;Not urbanised;2023;2.62;35.1;69.49;958.0;12810.0;422.7
264;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;The Netherlands;2018;2.8;36.71;75.35;1023.0;13398.0;458.4
265;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;The Netherlands;2019;2.73;36.59;75.2;997.0;13354.0;457.5
266;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;The Netherlands;2020;2.37;25.29;62.61;868.0;9256.0;381.9
267;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;The Netherlands;2021;2.52;27.67;70.54;921.0;10098.0;429.1
268;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;The Netherlands;2022;2.72;30.68;73.4;992.0;11198.0;446.5
269;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;The Netherlands;2023;2.74;32.44;74.19;999.0;11840.0;451.3
270;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2018;2.83;42.94;76.77;1034.0;15673.0;467.0
271;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2019;2.75;43.69;77.86;1005.0;15948.0;473.6
272;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2020;2.46;29.8;64.22;901.0;10905.0;391.7
273;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2021;2.56;33.23;72.68;934.0;12128.0;442.1
274;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2022;2.75;37.14;76.94;1005.0;13555.0;468.0
275;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2023;2.79;36.94;74.5;1018.0;13481.0;453.2
276;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2018;2.89;39.97;75.77;1054.0;14590.0;460.9
277;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2019;2.81;39.97;75.86;1026.0;14589.0;461.5
278;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2020;2.47;28.24;63.74;905.0;10335.0;388.8
279;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2021;2.61;30.58;71.11;954.0;11161.0;432.6
280;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2022;2.87;34.05;75.09;1047.0;12428.0;456.8
281;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2023;2.87;35.94;74.86;1046.0;13119.0;455.4
282;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;West-Nederland (LD);2018;2.78;35.33;77.22;1016.0;12895.0;469.7
283;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;West-Nederland (LD);2019;2.71;35.4;77.46;988.0;12921.0;471.2
284;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;West-Nederland (LD);2020;2.29;23.94;63.3;839.0;8763.0;386.1
285;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;West-Nederland (LD);2021;2.48;26.36;71.95;906.0;9622.0;437.7
286;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;West-Nederland (LD);2022;2.65;28.58;73.5;969.0;10433.0;447.1
287;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;West-Nederland (LD);2023;2.66;30.61;75.21;972.0;11171.0;457.5
288;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;2.83;36.05;73.35;1035.0;13157.0;446.2
289;Population 6 years or older;Total male and female;Total persons;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2019;2.79;35.21;71.85;1018.0;12853.0;437.1
