ID;Sex;Age;DegreeOfDisablement;Periods;TotalInflow_1;Employers_2;PersonnelPublicSector_3;SelfEmployed_4;YoungHandicapped_5;OtherInflow_6;WAO_7;Wajong_8;WAZ_9;TotalOutflow_10;ReasonRecoveredFromIllness_11;Retirement_12;OtherOutflow_13;WAO_14;Wajong_15;WAZ_16
195;Total men and women;Total age;Complete disablement (>= 80%);2001 January;5810;4030;790;310;390;300;4820;510;480;5100;850;1980.0;2270;4110;320;670
196;Total men and women;Total age;Complete disablement (>= 80%);2001 February;6540;4900;530;340;510;260;5440;570;530;5210;940;1810.0;2460;4200;420;590
197;Total men and women;Total age;Complete disablement (>= 80%);2001 March;6270;4600;590;340;490;260;5210;530;540;5490;1010;2190.0;2300;4520;300;670
198;Total men and women;Total age;Complete disablement (>= 80%);2001 April;6100;4630;440;330;450;250;5070;500;530;5230;1060;2110.0;2070;4310;360;560
199;Total men and women;Total age;Complete disablement (>= 80%);2001 May;7200;4610;1480;280;540;300;6100;590;510;5960;1040;2850.0;2080;5150;360;450
200;Total men and women;Total age;Complete disablement (>= 80%);2001 June;6040;4340;680;340;440;240;5030;500;510;5380;960;2030.0;2390;4290;300;790
201;Total men and women;Total age;Complete disablement (>= 80%);2001 July;4950;3640;280;330;470;220;3930;510;510;7590;990;2460.0;4140;6740;300;550
202;Total men and women;Total age;Complete disablement (>= 80%);2001 August;5730;4280;290;320;580;260;4580;630;520;6060;1100;1950.0;3020;4860;360;840
203;Total men and women;Total age;Complete disablement (>= 80%);2001 September;4960;3740;240;350;420;210;3990;470;500;5150;980;1900.0;2270;4230;290;620
204;Total men and women;Total age;Complete disablement (>= 80%);2001 October;5880;4440;280;350;540;280;4720;590;570;5240;980;1970.0;2290;4230;360;650
205;Total men and women;Total age;Complete disablement (>= 80%);2001 November;5690;4300;300;370;460;240;4620;520;550;4920;1020;1770.0;2140;4010;310;610
206;Total men and women;Total age;Complete disablement (>= 80%);2001 December;5550;4180;330;260;530;250;4520;580;450;4820;1040;1870.0;1900;3970;310;540
207;Total men and women;Total age;Complete disablement (>= 80%);2001 annual total;70720;51670;6220;3920;5840;3060;58020;6480;6210;66140;11960;24850.0;29330;54620;3990;7540
208;Total men and women;Total age;Complete disablement (>= 80%);2002 January;5440;4100;300;320;470;250;4420;520;500;5170;990;2070.0;2120;4140;350;690
209;Total men and women;Total age;Complete disablement (>= 80%);2002 February;5770;4420;270;330;470;280;4710;530;530;5330;1030;1760.0;2540;4420;350;560
210;Total men and women;Total age;Complete disablement (>= 80%);2002 March;5670;4270;290;340;520;260;4580;570;530;5380;1000;2080.0;2310;4410;320;640
211;Total men and women;Total age;Complete disablement (>= 80%);2002 April;6050;4590;280;350;560;280;4880;610;560;5500;1220;1910.0;2380;4480;400;620
212;Total men and women;Total age;Complete disablement (>= 80%);2002 May;5380;3950;280;350;520;290;4240;580;560;5130;1110;2140.0;1890;4270;350;520
213;Total men and women;Total age;Complete disablement (>= 80%);2002 June;4860;3510;350;420;460;130;3880;500;490;5100;1160;1970.0;1970;4280;320;500
214;Total men and women;Total age;Complete disablement (>= 80%);2002 July;5560;3960;310;470;640;180;4290;700;570;5740;1190;2440.0;2100;4850;330;550
215;Total men and women;Total age;Complete disablement (>= 80%);2002 August;4990;3520;290;480;570;120;3830;610;550;5430;1140;1890.0;2400;4450;270;710
216;Total men and women;Total age;Complete disablement (>= 80%);2002 September;4600;3270;330;400;470;130;3620;510;480;5030;1100;1800.0;2130;4090;310;620
217;Total men and women;Total age;Complete disablement (>= 80%);2002 October;5960;4230;410;500;660;160;4650;720;590;5400;1150;1910.0;2340;4430;310;660
218;Total men and women;Total age;Complete disablement (>= 80%);2002 November;5300;3810;280;520;550;140;4100;600;600;4760;1080;1620.0;2060;3870;300;590
219;Total men and women;Total age;Complete disablement (>= 80%);2002 December;4730;3260;380;410;560;120;3650;610;470;5110;1090;1910.0;2110;4150;350;610
220;Total men and women;Total age;Complete disablement (>= 80%);2002 annual total;64310;46880;3770;4880;6450;2330;50860;7050;6400;63090;13250;23500.0;26340;51850;3970;7270
221;Total men and women;Total age;Complete disablement (>= 80%);2003 January;5380;3920;260;560;500;140;4200;550;630;5050;990;2120.0;1950;4020;320;710
222;Total men and women;Total age;Complete disablement (>= 80%);2003 February;4960;3500;310;450;540;150;3830;590;540;5800;1010;1880.0;2910;4760;400;650
223;Total men and women;Total age;Complete disablement (>= 80%);2003 March;4460;3040;280;460;560;130;3330;600;540;5580;1110;2170.0;2300;4570;330;680
224;Total men and women;Total age;Complete disablement (>= 80%);2003 April;4460;3010;180;420;700;140;3200;760;500;5780;1230;2090.0;2460;4670;490;630
225;Total men and women;Total age;Complete disablement (>= 80%);2003 May;4710;3310;200;490;520;200;3520;550;640;5540;1060;2110.0;2370;4510;430;600
226;Total men and women;Total age;Complete disablement (>= 80%);2003 June;4350;2920;170;520;560;190;3110;610;630;4960;1080;1870.0;2010;4130;350;480
227;Total men and women;Total age;Complete disablement (>= 80%);2003 July;4560;2990;250;440;700;190;3250;750;560;6050;1080;2500.0;2470;5060;410;590
228;Total men and women;Total age;Complete disablement (>= 80%);2003 August;3820;2490;170;460;570;130;2670;620;530;4870;980;1930.0;1960;3940;310;630
229;Total men and women;Total age;Complete disablement (>= 80%);2003 September;4060;2710;210;420;590;130;2930;640;490;5360;990;1940.0;2430;4310;390;670
230;Total men and women;Total age;Complete disablement (>= 80%);2003 October;4000;2750;230;390;530;100;2990;560;450;5180;940;1890.0;2350;4110;390;670
231;Total men and women;Total age;Complete disablement (>= 80%);2003 November;4510;3070;220;430;590;200;3310;640;550;5120;950;1870.0;2300;4100;400;620
232;Total men and women;Total age;Complete disablement (>= 80%);2003 December;4230;2670;340;350;730;140;3020;760;440;5420;1130;1910.0;2380;4420;400;600
233;Total men and women;Total age;Complete disablement (>= 80%);2003 annual total;53480;36370;2830;5380;7080;1830;39370;7610;6500;64720;12550;24280.0;27890;52580;4600;7540
234;Total men and women;Total age;Complete disablement (>= 80%);2004 January;3440;2200;370;340;420;110;2580;440;410;5470;1010;2130.0;2330;4650;270;550
235;Total men and women;Total age;Complete disablement (>= 80%);2004 February;3780;2490;320;320;500;140;2820;550;410;5780;950;1990.0;2840;4760;410;620
236;Total men and women;Total age;Complete disablement (>= 80%);2004 March;4380;2980;200;400;670;130;3200;700;480;5420;870;2140.0;2410;4450;340;630
237;Total men and women;Total age;Complete disablement (>= 80%);2004 April;4210;2720;280;430;640;150;3010;680;520;5240;900;2160.0;2180;4210;390;630
238;Total men and women;Total age;Complete disablement (>= 80%);2004 May;3560;2200;220;380;650;110;2430;690;440;4560;790;2050.0;1720;3790;290;490
239;Total men and women;Total age;Complete disablement (>= 80%);2004 June;4190;2700;260;410;690;140;2970;730;490;4850;840;1970.0;2050;3910;430;510
240;Total men and women;Total age;Complete disablement (>= 80%);2004 July;3750;2340;200;440;650;130;2550;680;510;5110;790;2470.0;1840;4210;340;550
241;Total men and women;Total age;Complete disablement (>= 80%);2004 August;3780;2380;210;380;660;150;2600;710;470;5180;820;2160.0;2200;4150;330;700
242;Total men and women;Total age;Complete disablement (>= 80%);2004 September;4010;2430;280;430;720;150;2710;770;530;4890;790;1920.0;2190;3880;390;630
243;Total men and women;Total age;Complete disablement (>= 80%);2004 October;3430;2160;140;400;600;130;2310;630;490;4690;710;1950.0;2030;3730;370;590
244;Total men and women;Total age;Complete disablement (>= 80%);2004 November;4580;2980;250;580;650;120;3240;680;660;5150;750;1740.0;2660;4180;400;570
245;Total men and women;Total age;Complete disablement (>= 80%);2004 December;3900;2590;220;330;640;120;2820;680;410;4670;560;1900.0;2220;3820;300;550
246;Total men and women;Total age;Complete disablement (>= 80%);2004 annual total;46990;30170;2940;4830;7480;1570;33240;7940;5820;61010;9770;24570.0;26670;49740;4260;7010
247;Total men and women;Total age;Complete disablement (>= 80%);2005 January;2960;1700;130;380;620;140;1830;650;480;4520;500;2000.0;2010;3650;320;540
248;Total men and women;Total age;Complete disablement (>= 80%);2005 February;3000;1370;440;320;760;120;1810;800;390;4890;780;2020.0;2100;3910;460;520
249;Total men and women;Total age;Complete disablement (>= 80%);2005 March;1940;800;100;320;610;110;910;640;380;5120;860;2200.0;2060;4150;440;540
250;Total men and women;Total age;Complete disablement (>= 80%);2005 April;1780;650;110;200;620;190;760;660;350;4800;880;1960.0;1970;3860;410;530
251;Total men and women;Total age;Complete disablement (>= 80%);2005 May;1550;500;90;50;750;170;590;790;170;5150;1050;2130.0;1970;4140;580;430
252;Total men and women;Total age;Complete disablement (>= 80%);2005 June;2370;950;140;260;780;250;1090;820;460;4980;1260;1810.0;1900;4080;490;410
253;Total men and women;Total age;Complete disablement (>= 80%);2005 July;1470;380;60;140;790;110;440;830;200;4510;700;2500.0;1310;3810;370;330
254;Total men and women;Total age;Complete disablement (>= 80%);2005 August;1500;350;60;110;880;100;410;940;150;4630;940;1990.0;1710;3700;510;420
255;Total men and women;Total age;Complete disablement (>= 80%);2005 September;1490;300;390;70;650;90;690;700;110;4360;830;2060.0;1470;3670;370;320
256;Total men and women;Total age;Complete disablement (>= 80%);2005 October;1160;300;30;70;680;80;330;720;110;3790;740;1870.0;1180;3200;340;260
257;Total men and women;Total age;Complete disablement (>= 80%);2005 November;1380;330;90;90;800;80;420;830;130;4310;990;1900.0;1430;3600;410;310
258;Total men and women;Total age;Complete disablement (>= 80%);2005 December;1100;250;30;60;700;60;280;740;80;3910;930;1830.0;1160;3250;390;270
259;Total men and women;Total age;Complete disablement (>= 80%);2005 annual total;21700;7860;1660;2050;8630;1490;9570;9130;3000;54980;10450;24260.0;20280;45020;5090;4880
260;Total men and women;Total age;Complete disablement (>= 80%);2006 January;1670;430;40;60;1020;110;480;1090;100;4220;1110;1780.0;1340;3490;400;340
261;Total men and women;Total age;Complete disablement (>= 80%);2006 February;1330;260;100;60;840;80;360;880;90;2750;650;920.0;1180;2230;260;260
262;Total men and women;Total age;Complete disablement (>= 80%);2006 March;1270;280;20;40;880;60;300;920;50;3100;550;1150.0;1400;2570;260;270
263;Total men and women;Total age;Complete disablement (>= 80%);2006 April;1280;270;20;40;870;80;290;930;60;3710;470;1020.0;2220;3040;360;300
264;Total men and women;Total age;Complete disablement (>= 80%);2006 May;1220;260;20;40;850;50;280;890;50;3880;500;1120.0;2260;3230;310;330
265;Total men and women;Total age;Complete disablement (>= 80%);2006 June;1170;250;20;30;830;50;270;860;50;3960;450;970.0;2540;3290;310;360
266;Total men and women;Total age;Complete disablement (>= 80%);2006 July;1430;290;50;30;1000;60;350;1040;40;4050;440;1010.0;2600;3410;300;340
267;Total men and women;Total age;Complete disablement (>= 80%);2006 August;1300;350;10;20;850;70;370;900;30;3570;440;900.0;2230;3020;260;290
268;Total men and women;Total age;Complete disablement (>= 80%);2006 September;1580;520;20;60;830;160;550;880;150;3860;400;740.0;2710;3220;280;360
269;Total men and women;Total age;Complete disablement (>= 80%);2006 October;1640;400;20;30;1090;100;420;1160;60;3410;390;560.0;2460;2810;320;280
270;Total men and women;Total age;Complete disablement (>= 80%);2006 November;1580;370;20;30;1070;90;390;1150;50;3030;430;520.0;2080;2440;290;300
271;Total men and women;Total age;Complete disablement (>= 80%);2006 December;1240;300;30;10;840;50;340;880;20;3060;450;460.0;2150;2610;220;220
272;Total men and women;Total age;Complete disablement (>= 80%);2006 annual total;16690;3970;370;450;10970;950;4400;11570;730;42570;6270;11140.0;25160;35360;3570;3640
273;Total men and women;Total age;Complete disablement (>= 80%);2007 January;1710;380;20;20;1200;90;410;1270;40;3580;450;600.0;2530;2940;370;280
274;Total men and women;Total age;Complete disablement (>= 80%);2007 February;1490;320;30;20;1050;70;350;1100;40;3070;380;560.0;2130;2550;290;230
275;Total men and women;Total age;Complete disablement (>= 80%);2007 March;1570;350;20;30;1090;90;360;1160;40;3610;400;660.0;2550;3000;320;290
276;Total men and women;Total age;Complete disablement (>= 80%);2007 April;1520;330;20;20;1090;70;350;1140;30;3120;340;610.0;2170;2590;290;250
277;Total men and women;Total age;Complete disablement (>= 80%);2007 May;1490;420;20;20;980;60;440;1030;20;3580;440;630.0;2520;3000;310;260
278;Total men and women;Total age;Complete disablement (>= 80%);2007 June;1700;350;20;20;1230;80;370;1290;40;3510;320;720.0;2470;2910;300;300
279;Total men and women;Total age;Complete disablement (>= 80%);2007 July;2140;680;20;30;1300;120;710;1390;40;3810;310;820.0;2680;3200;360;250
280;Total men and women;Total age;Complete disablement (>= 80%);2007 August;1660;330;20;20;1230;70;350;1290;20;3200;360;650.0;2200;2650;320;240
281;Total men and women;Total age;Complete disablement (>= 80%);2007 September;1530;320;30;10;1090;80;360;1150;20;3380;300;600.0;2480;2790;330;260
282;Total men and women;Total age;Complete disablement (>= 80%);2007 October;1810;570;30;20;1110;90;600;1180;30;3070;230;490.0;2340;2510;330;230
283;Total men and women;Total age;Complete disablement (>= 80%);2007 November;2320;650;40;30;1480;130;700;1570;50;3090;210;470.0;2410;2420;470;200
284;Total men and women;Total age;Complete disablement (>= 80%);2007 December;1070;270;10;0;750;40;290;780;10;2500;200;440.0;1860;2080;240;180
285;Total men and women;Total age;Complete disablement (>= 80%);2007 annual total;20010;4950;270;240;13570;990;5290;14340;390;39520;3940;7240.0;28340;32620;3930;2970
286;Total men and women;Total age;Complete disablement (>= 80%);2008 January;1670;380;20;20;1160;90;410;1240;20;2850;160;520.0;2170;2290;360;210
287;Total men and women;Total age;Complete disablement (>= 80%);2008 February;1680;340;20;20;1200;90;370;1290;20;3140;150;640.0;2350;2450;450;230
288;Total men and women;Total age;Complete disablement (>= 80%);2008 March;1530;340;10;10;1070;100;360;1160;20;2990;160;640.0;2190;2440;330;230
289;Total men and women;Total age;Complete disablement (>= 80%);2008 April;1720;410;20;10;1190;90;430;1270;20;2790;150;530.0;2120;2250;340;200
290;Total men and women;Total age;Complete disablement (>= 80%);2008 May;1510;250;10;10;1110;130;260;1220;20;2910;140;580.0;2190;2380;300;240
291;Total men and women;Total age;Complete disablement (>= 80%);2008 June;1660;270;10;10;1150;220;410;1230;20;2890;130;530.0;2230;2390;300;210
292;Total men and women;Total age;Complete disablement (>= 80%);2008 July;1700;370;30;20;1190;100;420;1260;30;3120;100;890.0;2130;2610;290;210
293;Total men and women;Total age;Complete disablement (>= 80%);2008 August;1680;320;10;10;1230;110;340;1320;20;2980;130;610.0;2240;2440;330;220
294;Total men and women;Total age;Complete disablement (>= 80%);2008 September;1470;270;20;10;1060;110;300;1150;20;3120;120;610.0;2390;2630;270;220
295;Total men and women;Total age;Complete disablement (>= 80%);2008 October;1590;270;10;10;1190;110;300;1280;20;2850;120;580.0;2150;2300;340;220
296;Total men and women;Total age;Complete disablement (>= 80%);2008 November;1640;320;20;20;1150;140;350;1280;20;2670;120;570.0;1980;2180;300;190
297;Total men and women;Total age;Complete disablement (>= 80%);2008 December;1090;220;10;20;770;80;240;840;20;2560;140;480.0;1940;2140;230;190
298;Total men and women;Total age;Complete disablement (>= 80%);2008 annual total;18940;3750;190;170;13480;1360;4170;14520;260;34880;1620;7180.0;26080;28490;3830;2560
299;Total men and women;Total age;Complete disablement (>= 80%);2009 January;1780;290;10;20;1370;100;310;1450;20;3120;170;660.0;2290;2470;400;240
