ID;HouseholdExpenditure;CPISeries;Periods;PriceIndexFigures_1;MonthOnMonthChange_2;YearOnYearChange_3;WeightingCoefficient_4
358;1   Food and non-alcoholic beverages;CPI all households;2002 August;116.7;-0.7;2.5;13726
359;1   Food and non-alcoholic beverages;CPI all households;2002 September;118.2;1.3;3.1;13726
360;1   Food and non-alcoholic beverages;CPI all households;2002 October;116.5;-1.4;1.3;13726
361;1   Food and non-alcoholic beverages;CPI all households;2002 November;115.6;-0.8;1.1;13726
362;1   Food and non-alcoholic beverages;CPI all households;2002 December;116.4;0.7;1.3;13726
363;1   Food and non-alcoholic beverages;CPI all households;2002;117.3;;3.5;13726
364;1   Food and non-alcoholic beverages;CPI low income households;1996 January;100.0;;;15453
365;1   Food and non-alcoholic beverages;CPI low income households;1996 February;100.3;0.3;;15453
366;1   Food and non-alcoholic beverages;CPI low income households;1996 March;101.9;1.6;;15453
367;1   Food and non-alcoholic beverages;CPI low income households;1996 April;101.7;-0.2;;15453
368;1   Food and non-alcoholic beverages;CPI low income households;1996 May;100.3;-1.4;;15453
369;1   Food and non-alcoholic beverages;CPI low income households;1996 June;99.7;-0.6;;15453
370;1   Food and non-alcoholic beverages;CPI low income households;1996 July;99.7;0.0;;15453
371;1   Food and non-alcoholic beverages;CPI low income households;1996 August;98.2;-1.5;;15453
372;1   Food and non-alcoholic beverages;CPI low income households;1996 September;98.5;0.3;;15453
373;1   Food and non-alcoholic beverages;CPI low income households;1996 October;98.9;0.4;;15453
374;1   Food and non-alcoholic beverages;CPI low income households;1996 November;98.9;0.0;;15453
375;1   Food and non-alcoholic beverages;CPI low income households;1996 December;99.7;0.8;;15453
376;1   Food and non-alcoholic beverages;CPI low income households;1996;99.8;;;15453
377;1   Food and non-alcoholic beverages;CPI low income households;1997 January;101.8;2.1;1.8;15453
378;1   Food and non-alcoholic beverages;CPI low income households;1997 February;100.8;-1.0;0.5;15453
379;1   Food and non-alcoholic beverages;CPI low income households;1997 March;100.2;-0.6;-1.7;15453
380;1   Food and non-alcoholic beverages;CPI low income households;1997 April;100.3;0.1;-1.4;15453
381;1   Food and non-alcoholic beverages;CPI low income households;1997 May;101.5;1.2;1.2;15453
382;1   Food and non-alcoholic beverages;CPI low income households;1997 June;101.4;-0.1;1.7;15453
383;1   Food and non-alcoholic beverages;CPI low income households;1997 July;101.4;0.0;1.7;15453
384;1   Food and non-alcoholic beverages;CPI low income households;1997 August;101.2;-0.2;3.1;15453
385;1   Food and non-alcoholic beverages;CPI low income households;1997 September;101.5;0.3;3.0;15453
386;1   Food and non-alcoholic beverages;CPI low income households;1997 October;101.6;0.1;2.7;15453
387;1   Food and non-alcoholic beverages;CPI low income households;1997 November;102.6;1.0;3.7;15453
388;1   Food and non-alcoholic beverages;CPI low income households;1997 December;102.2;-0.4;2.5;15453
389;1   Food and non-alcoholic beverages;CPI low income households;1997;101.4;;1.6;15453
390;1   Food and non-alcoholic beverages;CPI low income households;1998 January;102.7;0.5;0.9;15453
391;1   Food and non-alcoholic beverages;CPI low income households;1998 February;102.8;0.1;2.0;15453
392;1   Food and non-alcoholic beverages;CPI low income households;1998 March;103.4;0.6;3.2;15453
393;1   Food and non-alcoholic beverages;CPI low income households;1998 April;104.0;0.6;3.7;15453
394;1   Food and non-alcoholic beverages;CPI low income households;1998 May;104.1;0.1;2.6;15453
395;1   Food and non-alcoholic beverages;CPI low income households;1998 June;103.5;-0.6;2.1;15453
396;1   Food and non-alcoholic beverages;CPI low income households;1998 July;103.8;0.3;2.4;15453
397;1   Food and non-alcoholic beverages;CPI low income households;1998 August;103.1;-0.7;1.9;15453
398;1   Food and non-alcoholic beverages;CPI low income households;1998 September;103.3;0.2;1.8;15453
399;1   Food and non-alcoholic beverages;CPI low income households;1998 October;103.2;-0.1;1.6;15453
400;1   Food and non-alcoholic beverages;CPI low income households;1998 November;104.0;0.8;1.4;15453
401;1   Food and non-alcoholic beverages;CPI low income households;1998 December;104.8;0.8;2.5;15453
402;1   Food and non-alcoholic beverages;CPI low income households;1998;103.6;;2.2;15453
403;1   Food and non-alcoholic beverages;CPI low income households;1999 January;105.4;0.6;2.6;15453
404;1   Food and non-alcoholic beverages;CPI low income households;1999 February;105.7;0.3;2.8;15453
405;1   Food and non-alcoholic beverages;CPI low income households;1999 March;106.2;0.5;2.7;15453
406;1   Food and non-alcoholic beverages;CPI low income households;1999 April;105.7;-0.5;1.6;15453
407;1   Food and non-alcoholic beverages;CPI low income households;1999 May;105.7;0.0;1.5;15453
408;1   Food and non-alcoholic beverages;CPI low income households;1999 June;105.0;-0.7;1.4;15453
409;1   Food and non-alcoholic beverages;CPI low income households;1999 July;103.8;-1.1;0.0;15453
410;1   Food and non-alcoholic beverages;CPI low income households;1999 August;103.9;0.1;0.8;15453
411;1   Food and non-alcoholic beverages;CPI low income households;1999 September;103.8;-0.1;0.5;15453
412;1   Food and non-alcoholic beverages;CPI low income households;1999 October;103.8;0.0;0.6;15453
413;1   Food and non-alcoholic beverages;CPI low income households;1999 November;104.5;0.7;0.5;15453
414;1   Food and non-alcoholic beverages;CPI low income households;1999 December;104.5;0.0;-0.3;15453
415;1   Food and non-alcoholic beverages;CPI low income households;1999;104.8;;1.2;15453
416;1   Food and non-alcoholic beverages;CPI low income households;2000 January;104.9;0.4;-0.5;15453
417;1   Food and non-alcoholic beverages;CPI low income households;2000 February;104.1;-0.8;-1.5;15453
418;1   Food and non-alcoholic beverages;CPI low income households;2000 March;104.5;0.4;-1.6;15453
419;1   Food and non-alcoholic beverages;CPI low income households;2000 April;105.0;0.5;-0.7;15453
420;1   Food and non-alcoholic beverages;CPI low income households;2000 May;105.4;0.4;-0.3;15453
421;1   Food and non-alcoholic beverages;CPI low income households;2000 June;105.3;-0.1;0.3;15453
422;1   Food and non-alcoholic beverages;CPI low income households;2000 July;105.1;-0.2;1.3;15453
423;1   Food and non-alcoholic beverages;CPI low income households;2000 August;105.6;0.5;1.6;15453
424;1   Food and non-alcoholic beverages;CPI low income households;2000 September;105.7;0.1;1.8;15453
425;1   Food and non-alcoholic beverages;CPI low income households;2000 October;106.5;0.8;2.6;15453
426;1   Food and non-alcoholic beverages;CPI low income households;2000 November;107.2;0.7;2.6;15453
427;1   Food and non-alcoholic beverages;CPI low income households;2000 December;107.5;0.3;2.9;15453
428;1   Food and non-alcoholic beverages;CPI low income households;2000;105.6;;0.8;15453
429;1   Food and non-alcoholic beverages;CPI low income households;2001 January;108.8;1.2;3.7;15453
430;1   Food and non-alcoholic beverages;CPI low income households;2001 February;109.4;0.6;5.1;15453
431;1   Food and non-alcoholic beverages;CPI low income households;2001 March;111.5;1.9;6.7;15453
432;1   Food and non-alcoholic beverages;CPI low income households;2001 April;113.3;1.6;7.9;15453
433;1   Food and non-alcoholic beverages;CPI low income households;2001 May;114.1;0.7;8.3;15453
434;1   Food and non-alcoholic beverages;CPI low income households;2001 June;113.5;-0.5;7.8;15453
435;1   Food and non-alcoholic beverages;CPI low income households;2001 July;113.5;0.0;8.0;15453
436;1   Food and non-alcoholic beverages;CPI low income households;2001 August;113.5;0.0;7.5;15453
437;1   Food and non-alcoholic beverages;CPI low income households;2001 September;114.2;0.6;8.0;15453
438;1   Food and non-alcoholic beverages;CPI low income households;2001 October;114.6;0.4;7.6;15453
439;1   Food and non-alcoholic beverages;CPI low income households;2001 November;114.1;-0.4;6.4;15453
440;1   Food and non-alcoholic beverages;CPI low income households;2001 December;114.6;0.4;6.6;15453
441;1   Food and non-alcoholic beverages;CPI low income households;2001;112.9;;6.9;15453
442;1   Food and non-alcoholic beverages;CPI low income households;2002 January;117.1;2.2;7.6;15453
443;1   Food and non-alcoholic beverages;CPI low income households;2002 February;117.1;0.0;7.0;15453
444;1   Food and non-alcoholic beverages;CPI low income households;2002 March;117.5;0.3;5.4;15453
445;1   Food and non-alcoholic beverages;CPI low income households;2002 April;117.2;-0.3;3.4;15453
446;1   Food and non-alcoholic beverages;CPI low income households;2002 May;117.4;0.2;2.9;15453
447;1   Food and non-alcoholic beverages;CPI low income households;2002 June;116.6;-0.7;2.7;15453
448;1   Food and non-alcoholic beverages;CPI low income households;2002 July;117.1;0.4;3.2;15453
449;1   Food and non-alcoholic beverages;CPI low income households;2002 August;116.2;-0.8;2.4;15453
450;1   Food and non-alcoholic beverages;CPI low income households;2002 September;117.6;1.2;3.0;15453
451;1   Food and non-alcoholic beverages;CPI low income households;2002 October;116.0;-1.4;1.2;15453
452;1   Food and non-alcoholic beverages;CPI low income households;2002 November;115.3;-0.6;1.1;15453
453;1   Food and non-alcoholic beverages;CPI low income households;2002 December;116.0;0.6;1.2;15453
454;1   Food and non-alcoholic beverages;CPI low income households;2002;116.8;;3.5;15453
455;1   Food and non-alcoholic beverages;CPI high income households;1996 January;100.2;;;12486
456;1   Food and non-alcoholic beverages;CPI high income households;1996 February;100.5;0.3;;12486
457;1   Food and non-alcoholic beverages;CPI high income households;1996 March;102.4;1.9;;12486
458;1   Food and non-alcoholic beverages;CPI high income households;1996 April;102.2;-0.2;;12486
459;1   Food and non-alcoholic beverages;CPI high income households;1996 May;100.7;-1.5;;12486
460;1   Food and non-alcoholic beverages;CPI high income households;1996 June;100.0;-0.7;;12486
461;1   Food and non-alcoholic beverages;CPI high income households;1996 July;99.9;-0.1;;12486
462;1   Food and non-alcoholic beverages;CPI high income households;1996 August;98.3;-1.6;;12486
463;1   Food and non-alcoholic beverages;CPI high income households;1996 September;98.7;0.4;;12486
464;1   Food and non-alcoholic beverages;CPI high income households;1996 October;99.1;0.4;;12486
465;1   Food and non-alcoholic beverages;CPI high income households;1996 November;99.1;0.0;;12486
466;1   Food and non-alcoholic beverages;CPI high income households;1996 December;100.0;0.9;;12486
467;1   Food and non-alcoholic beverages;CPI high income households;1996;100.1;;;12486
468;1   Food and non-alcoholic beverages;CPI high income households;1997 January;102.4;2.4;2.2;12486
469;1   Food and non-alcoholic beverages;CPI high income households;1997 February;101.2;-1.2;0.7;12486
470;1   Food and non-alcoholic beverages;CPI high income households;1997 March;100.6;-0.6;-1.8;12486
471;1   Food and non-alcoholic beverages;CPI high income households;1997 April;100.6;0.0;-1.6;12486
472;1   Food and non-alcoholic beverages;CPI high income households;1997 May;101.8;1.2;1.1;12486
473;1   Food and non-alcoholic beverages;CPI high income households;1997 June;101.6;-0.2;1.6;12486
474;1   Food and non-alcoholic beverages;CPI high income households;1997 July;101.5;-0.1;1.6;12486
475;1   Food and non-alcoholic beverages;CPI high income households;1997 August;101.3;-0.2;3.1;12486
476;1   Food and non-alcoholic beverages;CPI high income households;1997 September;101.7;0.4;3.0;12486
477;1   Food and non-alcoholic beverages;CPI high income households;1997 October;101.8;0.1;2.7;12486
478;1   Food and non-alcoholic beverages;CPI high income households;1997 November;102.9;1.1;3.8;12486
479;1   Food and non-alcoholic beverages;CPI high income households;1997 December;102.4;-0.5;2.4;12486
480;1   Food and non-alcoholic beverages;CPI high income households;1997;101.6;;1.5;12486
481;1   Food and non-alcoholic beverages;CPI high income households;1998 January;102.9;0.5;0.5;12486
482;1   Food and non-alcoholic beverages;CPI high income households;1998 February;103.0;0.1;1.8;12486
483;1   Food and non-alcoholic beverages;CPI high income households;1998 March;103.7;0.7;3.1;12486
484;1   Food and non-alcoholic beverages;CPI high income households;1998 April;104.4;0.7;3.8;12486
485;1   Food and non-alcoholic beverages;CPI high income households;1998 May;104.5;0.1;2.7;12486
486;1   Food and non-alcoholic beverages;CPI high income households;1998 June;103.8;-0.7;2.2;12486
487;1   Food and non-alcoholic beverages;CPI high income households;1998 July;104.2;0.4;2.7;12486
488;1   Food and non-alcoholic beverages;CPI high income households;1998 August;103.3;-0.9;2.0;12486
489;1   Food and non-alcoholic beverages;CPI high income households;1998 September;103.6;0.3;1.9;12486
490;1   Food and non-alcoholic beverages;CPI high income households;1998 October;103.5;-0.1;1.7;12486
491;1   Food and non-alcoholic beverages;CPI high income households;1998 November;104.3;0.8;1.4;12486
492;1   Food and non-alcoholic beverages;CPI high income households;1998 December;105.1;0.8;2.6;12486
493;1   Food and non-alcoholic beverages;CPI high income households;1998;103.8;;2.2;12486
494;1   Food and non-alcoholic beverages;CPI high income households;1999 January;105.8;0.7;2.8;12486
495;1   Food and non-alcoholic beverages;CPI high income households;1999 February;106.1;0.3;3.0;12486
496;1   Food and non-alcoholic beverages;CPI high income households;1999 March;106.7;0.6;2.9;12486
497;1   Food and non-alcoholic beverages;CPI high income households;1999 April;106.1;-0.6;1.6;12486
498;1   Food and non-alcoholic beverages;CPI high income households;1999 May;106.2;0.1;1.6;12486
499;1   Food and non-alcoholic beverages;CPI high income households;1999 June;105.4;-0.8;1.5;12486
500;1   Food and non-alcoholic beverages;CPI high income households;1999 July;104.1;-1.2;-0.1;12486
501;1   Food and non-alcoholic beverages;CPI high income households;1999 August;104.3;0.2;1.0;12486
502;1   Food and non-alcoholic beverages;CPI high income households;1999 September;104.2;-0.1;0.6;12486
503;1   Food and non-alcoholic beverages;CPI high income households;1999 October;104.2;0.0;0.7;12486
504;1   Food and non-alcoholic beverages;CPI high income households;1999 November;104.8;0.6;0.5;12486
505;1   Food and non-alcoholic beverages;CPI high income households;1999 December;104.9;0.1;-0.2;12486
506;1   Food and non-alcoholic beverages;CPI high income households;1999;105.2;;1.3;12486
507;1   Food and non-alcoholic beverages;CPI high income households;2000 January;105.3;0.4;-0.5;12486
508;1   Food and non-alcoholic beverages;CPI high income households;2000 February;104.5;-0.8;-1.5;12486
