ID;SexOfEmployee;TypeOfEmploymentContract;JobCharacterics;IndustryClassBranchSIC2008;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
159;Total;Total;Total;F Construction;2023;359.0;327.0;27.38;3867.0;3809.0;50820.0;46400.0;4420.0;1500.0;36.8;36.3;1670.0;1834.0
160;Total;Total;Total;G-N Commercial services;2009;3921.0;2840.0;19.34;2106.0;2070.0;29090.0;25270.0;3820.0;740.0;28.5;28.0;1285.0;1774.0
161;Total;Total;Total;G-N Commercial services;2010 before change of method;3832.0;2777.0;19.62;2131.0;2093.0;29460.0;25570.0;3890.0;700.0;28.5;28.0;1280.0;1766.0
162;Total;Total;Total;G-N Commercial services;2010 after change of method;3884.0;2815.0;19.69;2138.0;2101.0;29600.0;25660.0;3940.0;720.0;28.5;28.0;1281.0;1767.0
163;Total;Total;Total;G-N Commercial services;2011;3932.0;2828.0;19.91;2163.0;2125.0;30030.0;25960.0;4070.0;680.0;28.3;27.8;1281.0;1781.0
164;Total;Total;Total;G-N Commercial services;2012;3918.0;2808.0;20.41;2194.0;2157.0;30290.0;26330.0;3970.0;680.0;28.2;27.7;1269.0;1770.0
165;Total;Total;Total;G-N Commercial services;2013;3870.0;2771.0;20.65;2220.0;2184.0;30880.0;26640.0;4230.0;650.0;28.3;27.8;1269.0;1772.0
166;Total;Total;Total;G-N Commercial services;2014;3894.0;2782.0;20.71;2234.0;2197.0;30840.0;26800.0;4040.0;600.0;28.3;27.8;1273.0;1782.0
167;Total;Total;Total;G-N Commercial services;2015;4014.0;2863.0;21.03;2258.0;2220.0;31170.0;27090.0;4080.0;550.0;28.3;27.8;1267.0;1777.0
168;Total;Total;Total;G-N Commercial services;2016;4123.0;2963.0;20.88;2269.0;2232.0;31390.0;27230.0;4160.0;540.0;28.5;28.0;1283.0;1785.0
169;Total;Total;Total;G-N Commercial services;2017;4270.0;3077.0;21.0;2289.0;2251.0;31650.0;27470.0;4180.0;550.0;28.6;28.1;1287.0;1786.0
170;Total;Total;Total;G-N Commercial services;2018;4416.0;3200.0;21.4;2335.0;2297.0;32270.0;28020.0;4240.0;580.0;28.7;28.3;1288.0;1778.0
171;Total;Total;Total;G-N Commercial services;2019;4485.0;3258.0;21.84;2401.0;2364.0;33210.0;28810.0;4400.0;610.0;28.8;28.4;1299.0;1788.0
172;Total;Total;Total;G-N Commercial services;2020;4328.0;3190.0;22.73;2530.0;2495.0;34950.0;30350.0;4590.0;650.0;29.3;28.9;1317.0;1787.0
173;Total;Total;Total;G-N Commercial services;2021;4411.0;3266.0;23.1;2597.0;2560.0;36170.0;31160.0;5010.0;650.0;29.4;28.9;1330.0;1796.0
174;Total;Total;Total;G-N Commercial services;2022;4619.0;3407.0;23.96;2683.0;2647.0;37620.0;32200.0;5420.0;660.0;29.2;28.8;1325.0;1797.0
175;Total;Total;Total;G-N Commercial services;2023;4649.0;3438.0;25.71;2870.0;2835.0;40040.0;34440.0;5600.0;730.0;29.3;28.9;1323.0;1790.0
176;Total;Total;Total;G-I Trade, transport, hotels, catering;2009;1981.0;1363.0;16.85;1764.0;1714.0;24020.0;21170.0;2840.0;540.0;27.3;26.6;1221.0;1775.0
177;Total;Total;Total;G-I Trade, transport, hotels, catering;2010 before change of method;1973.0;1348.0;17.18;1781.0;1729.0;24280.0;21370.0;2910.0;520.0;27.1;26.4;1208.0;1767.0
178;Total;Total;Total;G-I Trade, transport, hotels, catering;2010 after change of method;1990.0;1360.0;17.21;1786.0;1734.0;24370.0;21430.0;2940.0;530.0;27.1;26.4;1209.0;1768.0
179;Total;Total;Total;G-I Trade, transport, hotels, catering;2011;2027.0;1370.0;17.38;1798.0;1746.0;24560.0;21570.0;2980.0;500.0;26.8;26.1;1205.0;1783.0
180;Total;Total;Total;G-I Trade, transport, hotels, catering;2012;2031.0;1364.0;17.83;1816.0;1767.0;24750.0;21790.0;2960.0;520.0;26.7;26.0;1189.0;1771.0
181;Total;Total;Total;G-I Trade, transport, hotels, catering;2013;2008.0;1346.0;18.09;1838.0;1790.0;25090.0;22060.0;3030.0;500.0;26.7;26.1;1188.0;1772.0
182;Total;Total;Total;G-I Trade, transport, hotels, catering;2014;2010.0;1333.0;18.15;1833.0;1786.0;24960.0;22000.0;2950.0;470.0;26.5;25.8;1181.0;1781.0
183;Total;Total;Total;G-I Trade, transport, hotels, catering;2015;2037.0;1344.0;18.34;1839.0;1790.0;25070.0;22070.0;3000.0;400.0;26.4;25.7;1172.0;1775.0
184;Total;Total;Total;G-I Trade, transport, hotels, catering;2016;2073.0;1383.0;18.2;1854.0;1807.0;25430.0;22250.0;3180.0;400.0;26.6;26.0;1191.0;1785.0
185;Total;Total;Total;G-I Trade, transport, hotels, catering;2017;2130.0;1430.0;18.4;1880.0;1832.0;25740.0;22560.0;3180.0;410.0;26.7;26.1;1194.0;1778.0
186;Total;Total;Total;G-I Trade, transport, hotels, catering;2018;2201.0;1486.0;18.75;1919.0;1870.0;26310.0;23030.0;3280.0;430.0;26.8;26.3;1197.0;1772.0
187;Total;Total;Total;G-I Trade, transport, hotels, catering;2019;2244.0;1520.0;19.12;1970.0;1924.0;26990.0;23640.0;3350.0;450.0;26.9;26.4;1207.0;1782.0
188;Total;Total;Total;G-I Trade, transport, hotels, catering;2020;2192.0;1501.0;19.75;2051.0;2008.0;28060.0;24610.0;3460.0;470.0;27.2;26.7;1220.0;1782.0
189;Total;Total;Total;G-I Trade, transport, hotels, catering;2021;2210.0;1520.0;20.05;2104.0;2057.0;28970.0;25240.0;3720.0;480.0;27.3;26.8;1231.0;1791.0
190;Total;Total;Total;G-I Trade, transport, hotels, catering;2022;2314.0;1584.0;20.76;2167.0;2122.0;30060.0;26000.0;4060.0;490.0;27.1;26.7;1227.0;1792.0
191;Total;Total;Total;G-I Trade, transport, hotels, catering;2023;2356.0;1605.0;22.27;2299.0;2255.0;31730.0;27590.0;4140.0;520.0;27.0;26.5;1215.0;1784.0
192;Total;Total;Total;G Wholesale and retail trade;2009;1282.0;895.0;17.0;1781.0;1753.0;24370.0;21370.0;3000.0;700.0;27.4;27.0;1237.0;1773.0
193;Total;Total;Total;G Wholesale and retail trade;2010 before change of method;1275.0;882.0;17.38;1798.0;1771.0;24690.0;21570.0;3110.0;680.0;27.1;26.7;1222.0;1766.0
194;Total;Total;Total;G Wholesale and retail trade;2010 after change of method;1287.0;891.0;17.43;1804.0;1777.0;24800.0;21640.0;3150.0;690.0;27.1;26.7;1223.0;1767.0
195;Total;Total;Total;G Wholesale and retail trade;2011;1307.0;894.0;17.64;1819.0;1792.0;25010.0;21820.0;3190.0;650.0;26.8;26.4;1219.0;1782.0
196;Total;Total;Total;G Wholesale and retail trade;2012;1308.0;890.0;18.11;1846.0;1819.0;25290.0;22150.0;3140.0;680.0;26.7;26.3;1206.0;1772.0
197;Total;Total;Total;G Wholesale and retail trade;2013;1290.0;875.0;18.36;1864.0;1838.0;25600.0;22370.0;3230.0;650.0;26.7;26.3;1202.0;1771.0
198;Total;Total;Total;G Wholesale and retail trade;2014;1287.0;862.0;18.37;1854.0;1827.0;25430.0;22240.0;3190.0;610.0;26.4;26.0;1194.0;1781.0
199;Total;Total;Total;G Wholesale and retail trade;2015;1300.0;865.0;18.56;1855.0;1829.0;25540.0;22260.0;3280.0;520.0;26.3;25.9;1182.0;1777.0
200;Total;Total;Total;G Wholesale and retail trade;2016;1319.0;887.0;18.43;1870.0;1844.0;25910.0;22430.0;3480.0;520.0;26.5;26.2;1200.0;1785.0
201;Total;Total;Total;G Wholesale and retail trade;2017;1351.0;914.0;18.69;1896.0;1870.0;26240.0;22760.0;3480.0;540.0;26.5;26.2;1201.0;1776.0
202;Total;Total;Total;G Wholesale and retail trade;2018;1388.0;945.0;19.03;1937.0;1911.0;26830.0;23240.0;3590.0;560.0;26.7;26.4;1205.0;1771.0
203;Total;Total;Total;G Wholesale and retail trade;2019;1409.0;960.0;19.39;1985.0;1962.0;27480.0;23820.0;3660.0;590.0;26.8;26.5;1214.0;1781.0
204;Total;Total;Total;G Wholesale and retail trade;2020;1411.0;966.0;19.87;2040.0;2020.0;28240.0;24480.0;3760.0;610.0;26.9;26.7;1220.0;1781.0
205;Total;Total;Total;G Wholesale and retail trade;2021;1434.0;984.0;20.25;2093.0;2072.0;29190.0;25120.0;4070.0;610.0;26.9;26.7;1228.0;1790.0
206;Total;Total;Total;G Wholesale and retail trade;2022;1460.0;1007.0;21.1;2195.0;2173.0;30820.0;26340.0;4490.0;630.0;27.1;26.9;1236.0;1792.0
207;Total;Total;Total;G Wholesale and retail trade;2023;1466.0;1011.0;22.63;2341.0;2320.0;32630.0;28100.0;4530.0;670.0;27.0;26.8;1230.0;1784.0
208;Total;Total;Total;H Transportation and storage;2009;381.0;305.0;18.66;2402.0;2238.0;32680.0;28830.0;3850.0;320.0;33.6;31.5;1439.0;1798.0
209;Total;Total;Total;H Transportation and storage;2010 before change of method;374.0;299.0;19.0;2445.0;2269.0;33190.0;29340.0;3850.0;330.0;33.7;31.4;1433.0;1790.0
210;Total;Total;Total;H Transportation and storage;2010 after change of method;376.0;301.0;19.02;2444.0;2269.0;33220.0;29330.0;3890.0;340.0;33.7;31.4;1432.0;1790.0
211;Total;Total;Total;H Transportation and storage;2011;381.0;302.0;19.26;2473.0;2300.0;33720.0;29680.0;4040.0;330.0;33.4;31.1;1433.0;1806.0
212;Total;Total;Total;H Transportation and storage;2012;378.0;297.0;19.81;2495.0;2331.0;34030.0;29940.0;4100.0;340.0;33.1;30.9;1412.0;1795.0
213;Total;Total;Total;H Transportation and storage;2013;372.0;293.0;20.25;2550.0;2390.0;34860.0;30600.0;4260.0;340.0;33.2;31.1;1416.0;1798.0
214;Total;Total;Total;H Transportation and storage;2014;366.0;288.0;20.53;2600.0;2437.0;35270.0;31190.0;4070.0;330.0;33.2;31.2;1425.0;1807.0
215;Total;Total;Total;H Transportation and storage;2015;363.0;288.0;21.02;2663.0;2493.0;36060.0;31960.0;4100.0;300.0;33.4;31.3;1424.0;1796.0
216;Total;Total;Total;H Transportation and storage;2016;365.0;294.0;20.99;2717.0;2543.0;37050.0;32600.0;4440.0;300.0;34.0;31.8;1453.0;1806.0
217;Total;Total;Total;H Transportation and storage;2017;371.0;302.0;21.24;2769.0;2590.0;37730.0;33230.0;4500.0;310.0;34.2;32.0;1464.0;1800.0
218;Total;Total;Total;H Transportation and storage;2018;387.0;315.0;21.67;2808.0;2628.0;38340.0;33700.0;4640.0;320.0;34.1;32.0;1456.0;1790.0
219;Total;Total;Total;H Transportation and storage;2019;394.0;323.0;22.16;2901.0;2728.0;39640.0;34810.0;4830.0;340.0;34.2;32.3;1477.0;1800.0
220;Total;Total;Total;H Transportation and storage;2020;386.0;321.0;22.85;3009.0;2846.0;40850.0;36110.0;4740.0;360.0;34.6;32.8;1495.0;1798.0
221;Total;Total;Total;H Transportation and storage;2021;391.0;325.0;23.04;3068.0;2888.0;41880.0;36810.0;5070.0;370.0;34.7;32.8;1504.0;1805.0
222;Total;Total;Total;H Transportation and storage;2022;400.0;335.0;23.81;3176.0;2997.0;43970.0;38120.0;5860.0;390.0;34.8;32.9;1511.0;1806.0
223;Total;Total;Total;H Transportation and storage;2023;406.0;340.0;25.69;3395.0;3219.0;46960.0;40740.0;6220.0;430.0;34.6;32.9;1504.0;1796.0
224;Total;Total;Total;I Accommodation and food serving;2009;318.0;163.0;12.46;935.0;929.0;12220.0;11220.0;990.0;120.0;19.7;19.5;894.0;1747.0
225;Total;Total;Total;I Accommodation and food serving;2010 before change of method;324.0;167.0;12.67;950.0;940.0;12410.0;11390.0;1020.0;110.0;19.7;19.5;890.0;1728.0
226;Total;Total;Total;I Accommodation and food serving;2010 after change of method;326.0;168.0;12.71;955.0;945.0;12480.0;11450.0;1020.0;120.0;19.7;19.5;892.0;1729.0
227;Total;Total;Total;I Accommodation and food serving;2011;339.0;174.0;12.68;958.0;947.0;12530.0;11500.0;1030.0;110.0;19.7;19.4;897.0;1748.0
228;Total;Total;Total;I Accommodation and food serving;2012;345.0;176.0;12.92;959.0;949.0;12510.0;11510.0;1000.0;110.0;19.6;19.4;881.0;1725.0
229;Total;Total;Total;I Accommodation and food serving;2013;346.0;177.0;13.06;976.0;967.0;12660.0;11710.0;960.0;100.0;19.8;19.6;889.0;1732.0
230;Total;Total;Total;I Accommodation and food serving;2014;357.0;182.0;13.12;977.0;968.0;12690.0;11720.0;970.0;90.0;19.7;19.5;885.0;1738.0
231;Total;Total;Total;I Accommodation and food serving;2015;373.0;191.0;13.11;980.0;971.0;12720.0;11760.0;960.0;80.0;19.8;19.6;889.0;1738.0
232;Total;Total;Total;I Accommodation and food serving;2016;389.0;203.0;13.0;995.0;990.0;12930.0;11940.0;990.0;80.0;20.1;20.0;914.0;1758.0
233;Total;Total;Total;I Accommodation and food serving;2017;407.0;215.0;13.08;1017.0;1012.0;13200.0;12200.0;1000.0;80.0;20.3;20.3;929.0;1760.0
234;Total;Total;Total;I Accommodation and food serving;2018;425.0;227.0;13.43;1051.0;1047.0;13650.0;12610.0;1040.0;90.0;20.6;20.5;935.0;1754.0
235;Total;Total;Total;I Accommodation and food serving;2019;441.0;236.0;13.79;1087.0;1083.0;14120.0;13050.0;1070.0;90.0;20.7;20.6;943.0;1762.0
236;Total;Total;Total;I Accommodation and food serving;2020;396.0;214.0;14.46;1154.0;1151.0;14960.0;13840.0;1120.0;110.0;21.0;20.9;955.0;1763.0
237;Total;Total;Total;I Accommodation and food serving;2021;386.0;211.0;14.41;1165.0;1161.0;15050.0;13980.0;1070.0;110.0;21.1;21.0;967.0;1771.0
238;Total;Total;Total;I Accommodation and food serving;2022;454.0;242.0;15.0;1188.0;1183.0;15340.0;14250.0;1090.0;100.0;20.6;20.6;947.0;1775.0
239;Total;Total;Total;I Accommodation and food serving;2023;484.0;254.0;16.15;1250.0;1247.0;16210.0;15010.0;1200.0;110.0;20.3;20.2;927.0;1767.0
240;Total;Total;Total;J Information and communication;2009;233.0;208.0;24.48;3287.0;3268.0;46240.0;39450.0;6800.0;1960.0;35.1;34.9;1602.0;1796.0
241;Total;Total;Total;J Information and communication;2010 before change of method;223.0;198.0;24.95;3344.0;3323.0;46940.0;40130.0;6820.0;1860.0;35.0;34.8;1599.0;1798.0
242;Total;Total;Total;J Information and communication;2010 after change of method;226.0;201.0;24.9;3333.0;3313.0;46840.0;40000.0;6840.0;1850.0;34.9;34.7;1596.0;1799.0
243;Total;Total;Total;J Information and communication;2011;230.0;203.0;25.37;3397.0;3376.0;47700.0;40760.0;6940.0;1730.0;34.7;34.5;1597.0;1810.0
244;Total;Total;Total;J Information and communication;2012;231.0;205.0;25.78;3436.0;3416.0;47910.0;41230.0;6680.0;1690.0;34.8;34.7;1590.0;1798.0
245;Total;Total;Total;J Information and communication;2013;227.0;202.0;25.89;3463.0;3446.0;48560.0;41560.0;7000.0;1640.0;35.1;34.9;1597.0;1800.0
246;Total;Total;Total;J Information and communication;2014;233.0;209.0;26.34;3580.0;3564.0;50030.0;42960.0;7070.0;1520.0;35.5;35.4;1624.0;1812.0
247;Total;Total;Total;J Information and communication;2015;238.0;213.0;26.8;3634.0;3617.0;51150.0;43610.0;7540.0;1420.0;35.6;35.4;1619.0;1805.0
248;Total;Total;Total;J Information and communication;2016;247.0;222.0;26.63;3619.0;3604.0;51050.0;43430.0;7620.0;1370.0;35.5;35.4;1624.0;1812.0
249;Total;Total;Total;J Information and communication;2017;261.0;233.0;27.15;3657.0;3642.0;51700.0;43890.0;7810.0;1390.0;35.3;35.2;1610.0;1806.0
250;Total;Total;Total;J Information and communication;2018;272.0;243.0;27.68;3724.0;3710.0;52700.0;44690.0;8010.0;1450.0;35.4;35.3;1609.0;1799.0
251;Total;Total;Total;J Information and communication;2019;281.0;252.0;28.25;3826.0;3814.0;54550.0;45910.0;8630.0;1500.0;35.6;35.5;1620.0;1806.0
252;Total;Total;Total;J Information and communication;2020;290.0;261.0;29.08;3941.0;3930.0;56230.0;47300.0;8930.0;1500.0;35.7;35.6;1622.0;1803.0
253;Total;Total;Total;J Information and communication;2021;302.0;272.0;29.89;4079.0;4068.0;59260.0;48940.0;10310.0;1470.0;35.7;35.6;1633.0;1815.0
254;Total;Total;Total;J Information and communication;2022;321.0;289.0;31.2;4258.0;4249.0;61440.0;51100.0;10340.0;1450.0;35.7;35.7;1634.0;1816.0
255;Total;Total;Total;J Information and communication;2023;331.0;298.0;33.11;4501.0;4492.0;64470.0;54020.0;10450.0;1530.0;35.8;35.7;1628.0;1807.0
256;Total;Total;Total;K Financial institutions;2009;269.0;237.0;27.45;3474.0;3460.0;52270.0;41680.0;10590.0;1160.0;33.2;33.1;1513.0;1722.0
257;Total;Total;Total;K Financial institutions;2010 before change of method;261.0;230.0;28.15;3569.0;3554.0;53940.0;42820.0;11120.0;1110.0;33.3;33.2;1515.0;1721.0
258;Total;Total;Total;K Financial institutions;2010 after change of method;273.0;238.0;28.04;3539.0;3526.0;53430.0;42470.0;10950.0;1160.0;33.1;33.0;1509.0;1726.0
259;Total;Total;Total;K Financial institutions;2011;266.0;233.0;28.76;3670.0;3657.0;55600.0;44040.0;11550.0;1110.0;33.2;33.1;1526.0;1740.0
260;Total;Total;Total;K Financial institutions;2012;263.0;231.0;29.7;3774.0;3761.0;56460.0;45290.0;11160.0;1110.0;33.3;33.2;1520.0;1730.0
261;Total;Total;Total;K Financial institutions;2013;256.0;225.0;30.24;3852.0;3838.0;59020.0;46230.0;12800.0;1070.0;33.5;33.4;1523.0;1733.0
262;Total;Total;Total;K Financial institutions;2014;246.0;217.0;31.12;4000.0;3986.0;59210.0;48000.0;11200.0;1010.0;33.6;33.5;1537.0;1747.0
263;Total;Total;Total;K Financial institutions;2015;283.0;247.0;32.51;4147.0;4135.0;59400.0;49760.0;9640.0;1180.0;33.6;33.5;1526.0;1748.0
264;Total;Total;Total;K Financial institutions;2016;279.0;243.0;33.06;4235.0;4224.0;60290.0;50820.0;9470.0;1170.0;33.6;33.5;1533.0;1757.0
265;Total;Total;Total;K Financial institutions;2017;270.0;234.0;33.32;4285.0;4275.0;60910.0;51420.0;9490.0;1240.0;33.5;33.4;1540.0;1771.0
266;Total;Total;Total;K Financial institutions;2018;268.0;233.0;34.38;4414.0;4405.0;62200.0;52970.0;9230.0;1310.0;33.6;33.5;1537.0;1770.0
267;Total;Total;Total;K Financial institutions;2019;265.0;229.0;35.06;4512.0;4503.0;63370.0;54150.0;9230.0;1380.0;33.5;33.5;1541.0;1779.0
268;Total;Total;Total;K Financial institutions;2020;274.0;237.0;35.9;4617.0;4608.0;64860.0;55400.0;9460.0;1360.0;33.6;33.6;1540.0;1777.0
269;Total;Total;Total;K Financial institutions;2021;278.0;242.0;36.67;4758.0;4749.0;67800.0;57100.0;10700.0;1340.0;33.7;33.6;1554.0;1788.0
270;Total;Total;Total;K Financial institutions;2022;287.0;249.0;37.42;4851.0;4842.0;70110.0;58210.0;11900.0;1380.0;33.7;33.6;1553.0;1789.0
271;Total;Total;Total;K Financial institutions;2023;294.0;255.0;39.24;5065.0;5058.0;73060.0;60780.0;12280.0;1460.0;33.7;33.6;1547.0;1782.0
272;Total;Total;Total;L Renting, buying, selling real estate;2009;75.0;61.0;23.25;2729.0;2719.0;36980.0;32740.0;4230.0;1150.0;30.7;30.6;1403.0;1721.0
273;Total;Total;Total;L Renting, buying, selling real estate;2010 before change of method;70.0;58.0;23.76;2796.0;2787.0;37810.0;33560.0;4250.0;1050.0;30.9;30.8;1408.0;1713.0
274;Total;Total;Total;L Renting, buying, selling real estate;2010 after change of method;73.0;60.0;23.47;2752.0;2743.0;37290.0;33020.0;4270.0;1090.0;30.7;30.6;1402.0;1718.0
275;Total;Total;Total;L Renting, buying, selling real estate;2011;72.0;59.0;24.03;2815.0;2808.0;37960.0;33790.0;4180.0;1020.0;30.5;30.4;1402.0;1723.0
276;Total;Total;Total;L Renting, buying, selling real estate;2012;69.0;57.0;24.82;2886.0;2880.0;39010.0;34640.0;4370.0;1030.0;30.5;30.4;1393.0;1709.0
277;Total;Total;Total;L Renting, buying, selling real estate;2013;67.0;55.0;25.11;2931.0;2924.0;40080.0;35170.0;4910.0;990.0;30.7;30.6;1397.0;1714.0
278;Total;Total;Total;L Renting, buying, selling real estate;2014;67.0;54.0;24.97;2909.0;2903.0;39510.0;34910.0;4600.0;900.0;30.5;30.5;1395.0;1724.0
279;Total;Total;Total;L Renting, buying, selling real estate;2015;64.0;52.0;25.2;2934.0;2928.0;40310.0;35200.0;5110.0;770.0;30.6;30.6;1394.0;1721.0
280;Total;Total;Total;L Renting, buying, selling real estate;2016;64.0;52.0;25.2;2950.0;2944.0;40600.0;35400.0;5200.0;770.0;30.7;30.6;1402.0;1731.0
281;Total;Total;Total;L Renting, buying, selling real estate;2017;66.0;53.0;25.57;2991.0;2986.0;41040.0;35890.0;5150.0;830.0;30.7;30.6;1402.0;1734.0
282;Total;Total;Total;L Renting, buying, selling real estate;2018;66.0;54.0;26.19;3067.0;3063.0;42440.0;36810.0;5630.0;900.0;30.8;30.8;1403.0;1728.0
283;Total;Total;Total;L Renting, buying, selling real estate;2019;68.0;55.0;26.86;3163.0;3159.0;43440.0;37950.0;5490.0;950.0;30.9;30.8;1411.0;1737.0
284;Total;Total;Total;L Renting, buying, selling real estate;2020;68.0;56.0;27.72;3277.0;3273.0;44840.0;39330.0;5520.0;1000.0;31.1;31.1;1417.0;1735.0
285;Total;Total;Total;L Renting, buying, selling real estate;2021;69.0;57.0;28.12;3369.0;3365.0;46240.0;40430.0;5810.0;1040.0;31.3;31.2;1436.0;1750.0
286;Total;Total;Total;L Renting, buying, selling real estate;2022;71.0;58.0;28.97;3462.0;3459.0;47700.0;41550.0;6150.0;1060.0;31.2;31.2;1433.0;1749.0
287;Total;Total;Total;L Renting, buying, selling real estate;2023;72.0;59.0;30.23;3593.0;3590.0;49380.0;43110.0;6270.0;1120.0;31.2;31.1;1425.0;1739.0
288;Total;Total;Total;M-N Business services;2009;1363.0;972.0;19.56;2095.0;2072.0;28510.0;25140.0;3370.0;720.0;28.0;27.7;1271.0;1782.0
289;Total;Total;Total;M-N Business services;2010 before change of method;1305.0;943.0;19.71;2129.0;2104.0;28970.0;25550.0;3420.0;680.0;28.4;28.0;1281.0;1772.0
290;Total;Total;Total;M-N Business services;2010 after change of method;1323.0;956.0;19.82;2142.0;2117.0;29190.0;25700.0;3490.0;700.0;28.4;28.0;1282.0;1774.0
291;Total;Total;Total;M-N Business services;2011;1338.0;964.0;20.0;2171.0;2145.0;29780.0;26050.0;3730.0;650.0;28.3;27.9;1287.0;1786.0
292;Total;Total;Total;M-N Business services;2012;1324.0;952.0;20.47;2206.0;2180.0;30070.0;26470.0;3600.0;640.0;28.3;27.9;1278.0;1777.0
293;Total;Total;Total;M-N Business services;2013;1312.0;944.0;20.69;2235.0;2207.0;30710.0;26820.0;3890.0;610.0;28.5;28.1;1280.0;1780.0
294;Total;Total;Total;M-N Business services;2014;1337.0;969.0;20.48;2241.0;2212.0;30680.0;26890.0;3790.0;560.0;28.7;28.3;1296.0;1789.0
295;Total;Total;Total;M-N Business services;2015;1392.0;1006.0;20.4;2220.0;2189.0;30520.0;26640.0;3880.0;480.0;28.7;28.2;1288.0;1782.0
296;Total;Total;Total;M-N Business services;2016;1459.0;1063.0;20.21;2223.0;2192.0;30600.0;26680.0;3920.0;470.0;28.9;28.4;1302.0;1787.0
297;Total;Total;Total;M-N Business services;2017;1544.0;1126.0;20.24;2244.0;2210.0;30890.0;26930.0;3960.0;480.0;29.1;28.6;1310.0;1797.0
298;Total;Total;Total;M-N Business services;2018;1610.0;1184.0;20.65;2295.0;2260.0;31570.0;27530.0;4040.0;500.0;29.3;28.8;1313.0;1785.0
299;Total;Total;Total;M-N Business services;2019;1628.0;1202.0;21.18;2374.0;2340.0;32770.0;28480.0;4290.0;540.0;29.4;29.0;1325.0;1795.0
300;Total;Total;Total;M-N Business services;2020;1503.0;1135.0;22.23;2542.0;2508.0;34990.0;30500.0;4490.0;600.0;30.1;29.7;1354.0;1794.0
301;Total;Total;Total;M-N Business services;2021;1551.0;1176.0;22.44;2588.0;2553.0;35800.0;31060.0;4740.0;600.0;30.2;29.8;1366.0;1802.0
302;Total;Total;Total;M-N Business services;2022;1625.0;1226.0;23.42;2689.0;2655.0;37480.0;32270.0;5210.0;620.0;30.1;29.6;1360.0;1803.0
303;Total;Total;Total;M-N Business services;2023;1596.0;1220.0;25.36;2938.0;2903.0;40730.0;35260.0;5480.0;720.0;30.5;30.1;1374.0;1797.0
304;Total;Total;Total;M Other specialised business services;2009;521.0;440.0;25.56;3229.0;3213.0;44630.0;38750.0;5880.0;1400.0;33.1;32.9;1508.0;1789.0
305;Total;Total;Total;M Other specialised business services;2010 before change of method;490.0;413.0;26.13;3278.0;3262.0;45430.0;39340.0;6090.0;1350.0;33.0;32.8;1498.0;1778.0
306;Total;Total;Total;M Other specialised business services;2010 after change of method;504.0;423.0;26.21;3280.0;3263.0;45540.0;39350.0;6180.0;1370.0;32.9;32.7;1494.0;1781.0
307;Total;Total;Total;M Other specialised business services;2011;497.0;417.0;26.76;3370.0;3353.0;47000.0;40440.0;6560.0;1330.0;32.8;32.7;1504.0;1793.0
308;Total;Total;Total;M Other specialised business services;2012;493.0;411.0;27.42;3421.0;3405.0;47340.0;41050.0;6290.0;1310.0;32.8;32.6;1490.0;1784.0
309;Total;Total;Total;M Other specialised business services;2013;482.0;403.0;27.8;3478.0;3462.0;48810.0;41730.0;7080.0;1280.0;33.0;32.8;1495.0;1786.0
