ID;SectorBranchesSIC2008;Periods;LabourPriceIndex_1;YearOnYearChangePriceOfLabour_2;WageCostsPerHourWorked2010100_3;YearOnYearChangeWageCostsPerHour_4;StructuralEffect_5
1351;P Education;2014 January - 2014 December;107.6;0.6;108.9;1.0;0.3
1352;P Education;2014 April - 2015 March ;107.9;1.0;109.2;1.2;0.2
1353;P Education;2014 July - 2015 June;108.4;1.3;109.7;1.4;0.1
1354;P Education;2014 October - 2015 September;109.7;2.6;111.0;2.6;0.0
1355;P Education;2015 January - 2015 December;109.5;1.8;110.8;1.7;-0.1
1356;P Education;2015 April - 2016 March;110.0;2.0;111.2;1.8;-0.2
1357;P Education;2015 July - 2016 June;109.6;1.2;110.7;0.9;-0.2
1358;P Education;2015 October - 2016 September;110.4;0.7;111.4;0.4;-0.3
1359;P Education;2016 January - 2016 December;111.5;1.8;112.4;1.5;-0.3
1360;P Education;2016 April - 2017 March;111.5;1.3;112.3;1.0;-0.4
1361;P Education;2016 July - 2017 June;113.8;3.8;114.5;3.4;-0.4
1362;P Education;2016 October - 2017 September;113.6;2.9;114.1;2.4;-0.4
1363;P Education;2017 January - 2017 December;114.4;2.6;114.8;2.1;-0.4
1364;Q Health and social work activities;2001;76.7;;75.5;;
1365;Q Health and social work activities;2002;80.2;4.5;78.7;4.2;-0.3
1366;Q Health and social work activities;2003;83.9;4.6;82.4;4.7;0.1
1367;Q Health and social work activities;2004;84.7;1.0;83.8;1.6;0.6
1368;Q Health and social work activities;2005;87.3;3.1;86.8;3.6;0.5
1369;Q Health and social work activities;2006;88.8;1.7;89.2;2.8;1.1
1370;Q Health and social work activities;2007;91.9;3.5;92.4;3.5;0.1
1371;Q Health and social work activities;2008;95.7;4.1;95.8;3.8;-0.3
1372;Q Health and social work activities;2009;97.6;2.1;97.8;2.0;0.0
1373;Q Health and social work activities;2010;100.0;2.4;100.0;2.3;-0.2
1374;Q Health and social work activities;2011;101.4;1.4;101.7;1.7;0.2
1375;Q Health and social work activities;2012;103.6;2.1;104.3;2.6;0.4
1376;Q Health and social work activities;2013;106.0;2.3;107.8;3.3;1.0
1377;Q Health and social work activities;2014;107.5;1.4;110.3;2.4;0.9
1378;Q Health and social work activities;2015;107.5;0.0;111.3;0.9;0.8
1379;Q Health and social work activities;2016;109.4;1.8;113.4;2.0;0.2
1380;Q Health and social work activities;2017;111.3;1.7;115.1;1.5;-0.2
1381;Q Health and social work activities;2006 January - 2006 December;88.8;1.7;89.2;2.8;1.1
1382;Q Health and social work activities;2006 April - 2007 March;89.8;;90.2;;
1383;Q Health and social work activities;2006 July - 2007 June;90.5;;91.0;;
1384;Q Health and social work activities;2006 October - 2007 September;91.1;;91.6;;
1385;Q Health and social work activities;2007 January - 2007 December;91.9;3.5;92.4;3.5;0.1
1386;Q Health and social work activities;2007 April - 2008 March;92.9;3.4;93.3;3.4;-0.1
1387;Q Health and social work activities;2007 July - 2008 June;93.8;3.6;94.1;3.3;-0.2
1388;Q Health and social work activities;2007 October - 2008 September;94.4;3.6;94.6;3.3;-0.3
1389;Q Health and social work activities;2008 January - 2008 December;95.7;4.1;95.8;3.8;-0.3
1390;Q Health and social work activities;2008 April - 2009 March;96.0;3.4;96.1;3.1;-0.3
1391;Q Health and social work activities;2008 July - 2009 June;97.0;3.5;97.1;3.3;-0.2
1392;Q Health and social work activities;2008 October - 2009 September;97.2;3.0;97.4;2.9;-0.1
1393;Q Health and social work activities;2009 January - 2009 December;97.6;2.1;97.8;2.0;0.0
1394;Q Health and social work activities;2009 April - 2010 March;98.0;2.0;98.1;2.0;0.0
1395;Q Health and social work activities;2009 July - 2010 June;99.3;2.3;99.3;2.2;-0.1
1396;Q Health and social work activities;2009 October - 2010 September;100.1;2.9;100.1;2.8;-0.1
1397;Q Health and social work activities;2010 January - 2010 December;100.0;2.4;100.0;2.3;-0.2
1398;Q Health and social work activities;2010 April - 2011 March;99.7;1.7;99.7;1.7;0.0
1399;Q Health and social work activities;2010 July - 2011 June;99.7;0.4;99.8;0.5;0.1
1400;Q Health and social work activities;2010 October - 2011 September;100.0;-0.1;100.1;0.0;0.1
1401;Q Health and social work activities;2011 January - 2011 December;101.4;1.4;101.7;1.7;0.2
1402;Q Health and social work activities;2011 April - 2012 March;101.2;1.5;101.5;1.8;0.3
1403;Q Health and social work activities;2011 July - 2012 June;101.5;1.9;102.0;2.2;0.3
1404;Q Health and social work activities;2011 October - 2012 September;102.4;2.4;102.9;2.8;0.4
1405;Q Health and social work activities;2012 January - 2012 December;103.6;2.1;104.3;2.6;0.4
1406;Q Health and social work activities;2012 April - 2013 March;105.2;4.0;106.2;4.6;0.6
1407;Q Health and social work activities;2012 July - 2013 June;105.5;3.9;106.7;4.7;0.7
1408;Q Health and social work activities;2012 October - 2013 September;105.9;3.4;107.3;4.3;0.8
1409;Q Health and social work activities;2013 January - 2013 December;106.0;2.3;107.8;3.3;1.0
1410;Q Health and social work activities;2013 April - 2014 March;106.1;0.8;108.1;1.8;1.0
1411;Q Health and social work activities;2013 July - 2014 June;106.8;1.2;109.1;2.2;1.1
1412;Q Health and social work activities;2013 October - 2014 September;106.8;0.8;109.3;1.9;1.0
1413;Q Health and social work activities;2014 January - 2014 December;107.5;1.4;110.3;2.4;0.9
1414;Q Health and social work activities;2014 April - 2015 March ;107.6;1.4;110.6;2.3;0.9
1415;Q Health and social work activities;2014 July - 2015 June;107.8;0.9;111.1;1.8;0.8
1416;Q Health and social work activities;2014 October - 2015 September;108.1;1.3;111.7;2.1;0.8
1417;Q Health and social work activities;2015 January - 2015 December;107.5;0.0;111.3;0.9;0.8
1418;Q Health and social work activities;2015 April - 2016 March;108.4;0.7;112.2;1.4;0.7
1419;Q Health and social work activities;2015 July - 2016 June;108.0;0.2;112.0;0.8;0.6
1420;Q Health and social work activities;2015 October - 2016 September;108.1;0.0;112.1;0.4;0.4
1421;Q Health and social work activities;2016 January - 2016 December;109.4;1.8;113.4;2.0;0.2
1422;Q Health and social work activities;2016 April - 2017 March;108.5;0.1;112.4;0.2;0.1
1423;Q Health and social work activities;2016 July - 2017 June;109.4;1.2;113.3;1.2;-0.1
1424;Q Health and social work activities;2016 October - 2017 September;110.2;1.9;114.1;1.7;-0.2
1425;Q Health and social work activities;2017 January - 2017 December;111.3;1.7;115.1;1.5;-0.2
1426;R-U Culture, recreation, other services;2001;80.5;;78.5;;
1427;R-U Culture, recreation, other services;2002;84.3;4.7;82.8;5.5;0.7
1428;R-U Culture, recreation, other services;2003;88.6;5.0;87.4;5.5;0.5
1429;R-U Culture, recreation, other services;2004;90.0;1.5;88.6;1.3;-0.2
1430;R-U Culture, recreation, other services;2005;91.1;1.3;90.1;1.8;0.5
1431;R-U Culture, recreation, other services;2006;92.6;1.7;92.2;2.3;0.6
1432;R-U Culture, recreation, other services;2007;94.7;2.2;93.8;1.8;-0.5
1433;R-U Culture, recreation, other services;2008;96.9;2.3;95.7;2.0;-0.3
1434;R-U Culture, recreation, other services;2009;98.9;2.1;98.2;2.7;0.6
1435;R-U Culture, recreation, other services;2010;100.0;1.1;100.0;1.8;0.7
1436;R-U Culture, recreation, other services;2011;101.9;1.9;102.1;2.1;0.2
1437;R-U Culture, recreation, other services;2012;104.8;2.8;105.1;3.0;0.2
1438;R-U Culture, recreation, other services;2013;105.7;0.9;106.7;1.5;0.6
1439;R-U Culture, recreation, other services;2014;106.8;1.0;108.7;1.9;0.8
1440;R-U Culture, recreation, other services;2015;107.4;0.6;109.4;0.7;0.1
1441;R-U Culture, recreation, other services;2016;108.8;1.3;110.7;1.2;-0.1
1442;R-U Culture, recreation, other services;2017;110.8;1.8;112.5;1.6;-0.2
1443;R-U Culture, recreation, other services;2006 January - 2006 December;92.6;1.7;92.2;2.3;0.6
1444;R-U Culture, recreation, other services;2006 April - 2007 March;93.5;;92.9;;
1445;R-U Culture, recreation, other services;2006 July - 2007 June;94.0;;93.3;;
1446;R-U Culture, recreation, other services;2006 October - 2007 September;94.5;;93.8;;
1447;R-U Culture, recreation, other services;2007 January - 2007 December;94.7;2.2;93.8;1.8;-0.5
1448;R-U Culture, recreation, other services;2007 April - 2008 March;95.2;1.8;94.2;1.5;-0.4
1449;R-U Culture, recreation, other services;2007 July - 2008 June;95.6;1.7;94.6;1.4;-0.3
1450;R-U Culture, recreation, other services;2007 October - 2008 September;95.9;1.5;94.8;1.1;-0.4
1451;R-U Culture, recreation, other services;2008 January - 2008 December;96.9;2.3;95.7;2.0;-0.3
1452;R-U Culture, recreation, other services;2008 April - 2009 March;97.6;2.5;96.3;2.2;-0.2
1453;R-U Culture, recreation, other services;2008 July - 2009 June;98.5;3.0;97.5;3.0;0.0
1454;R-U Culture, recreation, other services;2008 October - 2009 September;98.6;2.8;97.8;3.2;0.4
1455;R-U Culture, recreation, other services;2009 January - 2009 December;98.9;2.1;98.2;2.7;0.6
1456;R-U Culture, recreation, other services;2009 April - 2010 March;99.6;2.1;99.1;2.9;0.8
1457;R-U Culture, recreation, other services;2009 July - 2010 June;100.1;1.7;100.0;2.6;0.9
1458;R-U Culture, recreation, other services;2009 October - 2010 September;100.0;1.4;100.0;2.2;0.7
1459;R-U Culture, recreation, other services;2010 January - 2010 December;100.0;1.1;100.0;1.8;0.7
1460;R-U Culture, recreation, other services;2010 April - 2011 March;100.0;0.5;100.1;1.0;0.5
1461;R-U Culture, recreation, other services;2010 July - 2011 June;100.3;0.1;100.4;0.4;0.3
1462;R-U Culture, recreation, other services;2010 October - 2011 September;100.7;0.6;100.8;0.8;0.2
1463;R-U Culture, recreation, other services;2011 January - 2011 December;101.9;1.9;102.1;2.1;0.2
1464;R-U Culture, recreation, other services;2011 April - 2012 March;102.1;2.1;102.2;2.2;0.1
1465;R-U Culture, recreation, other services;2011 July - 2012 June;102.5;2.2;102.7;2.3;0.1
1466;R-U Culture, recreation, other services;2011 October - 2012 September;103.5;2.8;103.8;3.0;0.2
1467;R-U Culture, recreation, other services;2012 January - 2012 December;104.8;2.8;105.1;3.0;0.2
1468;R-U Culture, recreation, other services;2012 April - 2013 March;106.3;4.1;106.7;4.4;0.3
1469;R-U Culture, recreation, other services;2012 July - 2013 June;106.1;3.6;106.8;4.0;0.4
1470;R-U Culture, recreation, other services;2012 October - 2013 September;106.1;2.4;106.9;3.0;0.5
1471;R-U Culture, recreation, other services;2013 January - 2013 December;105.7;0.9;106.7;1.5;0.6
1472;R-U Culture, recreation, other services;2013 April - 2014 March;105.8;-0.4;106.9;0.2;0.6
1473;R-U Culture, recreation, other services;2013 July - 2014 June;106.2;0.0;107.4;0.5;0.5
1474;R-U Culture, recreation, other services;2013 October - 2014 September;106.0;-0.1;107.5;0.6;0.7
1475;R-U Culture, recreation, other services;2014 January - 2014 December;106.8;1.0;108.7;1.9;0.8
1476;R-U Culture, recreation, other services;2014 April - 2015 March ;106.8;1.0;108.8;1.8;0.8
1477;R-U Culture, recreation, other services;2014 July - 2015 June;107.3;1.1;109.3;1.8;0.7
1478;R-U Culture, recreation, other services;2014 October - 2015 September;108.0;1.9;110.0;2.3;0.4
1479;R-U Culture, recreation, other services;2015 January - 2015 December;107.4;0.6;109.4;0.7;0.1
1480;R-U Culture, recreation, other services;2015 April - 2016 March;108.1;1.2;110.1;1.2;0.0
1481;R-U Culture, recreation, other services;2015 July - 2016 June;107.8;0.5;109.9;0.5;0.0
1482;R-U Culture, recreation, other services;2015 October - 2016 September;108.0;0.0;110.0;0.0;0.0
1483;R-U Culture, recreation, other services;2016 January - 2016 December;108.8;1.3;110.7;1.2;-0.1
1484;R-U Culture, recreation, other services;2016 April - 2017 March;108.2;0.2;110.1;0.0;-0.2
1485;R-U Culture, recreation, other services;2016 July - 2017 June;109.1;1.2;111.0;1.0;-0.2
1486;R-U Culture, recreation, other services;2016 October - 2017 September;109.7;1.6;111.5;1.4;-0.3
1487;R-U Culture, recreation, other services;2017 January - 2017 December;110.8;1.8;112.5;1.6;-0.2
