ID;Sex;Age;BackgroundAndGeneration;MedicineGroupATC;Periods;PersonsWithDispensedMedicines_1;PersonsWithMedicinesRelative_2
327;Total male and female;10000;Total background and generation;A06 Laxatives;2018;1460285;8.3
328;Total male and female;10000;Total background and generation;A06 Laxatives;2019;1470760;8.3
329;Total male and female;10000;Total background and generation;A06 Laxatives;2020;1429265;8.03
330;Total male and female;10000;Total background and generation;A06A Laxatives;2006;787295;4.73
331;Total male and female;10000;Total background and generation;A06A Laxatives;2007;855930;5.13
332;Total male and female;10000;Total background and generation;A06A Laxatives;2008;909225;5.42
333;Total male and female;10000;Total background and generation;A06A Laxatives;2009;975410;5.79
334;Total male and female;10000;Total background and generation;A06A Laxatives;2010;1054600;6.23
335;Total male and female;10000;Total background and generation;A06A Laxatives;2011;1144755;6.73
336;Total male and female;10000;Total background and generation;A06A Laxatives;2012;1156485;6.77
337;Total male and female;10000;Total background and generation;A06A Laxatives;2013;1152965;6.73
338;Total male and female;10000;Total background and generation;A06A Laxatives;2014;1208195;7.02
339;Total male and female;10000;Total background and generation;A06A Laxatives;2015;1281735;7.41
340;Total male and female;10000;Total background and generation;A06A Laxatives;2016;1358175;7.81
341;Total male and female;10000;Total background and generation;A06A Laxatives;2017;1420150;8.12
342;Total male and female;10000;Total background and generation;A06A Laxatives;2018;1460285;8.3
343;Total male and female;10000;Total background and generation;A06A Laxatives;2019;1470760;8.3
344;Total male and female;10000;Total background and generation;A06A Laxatives;2020;1429265;8.03
345;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2006;244715;1.47
346;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2007;248600;1.49
347;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2008;247490;1.48
348;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2009;250155;1.49
349;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2010;252645;1.49
350;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2011;252055;1.48
351;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2012;244015;1.43
352;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2013;232415;1.36
353;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2014;229405;1.33
354;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2015;226470;1.31
355;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2016;225025;1.29
356;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2017;223065;1.28
357;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2018;225935;1.28
358;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2019;220265;1.24
359;Total male and female;10000;Total background and generation;A07 Anti diarr/intest/infl/infect.agents;2020;213835;1.2
360;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2006;115650;0.69
361;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2007;118095;0.71
362;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2008;122360;0.73
363;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2009;126130;0.75
364;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2010;130790;0.77
365;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2011;131815;0.77
366;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2012;129420;0.76
367;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2013;122850;0.72
368;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2014;121695;0.71
369;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2015;119970;0.69
370;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2016;117765;0.68
371;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2017;115215;0.66
372;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2018;116495;0.66
373;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2019;112660;0.64
374;Total male and female;10000;Total background and generation;A07A Intestinal antiinfectives;2020;107395;0.6
375;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2006;75;0.0
376;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2007;40;0.0
377;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2008;15;0.0
378;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2009;5;0.0
379;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2010;5;0.0
380;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2011;10;0.0
381;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2012;10;0.0
382;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2013;10;0.0
383;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2014;5;0.0
384;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2015;0;0.0
385;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2016;0;0.0
386;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2017;0;0.0
387;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2018;0;0.0
388;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2019;0;0.0
389;Total male and female;10000;Total background and generation;A07B Intestinal adsorbents;2020;0;0.0
390;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2006;295;0.0
391;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2007;220;0.0
392;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2008;10;0.0
393;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2009;15;0.0
394;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2010;10;0.0
395;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2011;10;0.0
396;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2012;5;0.0
397;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2013;5;0.0
398;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2014;5;0.0
399;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2015;5;0.0
400;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2016;5;0.0
401;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2017;5;0.0
402;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2018;5;0.0
403;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2019;5;0.0
404;Total male and female;10000;Total background and generation;A07C Electrolytes with carbohydrates;2020;5;0.0
405;Total male and female;10000;Total background and generation;A07D Antipropulsives;2006;60240;0.36
406;Total male and female;10000;Total background and generation;A07D Antipropulsives;2007;60845;0.36
407;Total male and female;10000;Total background and generation;A07D Antipropulsives;2008;55270;0.33
408;Total male and female;10000;Total background and generation;A07D Antipropulsives;2009;52560;0.31
