ID;Financing;RevenuesOfHealthCareFinancingScheme;FunctionsOfHealthAndSocialCare;Periods;HealthAndSocialCareExpenditure_1
328;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2001;1852
329;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2002;2133
330;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2003;2215
331;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2004;2212
332;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2005;2507
333;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2006;2747
334;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2007;3055
335;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2008;3170
336;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2009;3347
337;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2010;3337
338;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2011;3377
339;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2012;3482
340;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2013;3479
341;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2014;3565
342;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2015;4437
343;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2016;4599
344;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2017;4600
345;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2018;4943
346;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2019;5393
347;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2020;9847
348;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2021;12896
349;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2022;9221
350;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;1998;117
351;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;1999;134
352;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;2000;144
353;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;2001;214
354;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;2002;255
355;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;2003;244
356;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;2004;209
357;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;2005;270
358;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;2006;343
359;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;2007;1261
360;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;2008;1273
361;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;2009;1378
362;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;2010;1596
363;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health related expenditure;2011;1670
