ID;InstitutionalSectors;DebtInstruments;CounterpartSectors;FaceValueAndMarketValue;Periods;TotalGovernmentDebt_1;GovernmentDebtInForeignCurrency_2
346;General government;Government debt (EMU);Total domestic sectors;Face value;2013;200011.0;
347;General government;Government debt (EMU);Total domestic sectors;Face value;2014 1st quarter;195119.0;
348;General government;Government debt (EMU);Total domestic sectors;Face value;2014 2nd quarter;198576.0;
349;General government;Government debt (EMU);Total domestic sectors;Face value;2014 3rd quarter;202190.0;
350;General government;Government debt (EMU);Total domestic sectors;Face value;2014 4th quarter;202139.0;
351;General government;Government debt (EMU);Total domestic sectors;Face value;2014;202139.0;
352;General government;Government debt (EMU);Total domestic sectors;Face value;2015 1st quarter;209012.0;
353;General government;Government debt (EMU);Total domestic sectors;Face value;2015 2nd quarter;212319.0;
354;General government;Government debt (EMU);Total domestic sectors;Face value;2015 3rd quarter;214864.0;
355;General government;Government debt (EMU);Total domestic sectors;Face value;2015 4th quarter;219182.0;
356;General government;Government debt (EMU);Total domestic sectors;Face value;2015;219182.0;
357;General government;Government debt (EMU);Total domestic sectors;Face value;2016 1st quarter;229139.0;
358;General government;Government debt (EMU);Total domestic sectors;Face value;2016 2nd quarter;232655.0;
359;General government;Government debt (EMU);Total domestic sectors;Face value;2016 3rd quarter;235754.0;
360;General government;Government debt (EMU);Total domestic sectors;Face value;2016 4th quarter;241746.0;
361;General government;Government debt (EMU);Total domestic sectors;Face value;2016;241746.0;
362;General government;Government debt (EMU);Total domestic sectors;Face value;2017 1st quarter;245949.0;
363;General government;Government debt (EMU);Total domestic sectors;Face value;2017 2nd quarter;248486.0;
364;General government;Government debt (EMU);Total domestic sectors;Face value;2017 3rd quarter;250000.0;
365;General government;Government debt (EMU);Total domestic sectors;Face value;2017 4th quarter;256973.0;
366;General government;Government debt (EMU);Total domestic sectors;Face value;2017;256973.0;
367;General government;Government debt (EMU);Total domestic sectors;Face value;2018 1st quarter;257235.0;
368;General government;Government debt (EMU);Total domestic sectors;Face value;2018 2nd quarter;254454.0;
369;General government;Government debt (EMU);Total domestic sectors;Face value;2018 3rd quarter;247538.0;
370;General government;Government debt (EMU);Total domestic sectors;Face value;2018 4th quarter;247343.0;
371;General government;Government debt (EMU);Total domestic sectors;Face value;2018;247343.0;
372;General government;Government debt (EMU);Total domestic sectors;Face value;2019 1st quarter;241462.0;
373;General government;Government debt (EMU);Total domestic sectors;Face value;2019 2nd quarter;243541.0;
374;General government;Government debt (EMU);Total domestic sectors;Face value;2019 3rd quarter;238126.0;
375;General government;Government debt (EMU);Total domestic sectors;Face value;2019 4th quarter;238085.0;
376;General government;Government debt (EMU);Total domestic sectors;Face value;2019;238085.0;
377;General government;Government debt (EMU);Total domestic sectors;Face value;2020 1st quarter;240564.0;
378;General government;Government debt (EMU);Total domestic sectors;Face value;2020 2nd quarter;256923.0;
379;General government;Government debt (EMU);Total domestic sectors;Face value;2020 3rd quarter;262618.0;
380;General government;Government debt (EMU);Total domestic sectors;Face value;2020 4th quarter;270347.0;
381;General government;Government debt (EMU);Total domestic sectors;Face value;2020;270347.0;
382;General government;Government debt (EMU);Total domestic sectors;Face value;2021 1st quarter;273523.0;
383;General government;Government debt (EMU);Total domestic sectors;Face value;2021 2nd quarter;280622.0;
384;General government;Government debt (EMU);Total domestic sectors;Face value;2021 3rd quarter;286345.0;
385;General government;Government debt (EMU);Total domestic sectors;Face value;2021 4th quarter;293268.0;
386;General government;Government debt (EMU);Total domestic sectors;Face value;2021;293268.0;
387;General government;Government debt (EMU);Total domestic sectors;Face value;2022 1st quarter;284342.0;
388;General government;Government debt (EMU);Total domestic sectors;Face value;2022 2nd quarter;286080.0;
389;General government;Government debt (EMU);Total domestic sectors;Face value;2022 3rd quarter;281883.0;
390;General government;Government debt (EMU);Total domestic sectors;Face value;2022 4th quarter;289283.0;
391;General government;Government debt (EMU);Total domestic sectors;Face value;2022;289283.0;
392;General government;Government debt (EMU);Total domestic sectors;Face value;2023 1st quarter;286697.0;
393;General government;Government debt (EMU);Total domestic sectors;Face value;2023 2nd quarter;284994.0;
394;General government;Government debt (EMU);Total domestic sectors;Face value;2023 3rd quarter;276189.0;
395;General government;Government debt (EMU);Total domestic sectors;Face value;2023 4th quarter;290682.0;
396;General government;Government debt (EMU);Total domestic sectors;Face value;2023;290682.0;
397;General government;Government debt (EMU);Total domestic sectors;Face value;2024 1st quarter;282765.0;
398;General government;Government debt (EMU);Total domestic sectors;Face value;2024 2nd quarter;282317.0;
399;General government;Government debt (EMU);Total domestic sectors;Face value;2024 3rd quarter;272909.0;
400;General government;Government debt (EMU);Total domestic sectors;Face value;2024 4th quarter;276494.0;
401;General government;Government debt (EMU);Total domestic sectors;Face value;2024;276494.0;
402;General government;Government debt (EMU);Total domestic sectors;Market value;1995;193669.0;
403;General government;Government debt (EMU);Total domestic sectors;Market value;1996;205936.0;
404;General government;Government debt (EMU);Total domestic sectors;Market value;1997;203156.0;
405;General government;Government debt (EMU);Total domestic sectors;Market value;1998;199328.0;
406;General government;Government debt (EMU);Total domestic sectors;Market value;1999 1st quarter;;
407;General government;Government debt (EMU);Total domestic sectors;Market value;1999 2nd quarter;;
408;General government;Government debt (EMU);Total domestic sectors;Market value;1999 3rd quarter;;
409;General government;Government debt (EMU);Total domestic sectors;Market value;1999 4th quarter;164278.0;
410;General government;Government debt (EMU);Total domestic sectors;Market value;1999;164278.0;
411;General government;Government debt (EMU);Total domestic sectors;Market value;2000 1st quarter;;
412;General government;Government debt (EMU);Total domestic sectors;Market value;2000 2nd quarter;;
413;General government;Government debt (EMU);Total domestic sectors;Market value;2000 3rd quarter;;
414;General government;Government debt (EMU);Total domestic sectors;Market value;2000 4th quarter;142872.0;
415;General government;Government debt (EMU);Total domestic sectors;Market value;2000;142872.0;
416;General government;Government debt (EMU);Total domestic sectors;Market value;2001 1st quarter;;
417;General government;Government debt (EMU);Total domestic sectors;Market value;2001 2nd quarter;;
418;General government;Government debt (EMU);Total domestic sectors;Market value;2001 3rd quarter;;
419;General government;Government debt (EMU);Total domestic sectors;Market value;2001 4th quarter;128164.0;
420;General government;Government debt (EMU);Total domestic sectors;Market value;2001;128164.0;
421;General government;Government debt (EMU);Total domestic sectors;Market value;2002 1st quarter;;
422;General government;Government debt (EMU);Total domestic sectors;Market value;2002 2nd quarter;;
423;General government;Government debt (EMU);Total domestic sectors;Market value;2002 3rd quarter;;
424;General government;Government debt (EMU);Total domestic sectors;Market value;2002 4th quarter;122722.0;
425;General government;Government debt (EMU);Total domestic sectors;Market value;2002;122722.0;
426;General government;Government debt (EMU);Total domestic sectors;Market value;2003 1st quarter;;
427;General government;Government debt (EMU);Total domestic sectors;Market value;2003 2nd quarter;;
428;General government;Government debt (EMU);Total domestic sectors;Market value;2003 3rd quarter;;
429;General government;Government debt (EMU);Total domestic sectors;Market value;2003 4th quarter;120997.0;
430;General government;Government debt (EMU);Total domestic sectors;Market value;2003;120997.0;
431;General government;Government debt (EMU);Total domestic sectors;Market value;2004 1st quarter;;
432;General government;Government debt (EMU);Total domestic sectors;Market value;2004 2nd quarter;;
433;General government;Government debt (EMU);Total domestic sectors;Market value;2004 3rd quarter;;
434;General government;Government debt (EMU);Total domestic sectors;Market value;2004 4th quarter;116518.0;
435;General government;Government debt (EMU);Total domestic sectors;Market value;2004;116518.0;
436;General government;Government debt (EMU);Total domestic sectors;Market value;2005 1st quarter;;
437;General government;Government debt (EMU);Total domestic sectors;Market value;2005 2nd quarter;;
438;General government;Government debt (EMU);Total domestic sectors;Market value;2005 3rd quarter;;
439;General government;Government debt (EMU);Total domestic sectors;Market value;2005 4th quarter;106789.0;
440;General government;Government debt (EMU);Total domestic sectors;Market value;2005;106789.0;
441;General government;Government debt (EMU);Total domestic sectors;Market value;2006 1st quarter;;
442;General government;Government debt (EMU);Total domestic sectors;Market value;2006 2nd quarter;;
443;General government;Government debt (EMU);Total domestic sectors;Market value;2006 3rd quarter;;
444;General government;Government debt (EMU);Total domestic sectors;Market value;2006 4th quarter;98425.0;
