ID;SexOfEmployee;TypeOfEmploymentContract;CaoSector;SizeOfCompany;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
189;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2021;1252;878;23.7;2292;2285;31920;27500;4420;30;25.6;25.5;1157;1651
190;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2022;1270;889;24.57;2374;2367;33100;28480;4620;30;25.6;25.5;1156;1651
191;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2023;1285;903;26.07;2515;2509;34940;30180;4760;40;25.7;25.6;1155;1644
192;Total;Total;Cao-sector: government;Total employed persons;2009;1038;866;23.51;2743;2729;38530;32910;5620;20;30.7;30.6;1393;1670
193;Total;Total;Cao-sector: government;Total employed persons;2010 before change of method;1046;870;23.92;2769;2756;39160;33220;5940;20;30.6;30.4;1383;1661
194;Total;Total;Cao-sector: government;Total employed persons;2010 after change of method;1062;881;23.84;2751;2738;38940;33010;5930;20;30.5;30.3;1378;1663
195;Total;Total;Cao-sector: government;Total employed persons;2011;1054;865;24.02;2759;2749;39020;33110;5910;20;30.1;30.0;1373;1674
196;Total;Total;Cao-sector: government;Total employed persons;2012;1038;851;24.69;2807;2797;39710;33690;6020;20;30.1;30.0;1359;1658
197;Total;Total;Cao-sector: government;Total employed persons;2013;1025;843;25.04;2843;2833;40320;34120;6200;10;30.2;30.1;1358;1652
198;Total;Total;Cao-sector: government;Total employed persons;2014;1018;838;25.05;2858;2849;40340;34300;6040;10;30.2;30.1;1365;1658
199;Total;Total;Cao-sector: government;Total employed persons;2015;1017;837;25.89;2932;2924;41390;35180;6210;10;30.2;30.1;1355;1648
200;Total;Total;Cao-sector: government;Total employed persons;2016;1018;839;26.42;3017;3010;42700;36200;6500;10;30.3;30.2;1367;1659
201;Total;Total;Cao-sector: government;Total employed persons;2017;1028;844;26.32;3062;3055;43460;36750;6710;10;30.5;30.4;1393;1696
202;Total;Total;Cao-sector: government;Total employed persons;2018;1039;853;26.96;3120;3112;44100;37430;6670;10;30.4;30.4;1385;1688
203;Total;Total;Cao-sector: government;Total employed persons;2019;1065;872;27.45;3189;3182;45090;38270;6820;10;30.4;30.4;1391;1699
204;Total;Total;Cao-sector: government;Total employed persons;2020;1069;875;28.61;3312;3305;47170;39740;7430;10;30.4;30.4;1386;1693
205;Total;Total;Cao-sector: government;Total employed persons;2021;1102;904;28.98;3390;3383;47770;40680;7100;10;30.5;30.4;1401;1707
206;Total;Total;Cao-sector: government;Total employed persons;2022;1132;929;30.02;3510;3503;50330;42110;8220;10;30.5;30.4;1400;1706
207;Total;Total;Cao-sector: government;Total employed persons;2023;1165;957;32.42;3760;3753;53380;45120;8260;10;30.6;30.6;1389;1691
208;Total;Total;Cao-sector: government;0 to 9 employed persons;2009;3;2;22.94;2213;2203;30220;26560;3660;170;25.2;25.1;1153;1675
209;Total;Total;Cao-sector: government;0 to 9 employed persons;2010 before change of method;3;2;22.55;1957;1949;26830;23480;3350;110;22.8;22.7;1037;1665
210;Total;Total;Cao-sector: government;0 to 9 employed persons;2010 after change of method;3;2;22.47;1939;1931;26650;23270;3390;120;22.6;22.6;1031;1665
211;Total;Total;Cao-sector: government;0 to 9 employed persons;2011;3;2;23.72;2008;2005;27620;24100;3510;170;22.0;22.0;1014;1678
212;Total;Total;Cao-sector: government;0 to 9 employed persons;2012;3;2;24.41;1980;1975;26960;23760;3200;160;21.7;21.6;971;1634
213;Total;Total;Cao-sector: government;0 to 9 employed persons;2013;3;2;24.85;1972;1967;27060;23670;3400;160;21.2;21.2;950;1646
214;Total;Total;Cao-sector: government;0 to 9 employed persons;2014;3;2;24.55;1979;1977;27040;23750;3290;110;21.4;21.4;967;1652
215;Total;Total;Cao-sector: government;0 to 9 employed persons;2015;3;2;24.93;2044;2042;27950;24530;3410;80;21.9;21.9;983;1669
216;Total;Total;Cao-sector: government;0 to 9 employed persons;2016;3;2;25.31;2141;2139;29540;25690;3840;80;22.4;22.4;1014;1684
217;Total;Total;Cao-sector: government;0 to 9 employed persons;2017;2;2;26.66;2264;2262;31150;27170;3980;70;22.5;22.5;1018;1654
218;Total;Total;Cao-sector: government;0 to 9 employed persons;2018;3;2;27.59;2382;2379;33320;28580;4740;50;23.0;22.9;1035;1650
219;Total;Total;Cao-sector: government;0 to 9 employed persons;2019;2;2;28.69;2494;2489;34120;29930;4190;80;23.0;22.9;1041;1667
220;Total;Total;Cao-sector: government;0 to 9 employed persons;2020;2;2;29.44;2596;2593;36240;31150;5080;80;23.4;23.4;1057;1675
221;Total;Total;Cao-sector: government;0 to 9 employed persons;2021;2;1;30.52;2719;2716;37360;32630;4730;50;23.5;23.5;1068;1675
222;Total;Total;Cao-sector: government;0 to 9 employed persons;2022;2;2;32.16;2940;2937;40760;35290;5470;70;24.1;24.0;1096;1661
223;Total;Total;Cao-sector: government;0 to 9 employed persons;2023;2;1;34.77;3149;3146;43840;37790;6050;80;24.0;23.9;1086;1673
224;Total;Total;Cao-sector: government;10 to 99 employed persons;2009;51;38;21.73;2268;2260;31780;27210;4570;40;27.4;27.4;1248;1674
225;Total;Total;Cao-sector: government;10 to 99 employed persons;2010 before change of method;61;45;22.05;2287;2280;32210;27450;4760;20;27.2;27.1;1241;1675
226;Total;Total;Cao-sector: government;10 to 99 employed persons;2010 after change of method;62;45;21.91;2240;2233;31650;26880;4770;20;26.8;26.8;1223;1677
227;Total;Total;Cao-sector: government;10 to 99 employed persons;2011;60;43;22.46;2248;2242;31580;26980;4600;20;26.2;26.1;1198;1675
228;Total;Total;Cao-sector: government;10 to 99 employed persons;2012;56;40;23.16;2287;2281;32080;27440;4640;20;26.0;26.0;1182;1662
229;Total;Total;Cao-sector: government;10 to 99 employed persons;2013;58;41;23.08;2281;2276;32010;27380;4630;20;26.1;26.1;1183;1655
230;Total;Total;Cao-sector: government;10 to 99 employed persons;2014;60;43;23.34;2321;2316;32440;27860;4580;20;26.2;26.1;1191;1663
231;Total;Total;Cao-sector: government;10 to 99 employed persons;2015;56;40;24.24;2411;2406;33690;28930;4760;20;26.3;26.3;1191;1655
232;Total;Total;Cao-sector: government;10 to 99 employed persons;2016;54;38;24.42;2400;2395;33820;28800;5020;10;25.9;25.8;1177;1665
233;Total;Total;Cao-sector: government;10 to 99 employed persons;2017;51;37;25.03;2491;2487;35180;29890;5290;10;26.3;26.3;1192;1651
234;Total;Total;Cao-sector: government;10 to 99 employed persons;2018;48;35;25.69;2554;2550;36320;30640;5670;10;26.4;26.4;1191;1641
235;Total;Total;Cao-sector: government;10 to 99 employed persons;2019;44;32;26.29;2623;2619;36430;31470;4960;10;26.4;26.3;1195;1648
236;Total;Total;Cao-sector: government;10 to 99 employed persons;2020;41;29;27.59;2724;2721;38880;32690;6190;10;26.3;26.2;1183;1641
237;Total;Total;Cao-sector: government;10 to 99 employed persons;2021;40;29;28.01;2785;2782;38790;33420;5370;10;26.2;26.2;1192;1653
238;Total;Total;Cao-sector: government;10 to 99 employed persons;2022;39;28;29.58;2948;2945;42050;35380;6670;10;26.3;26.3;1195;1648
239;Total;Total;Cao-sector: government;10 to 99 employed persons;2023;37;26;31.89;3161;3158;44710;37940;6770;10;26.3;26.2;1188;1671
240;Total;Total;Cao-sector: government;100 or more employed persons;2009;985;826;23.59;2768;2754;38900;33220;5680;20;30.9;30.7;1401;1670
241;Total;Total;Cao-sector: government;100 or more employed persons;2010 before change of method;982;823;24.02;2801;2788;39640;33610;6020;20;30.8;30.7;1393;1661
242;Total;Total;Cao-sector: government;100 or more employed persons;2010 after change of method;997;833;23.95;2786;2772;39440;33430;6010;20;30.7;30.6;1389;1662
243;Total;Total;Cao-sector: government;100 or more employed persons;2011;992;821;24.11;2792;2782;39500;33500;5990;20;30.3;30.2;1385;1674
244;Total;Total;Cao-sector: government;100 or more employed persons;2012;979;809;24.77;2840;2829;40190;34080;6110;20;30.3;30.2;1371;1658
245;Total;Total;Cao-sector: government;100 or more employed persons;2013;965;800;25.14;2879;2869;40850;34550;6300;10;30.4;30.3;1369;1652
246;Total;Total;Cao-sector: government;100 or more employed persons;2014;955;793;25.14;2895;2885;40880;34740;6140;10;30.5;30.4;1377;1658
247;Total;Total;Cao-sector: government;100 or more employed persons;2015;959;795;25.97;2965;2956;41870;35580;6300;10;30.4;30.3;1366;1648
248;Total;Total;Cao-sector: government;100 or more employed persons;2016;962;800;26.51;3054;3046;43230;36640;6590;10;30.6;30.5;1379;1658
249;Total;Total;Cao-sector: government;100 or more employed persons;2017;974;806;26.38;3094;3087;43920;37130;6790;10;30.7;30.7;1404;1698
250;Total;Total;Cao-sector: government;100 or more employed persons;2018;989;816;27.01;3149;3142;44510;37790;6720;10;30.7;30.6;1396;1690
251;Total;Total;Cao-sector: government;100 or more employed persons;2019;1018;838;27.49;3216;3208;45500;38590;6910;10;30.6;30.5;1401;1700
252;Total;Total;Cao-sector: government;100 or more employed persons;2020;1026;844;28.65;3337;3330;47520;40040;7480;10;30.6;30.6;1395;1695
253;Total;Total;Cao-sector: government;100 or more employed persons;2021;1059;874;29.01;3414;3407;48140;40970;7170;10;30.7;30.6;1409;1709
254;Total;Total;Cao-sector: government;100 or more employed persons;2022;1090;899;30.03;3531;3524;50650;42370;8280;10;30.7;30.6;1408;1708
255;Total;Total;Cao-sector: government;100 or more employed persons;2023;1126;929;32.43;3781;3774;53680;45370;8310;10;30.8;30.7;1396;1691
256;Total;Type of employment contract: part-time;Total;Total employed persons;2009;3927;2031;17.32;1272;1254;17400;15260;2140;100;19.3;19.1;869;1680
257;Total;Type of employment contract: part-time;Total;Total employed persons;2010 before change of method;3911;2007;17.82;1283;1268;17570;15390;2170;100;19.0;18.8;854;1664
258;Total;Type of employment contract: part-time;Total;Total employed persons;2010 after change of method;3969;2033;17.83;1282;1267;17560;15380;2180;110;19.0;18.8;853;1665
259;Total;Type of employment contract: part-time;Total;Total employed persons;2011;4134;2133;17.98;1318;1298;18130;15820;2310;100;19.2;19.0;866;1679
260;Total;Type of employment contract: part-time;Total;Total employed persons;2012;4169;2164;18.45;1350;1330;18490;16200;2290;110;19.3;19.1;865;1668
261;Total;Type of employment contract: part-time;Total;Total employed persons;2013;4126;2153;18.77;1374;1361;18810;16490;2320;100;19.5;19.3;870;1667
262;Total;Type of employment contract: part-time;Total;Total employed persons;2014;4134;2168;18.77;1392;1374;18950;16700;2250;100;19.6;19.4;879;1676
263;Total;Type of employment contract: part-time;Total;Total employed persons;2015;4211;2223;19.06;1423;1406;19350;17080;2280;90;19.8;19.6;885;1677
264;Total;Type of employment contract: part-time;Total;Total employed persons;2016;4254;2264;19.08;1442;1427;19710;17300;2410;90;20.0;19.8;898;1687
265;Total;Type of employment contract: part-time;Total;Total employed persons;2017;4445;2394;19.3;1484;1472;20330;17810;2520;100;20.3;20.1;915;1699
266;Total;Type of employment contract: part-time;Total;Total employed persons;2018;4571;2483;19.73;1522;1510;20780;18260;2520;110;20.4;20.3;918;1690
267;Total;Type of employment contract: part-time;Total;Total employed persons;2019;4690;2571;20.17;1579;1567;21550;18950;2600;120;20.6;20.5;932;1701
268;Total;Type of employment contract: part-time;Total;Total employed persons;2020;4633;2599;21.12;1691;1681;23150;20300;2850;130;21.2;21.1;955;1703
269;Total;Type of employment contract: part-time;Total;Total employed persons;2021;4703;2649;21.46;1732;1721;23670;20780;2890;140;21.2;21.1;962;1708
270;Total;Type of employment contract: part-time;Total;Total employed persons;2022;4898;2753;22.21;1791;1780;24580;21490;3090;140;21.2;21.1;962;1711
271;Total;Type of employment contract: part-time;Total;Total employed persons;2023;4970;2816;23.89;1933;1923;26430;23200;3230;160;21.4;21.3;966;1704
272;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2009;637;262;14.43;846;836;11070;10150;920;170;15.3;15.2;695;1689
273;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2010 before change of method;634;258;15.44;885;876;11590;10620;970;190;15.1;14.9;681;1674
274;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2010 after change of method;664;273;15.71;912;904;11940;10950;990;250;15.3;15.1;690;1680
275;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2011;651;262;15.42;891;880;11740;10690;1050;210;15.0;14.9;685;1702
276;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2012;655;267;15.92;926;915;12080;11110;970;220;15.3;15.1;690;1690
277;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2013;654;271;16.31;964;958;12610;11570;1040;210;15.6;15.5;705;1699
278;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2014;681;286;16.38;994;985;12950;11930;1020;200;15.9;15.8;722;1720
279;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2015;694;296;16.7;1033;1025;13440;12390;1050;200;16.3;16.2;737;1726
280;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2016;715;309;16.76;1058;1051;13800;12700;1100;200;16.6;16.5;753;1743
281;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2017;728;317;17.02;1082;1077;14130;12980;1150;210;16.7;16.6;759;1745
282;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2018;734;323;17.59;1129;1123;14700;13550;1160;240;16.9;16.8;766;1741
283;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2019;745;331;18.1;1182;1176;15370;14180;1190;260;17.1;17.1;780;1756
284;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2020;723;332;19.08;1293;1287;16810;15510;1300;310;17.8;17.8;810;1766
285;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2021;749;345;19.34;1320;1314;17220;15840;1370;310;17.8;17.7;815;1772
286;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2022;768;350;19.94;1350;1344;17590;16200;1390;300;17.7;17.6;809;1773
287;Total;Type of employment contract: part-time;Total;0 to 9 employed persons;2023;770;353;21.48;1454;1449;18920;17440;1470;340;17.7;17.7;810;1766
288;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2009;914;453;15.93;1158;1130;15530;13900;1640;140;18.9;18.6;851;1720
289;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2010 before change of method;846;415;16.25;1152;1130;15510;13830;1680;140;18.6;18.3;834;1699
290;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2010 after change of method;855;420;16.27;1154;1131;15550;13840;1700;150;18.6;18.3;835;1700
291;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2011;905;449;16.42;1198;1166;16170;14370;1800;140;18.9;18.5;852;1718
292;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2012;897;448;16.89;1230;1199;16540;14760;1770;140;19.1;18.7;852;1704
293;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2013;867;434;17.17;1240;1220;16620;14880;1740;140;19.1;18.8;853;1705
294;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2014;873;443;17.26;1277;1252;17070;15320;1750;140;19.4;19.1;870;1715
295;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2015;895;457;17.46;1302;1277;17410;15630;1780;130;19.6;19.3;878;1718
296;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2016;911;466;17.43;1302;1282;17450;15630;1820;130;19.6;19.3;882;1726
297;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2017;943;488;17.71;1340;1324;17940;16080;1860;140;19.9;19.7;898;1733
298;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2018;967;505;18.05;1368;1353;18320;16420;1900;140;20.0;19.8;900;1724
299;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2019;998;526;18.52;1426;1413;19100;17120;1980;160;20.2;20.1;915;1737
300;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2020;980;530;19.33;1527;1514;20510;18320;2180;180;20.8;20.7;940;1737
301;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2021;991;541;19.66;1573;1559;21120;18870;2250;190;20.9;20.8;952;1745
302;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2022;1076;580;20.23;1600;1587;21510;19200;2310;190;20.7;20.5;941;1748
303;Total;Type of employment contract: part-time;Total;10 to 99 employed persons;2023;1091;593;21.76;1725;1714;23170;20700;2460;210;20.8;20.7;945;1741
304;Total;Type of employment contract: part-time;Total;100 or more employed persons;2009;2376;1317;18.4;1430;1414;19820;17160;2660;70;20.5;20.3;922;1664
305;Total;Type of employment contract: part-time;Total;100 or more employed persons;2010 before change of method;2431;1334;18.79;1432;1418;19840;17190;2660;60;20.2;20.0;906;1650
306;Total;Type of employment contract: part-time;Total;100 or more employed persons;2010 after change of method;2449;1340;18.77;1427;1413;19790;17130;2670;60;20.2;20.0;904;1651
307;Total;Type of employment contract: part-time;Total;100 or more employed persons;2011;2577;1422;18.97;1469;1450;20440;17630;2810;60;20.4;20.1;917;1662
308;Total;Type of employment contract: part-time;Total;100 or more employed persons;2012;2618;1448;19.42;1498;1479;20760;17970;2790;60;20.5;20.2;914;1652
309;Total;Type of employment contract: part-time;Total;100 or more employed persons;2013;2605;1448;19.74;1522;1509;21090;18270;2830;60;20.6;20.4;917;1650
310;Total;Type of employment contract: part-time;Total;100 or more employed persons;2014;2580;1440;19.74;1535;1519;21170;18420;2750;60;20.6;20.4;923;1655
311;Total;Type of employment contract: part-time;Total;100 or more employed persons;2015;2622;1469;20.07;1567;1551;21580;18810;2770;50;20.8;20.6;927;1654
312;Total;Type of employment contract: part-time;Total;100 or more employed persons;2016;2628;1489;20.12;1594;1580;22100;19130;2970;50;21.0;20.8;942;1663
313;Total;Type of employment contract: part-time;Total;100 or more employed persons;2017;2774;1589;20.28;1639;1626;22760;19660;3100;60;21.4;21.2;962;1680
314;Total;Type of employment contract: part-time;Total;100 or more employed persons;2018;2870;1656;20.69;1674;1661;23170;20080;3090;60;21.5;21.3;963;1670
315;Total;Type of employment contract: part-time;Total;100 or more employed persons;2019;2947;1714;21.12;1731;1719;23950;20770;3170;60;21.7;21.5;977;1679
316;Total;Type of employment contract: part-time;Total;100 or more employed persons;2020;2930;1737;22.09;1845;1834;25600;22130;3460;70;22.1;22.0;996;1680
