ID;SectorBranches;TypeOfBankruptcy;Periods;PronouncedBankruptcies_1;BusinessAgeInEventOfBankruptcy_2;EmployeesInEventOfBankruptcy_3
328;B Mining and quarrying;Natural persons with sole proprietorship;2016 4th quarter;0;;
329;B Mining and quarrying;Natural persons with sole proprietorship;2016;0;;
330;B Mining and quarrying;Natural persons with sole proprietorship;2017 1st quarter;0;;
331;B Mining and quarrying;Natural persons with sole proprietorship;2017 2nd quarter;0;;
332;B Mining and quarrying;Natural persons with sole proprietorship;2017 3rd quarter;0;;
333;B Mining and quarrying;Natural persons with sole proprietorship;2017 4th quarter;0;;
334;B Mining and quarrying;Natural persons with sole proprietorship;2017;0;;
335;B Mining and quarrying;Natural persons with sole proprietorship;2018 1st quarter;0;;
336;B Mining and quarrying;Natural persons with sole proprietorship;2018 2nd quarter;0;;
337;B Mining and quarrying;Natural persons with sole proprietorship;2018 3rd quarter;0;;
338;B Mining and quarrying;Natural persons with sole proprietorship;2018 4th quarter;0;;
339;B Mining and quarrying;Natural persons with sole proprietorship;2018;0;;
340;B Mining and quarrying;Natural persons with sole proprietorship;2019 1st quarter;0;;
341;B Mining and quarrying;Natural persons with sole proprietorship;2019 2nd quarter;0;;
342;B Mining and quarrying;Natural persons with sole proprietorship;2019 3rd quarter;0;;
343;B Mining and quarrying;Natural persons with sole proprietorship;2019 4th quarter;0;;
344;B Mining and quarrying;Natural persons with sole proprietorship;2019;0;;
345;B Mining and quarrying;Natural persons with sole proprietorship;2020 1st quarter;0;;
346;B Mining and quarrying;Natural persons with sole proprietorship;2020 2nd quarter;0;;
347;B Mining and quarrying;Natural persons with sole proprietorship;2020 3rd quarter;0;;
348;B Mining and quarrying;Natural persons with sole proprietorship;2020 4th quarter;0;;
349;B Mining and quarrying;Natural persons with sole proprietorship;2020;0;;
350;B Mining and quarrying;Natural persons with sole proprietorship;2021 1st quarter;0;;
351;B Mining and quarrying;Natural persons with sole proprietorship;2021 2nd quarter;0;;
352;B Mining and quarrying;Natural persons with sole proprietorship;2021 3rd quarter;0;;
353;B Mining and quarrying;Natural persons with sole proprietorship;2021 4th quarter;0;;
354;B Mining and quarrying;Natural persons with sole proprietorship;2021;0;;
355;B Mining and quarrying;Natural persons with sole proprietorship;2022 1st quarter;0;;
356;B Mining and quarrying;Natural persons with sole proprietorship;2022 2nd quarter;0;;
357;B Mining and quarrying;Natural persons with sole proprietorship;2022 3rd quarter;0;;
358;B Mining and quarrying;Natural persons with sole proprietorship;2022 4th quarter;0;;
359;B Mining and quarrying;Natural persons with sole proprietorship;2022;0;;
360;C Manufacturing;Total entities with/without legal pers.;2015 1st quarter;116;12.2;1273.0
361;C Manufacturing;Total entities with/without legal pers.;2015 2nd quarter;106;14.8;776.0
362;C Manufacturing;Total entities with/without legal pers.;2015 3rd quarter;83;16.7;1030.0
363;C Manufacturing;Total entities with/without legal pers.;2015 4th quarter;87;13.4;736.0
364;C Manufacturing;Total entities with/without legal pers.;2015;392;14.1;3815.0
365;C Manufacturing;Total entities with/without legal pers.;2016 1st quarter;93;13.6;632.0
366;C Manufacturing;Total entities with/without legal pers.;2016 2nd quarter;92;12.1;785.0
367;C Manufacturing;Total entities with/without legal pers.;2016 3rd quarter;79;13.8;1054.0
368;C Manufacturing;Total entities with/without legal pers.;2016 4th quarter;101;11.0;729.0
369;C Manufacturing;Total entities with/without legal pers.;2016;365;12.5;3199.0
370;C Manufacturing;Total entities with/without legal pers.;2017 1st quarter;64;12.2;750.0
371;C Manufacturing;Total entities with/without legal pers.;2017 2nd quarter;87;10.5;759.0
372;C Manufacturing;Total entities with/without legal pers.;2017 3rd quarter;63;12.3;499.0
373;C Manufacturing;Total entities with/without legal pers.;2017 4th quarter;61;12.3;464.0
374;C Manufacturing;Total entities with/without legal pers.;2017;275;11.7;2472.0
375;C Manufacturing;Total entities with/without legal pers.;2018 1st quarter;74;13.4;551.0
376;C Manufacturing;Total entities with/without legal pers.;2018 2nd quarter;64;13.5;590.0
377;C Manufacturing;Total entities with/without legal pers.;2018 3rd quarter;51;11.4;513.0
378;C Manufacturing;Total entities with/without legal pers.;2018 4th quarter;81;15.6;963.0
379;C Manufacturing;Total entities with/without legal pers.;2018;270;13.7;2617.0
380;C Manufacturing;Total entities with/without legal pers.;2019 1st quarter;65;12.0;769.0
381;C Manufacturing;Total entities with/without legal pers.;2019 2nd quarter;67;15.7;1037.0
382;C Manufacturing;Total entities with/without legal pers.;2019 3rd quarter;77;11.4;764.0
383;C Manufacturing;Total entities with/without legal pers.;2019 4th quarter;55;12.3;345.0
384;C Manufacturing;Total entities with/without legal pers.;2019;264;12.8;2914.0
385;C Manufacturing;Total entities with/without legal pers.;2020 1st quarter;66;13.0;527.0
386;C Manufacturing;Total entities with/without legal pers.;2020 2nd quarter;62;12.8;544.0
387;C Manufacturing;Total entities with/without legal pers.;2020 3rd quarter;58;13.6;565.0
388;C Manufacturing;Total entities with/without legal pers.;2020 4th quarter;40;13.0;364.0
389;C Manufacturing;Total entities with/without legal pers.;2020;226;13.1;2000.0
390;C Manufacturing;Total entities with/without legal pers.;2021 1st quarter;19;15.8;127.0
391;C Manufacturing;Total entities with/without legal pers.;2021 2nd quarter;24;11.3;255.0
392;C Manufacturing;Total entities with/without legal pers.;2021 3rd quarter;22;9.0;110.0
393;C Manufacturing;Total entities with/without legal pers.;2021 4th quarter;37;13.1;457.0
394;C Manufacturing;Total entities with/without legal pers.;2021;102;12.3;949.0
395;C Manufacturing;Total entities with/without legal pers.;2022 1st quarter;27;9.2;118.0
396;C Manufacturing;Total entities with/without legal pers.;2022 2nd quarter;39;12.0;449.0
397;C Manufacturing;Total entities with/without legal pers.;2022 3rd quarter;34;13.1;266.0
398;C Manufacturing;Total entities with/without legal pers.;2022 4th quarter;61;13.6;894.0
399;C Manufacturing;Total entities with/without legal pers.;2022;161;12.4;1726.0
400;C Manufacturing;Companies and institutions;2015 1st quarter;102;12.8;1246.0
401;C Manufacturing;Companies and institutions;2015 2nd quarter;97;14.2;759.0
402;C Manufacturing;Companies and institutions;2015 3rd quarter;72;15.4;999.0
403;C Manufacturing;Companies and institutions;2015 4th quarter;79;13.9;704.0
404;C Manufacturing;Companies and institutions;2015;350;14.0;3708.0
405;C Manufacturing;Companies and institutions;2016 1st quarter;85;13.6;610.0
406;C Manufacturing;Companies and institutions;2016 2nd quarter;82;12.8;774.0
407;C Manufacturing;Companies and institutions;2016 3rd quarter;71;13.4;1036.0
408;C Manufacturing;Companies and institutions;2016 4th quarter;96;11.4;699.0
409;C Manufacturing;Companies and institutions;2016;334;12.7;3119.0
410;C Manufacturing;Companies and institutions;2017 1st quarter;59;12.1;734.0
411;C Manufacturing;Companies and institutions;2017 2nd quarter;77;10.8;724.0
412;C Manufacturing;Companies and institutions;2017 3rd quarter;55;10.6;476.0
413;C Manufacturing;Companies and institutions;2017 4th quarter;54;12.8;444.0
414;C Manufacturing;Companies and institutions;2017;245;11.5;2379.0
415;C Manufacturing;Companies and institutions;2018 1st quarter;73;13.5;550.0
416;C Manufacturing;Companies and institutions;2018 2nd quarter;59;12.7;570.0
417;C Manufacturing;Companies and institutions;2018 3rd quarter;47;11.9;505.0
418;C Manufacturing;Companies and institutions;2018 4th quarter;78;15.9;941.0
419;C Manufacturing;Companies and institutions;2018;257;13.8;2566.0
420;C Manufacturing;Companies and institutions;2019 1st quarter;60;12.6;751.0
421;C Manufacturing;Companies and institutions;2019 2nd quarter;63;16.3;1029.0
422;C Manufacturing;Companies and institutions;2019 3rd quarter;71;11.9;739.0
423;C Manufacturing;Companies and institutions;2019 4th quarter;50;12.6;341.0
424;C Manufacturing;Companies and institutions;2019;244;13.3;2860.0
425;C Manufacturing;Companies and institutions;2020 1st quarter;59;13.8;509.0
426;C Manufacturing;Companies and institutions;2020 2nd quarter;56;12.3;534.0
427;C Manufacturing;Companies and institutions;2020 3rd quarter;52;13.8;559.0
428;C Manufacturing;Companies and institutions;2020 4th quarter;33;13.5;337.0
429;C Manufacturing;Companies and institutions;2020;200;13.3;1939.0
430;C Manufacturing;Companies and institutions;2021 1st quarter;17;16.7;123.0
431;C Manufacturing;Companies and institutions;2021 2nd quarter;21;12.4;246.0
432;C Manufacturing;Companies and institutions;2021 3rd quarter;22;9.0;110.0
433;C Manufacturing;Companies and institutions;2021 4th quarter;34;13.9;454.0
434;C Manufacturing;Companies and institutions;2021;94;12.9;934.0
435;C Manufacturing;Companies and institutions;2022 1st quarter;24;9.3;113.0
436;C Manufacturing;Companies and institutions;2022 2nd quarter;37;12.4;447.0
437;C Manufacturing;Companies and institutions;2022 3rd quarter;31;14.0;260.0
438;C Manufacturing;Companies and institutions;2022 4th quarter;59;13.9;890.0
439;C Manufacturing;Companies and institutions;2022;151;12.8;1710.0
440;C Manufacturing;Natural persons with sole proprietorship;2015 1st quarter;14;7.2;28.0
441;C Manufacturing;Natural persons with sole proprietorship;2015 2nd quarter;9;22.1;17.0
442;C Manufacturing;Natural persons with sole proprietorship;2015 3rd quarter;11;26.2;31.0
443;C Manufacturing;Natural persons with sole proprietorship;2015 4th quarter;8;8.8;32.0
444;C Manufacturing;Natural persons with sole proprietorship;2015;42;15.5;108.0
445;C Manufacturing;Natural persons with sole proprietorship;2016 1st quarter;8;13.2;22.0
446;C Manufacturing;Natural persons with sole proprietorship;2016 2nd quarter;10;6.8;11.0
447;C Manufacturing;Natural persons with sole proprietorship;2016 3rd quarter;8;17.5;18.0
448;C Manufacturing;Natural persons with sole proprietorship;2016 4th quarter;5;2.6;30.0
449;C Manufacturing;Natural persons with sole proprietorship;2016;31;10.5;80.0
450;C Manufacturing;Natural persons with sole proprietorship;2017 1st quarter;5;13.7;15.0
451;C Manufacturing;Natural persons with sole proprietorship;2017 2nd quarter;10;8.1;35.0
452;C Manufacturing;Natural persons with sole proprietorship;2017 3rd quarter;8;24.3;22.0
453;C Manufacturing;Natural persons with sole proprietorship;2017 4th quarter;7;8.5;20.0
454;C Manufacturing;Natural persons with sole proprietorship;2017;30;13.5;93.0
455;C Manufacturing;Natural persons with sole proprietorship;2018 1st quarter;1;4.5;1.0
456;C Manufacturing;Natural persons with sole proprietorship;2018 2nd quarter;5;27.9;20.0
457;C Manufacturing;Natural persons with sole proprietorship;2018 3rd quarter;4;5.8;8.0
458;C Manufacturing;Natural persons with sole proprietorship;2018 4th quarter;3;5.8;22.0
459;C Manufacturing;Natural persons with sole proprietorship;2018;13;11.7;51.0
460;C Manufacturing;Natural persons with sole proprietorship;2019 1st quarter;5;4.5;18.0
461;C Manufacturing;Natural persons with sole proprietorship;2019 2nd quarter;4;6.4;7.0
462;C Manufacturing;Natural persons with sole proprietorship;2019 3rd quarter;6;6.0;25.0
463;C Manufacturing;Natural persons with sole proprietorship;2019 4th quarter;5;7.6;4.0
464;C Manufacturing;Natural persons with sole proprietorship;2019;20;6.0;54.0
465;C Manufacturing;Natural persons with sole proprietorship;2020 1st quarter;7;6.0;18.0
466;C Manufacturing;Natural persons with sole proprietorship;2020 2nd quarter;6;17.9;11.0
467;C Manufacturing;Natural persons with sole proprietorship;2020 3rd quarter;6;12.6;6.0
468;C Manufacturing;Natural persons with sole proprietorship;2020 4th quarter;7;11.1;26.0
469;C Manufacturing;Natural persons with sole proprietorship;2020;26;11.6;62.0
470;C Manufacturing;Natural persons with sole proprietorship;2021 1st quarter;2;7.9;4.0
471;C Manufacturing;Natural persons with sole proprietorship;2021 2nd quarter;3;3.7;9.0
472;C Manufacturing;Natural persons with sole proprietorship;2021 3rd quarter;0;;
473;C Manufacturing;Natural persons with sole proprietorship;2021 4th quarter;3;3.7;2.0
474;C Manufacturing;Natural persons with sole proprietorship;2021;8;4.8;15.0
475;C Manufacturing;Natural persons with sole proprietorship;2022 1st quarter;3;9.2;5.0
476;C Manufacturing;Natural persons with sole proprietorship;2022 2nd quarter;2;4.2;2.0
477;C Manufacturing;Natural persons with sole proprietorship;2022 3rd quarter;3;4.1;5.0
478;C Manufacturing;Natural persons with sole proprietorship;2022 4th quarter;2;4.0;4.0
479;C Manufacturing;Natural persons with sole proprietorship;2022;10;5.6;16.0
480;D Energy supply;Total entities with/without legal pers.;2015 1st quarter;2;1.6;0.0
481;D Energy supply;Total entities with/without legal pers.;2015 2nd quarter;1;7.0;1.0
482;D Energy supply;Total entities with/without legal pers.;2015 3rd quarter;3;11.8;4.0
483;D Energy supply;Total entities with/without legal pers.;2015 4th quarter;2;8.9;1.0
484;D Energy supply;Total entities with/without legal pers.;2015;8;7.9;6.0
485;D Energy supply;Total entities with/without legal pers.;2016 1st quarter;1;2.5;0.0
486;D Energy supply;Total entities with/without legal pers.;2016 2nd quarter;2;11.1;2.0
487;D Energy supply;Total entities with/without legal pers.;2016 3rd quarter;3;2.3;12.0
488;D Energy supply;Total entities with/without legal pers.;2016 4th quarter;1;4.1;0.0
489;D Energy supply;Total entities with/without legal pers.;2016;7;5.1;14.0
490;D Energy supply;Total entities with/without legal pers.;2017 1st quarter;3;2.8;11.0
491;D Energy supply;Total entities with/without legal pers.;2017 2nd quarter;0;;
