ID;Sex;Age;EthnicBackground;LevelOfEducation;FieldOfEducation;Periods;TotalPopulationAged15To65Years_1;LabourForce_2;EmployedLabourForceAged15To65Year_3;UnemployedLabourForce_4;PersonsNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;PercentageUnemployed_8
198;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;5;2007;;;;;;;;
199;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;5;2008;;;;;;;;
200;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;5;2009;;;;;;;;
201;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;5;2010;;;;;;;;
202;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;5;2011;;;;;;;;
203;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;5;2012;;;;;;;;
204;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;6;2001;;;;;;;;
205;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;6;2002;;;;;;;;
206;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;6;2003;;;;;;;;
207;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;6;2004;;;;;;;;
208;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;6;2005;;;;;;;;
209;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;6;2006;;;;;;;;
210;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;6;2007;;;;;;;;
211;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;6;2008;;;;;;;;
212;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;6;2009;;;;;;;;
213;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;6;2010;;;;;;;;
214;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;6;2011;;;;;;;;
215;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;6;2012;;;;;;;;
216;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;7;2001;;;;;;;;
217;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;7;2002;;;;;;;;
218;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;7;2003;;;;;;;;
219;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;7;2004;;;;;;;;
220;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;7;2005;;;;;;;;
221;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;7;2006;;;;;;;;
222;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;7;2007;;;;;;;;
223;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;7;2008;;;;;;;;
224;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;7;2009;;;;;;;;
225;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;7;2010;;;;;;;;
226;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;7;2011;;;;;;;;
227;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;7;2012;;;;;;;;
228;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;8;2001;;;;;;;;
229;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;8;2002;;;;;;;;
230;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;8;2003;;;;;;;;
231;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;8;2004;;;;;;;;
232;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;8;2005;;;;;;;;
233;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;8;2006;;;;;;;;
234;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;8;2007;;;;;;;;
235;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;8;2008;;;;;;;;
236;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;8;2009;;;;;;;;
237;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;8;2010;;;;;;;;
238;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;8;2011;;;;;;;;
239;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;8;2012;;;;;;;;
240;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;9;2001;;;;;;;;
241;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;9;2002;;;;;;;;
242;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;9;2003;;;;;;;;
243;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;9;2004;;;;;;;;
244;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;9;2005;;;;;;;;
245;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;9;2006;;;;;;;;
246;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;9;2007;;;;;;;;
247;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;9;2008;;;;;;;;
248;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;9;2009;;;;;;;;
249;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;9;2010;;;;;;;;
250;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;9;2011;;;;;;;;
251;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;9;2012;;;;;;;;
252;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Health and welfare;2001;;;;;;;;
253;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Health and welfare;2002;;;;;;;;
254;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Health and welfare;2003;;;;;;;;
255;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Health and welfare;2004;;;;;;;;
256;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Health and welfare;2005;;;;;;;;
257;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Health and welfare;2006;;;;;;;;
258;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Health and welfare;2007;;;;;;;;
259;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Health and welfare;2008;;;;;;;;
260;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Health and welfare;2009;;;;;;;;
261;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Health and welfare;2010;;;;;;;;
262;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Health and welfare;2011;;;;;;;;
263;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Health and welfare;2012;;;;;;;;
264;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Personal, transport services, logistics;2001;;;;;;;;
265;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Personal, transport services, logistics;2002;;;;;;;;
266;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Personal, transport services, logistics;2003;;;;;;;;
267;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Personal, transport services, logistics;2004;;;;;;;;
268;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Personal, transport services, logistics;2005;;;;;;;;
269;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Personal, transport services, logistics;2006;;;;;;;;
270;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Personal, transport services, logistics;2007;;;;;;;;
271;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Personal, transport services, logistics;2008;;;;;;;;
272;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Personal, transport services, logistics;2009;;;;;;;;
273;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Personal, transport services, logistics;2010;;;;;;;;
274;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Personal, transport services, logistics;2011;;;;;;;;
275;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Personal, transport services, logistics;2012;;;;;;;;
276;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Unknown field of education;2001;;;;;;;;
277;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Unknown field of education;2002;;;;;;;;
278;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Unknown field of education;2003;;;;;;;;
279;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Unknown field of education;2004;;;;;;;;
280;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Unknown field of education;2005;;;;;;;;
281;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Unknown field of education;2006;;;;;;;;
282;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Unknown field of education;2007;;;;;;;;
283;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Unknown field of education;2008;;;;;;;;
284;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Unknown field of education;2009;;;;;;;;
285;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Unknown field of education;2010;;;;;;;;
286;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Unknown field of education;2011;;;;;;;;
287;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;Unknown field of education;2012;;;;;;;;
288;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;1;2001;2823.0;1574.0;1504.0;70.0;1249.0;55.7;53.3;4.4
289;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;1;2002;2777.0;1569.0;1486.0;84.0;1208.0;56.5;53.5;5.3
290;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;1;2003;2718.0;1522.0;1414.0;108.0;1195.0;56.0;52.0;7.1
291;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;1;2004;2666.0;1475.0;1350.0;125.0;1191.0;55.3;50.6;8.5
292;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;1;2005;2653.0;1443.0;1314.0;128.0;1210.0;54.4;49.5;8.9
293;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;1;2006;2636.0;1418.0;1316.0;102.0;1219.0;53.8;49.9;7.2
294;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;1;2007;2597.0;1419.0;1326.0;93.0;1178.0;54.6;51.1;6.6
295;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;1;2008;2608.0;1468.0;1388.0;79.0;1140.0;56.3;53.2;5.4
296;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;1;2009;2573.0;1445.0;1347.0;98.0;1128.0;56.2;52.3;6.8
297;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;1;2010;2511.0;1389.0;1277.0;111.0;1122.0;55.3;50.9;8.0
298;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;1;2011;2530.0;1411.0;1309.0;102.0;1119.0;55.8;51.7;7.2
299;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;1;2012;2453.0;1379.0;1253.0;126.0;1074.0;56.2;51.1;9.1
300;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;2;2001;1212.0;593.0;561.0;32.0;619.0;48.9;46.3;5.4
301;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;2;2002;1171.0;577.0;541.0;35.0;594.0;49.2;46.2;6.1
302;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;2;2003;1146.0;560.0;516.0;44.0;586.0;48.8;45.0;7.8
303;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;2;2004;1157.0;544.0;491.0;53.0;614.0;47.0;42.4;9.7
304;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;2;2005;1165.0;534.0;483.0;51.0;631.0;45.8;41.4;9.6
305;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;2;2006;1163.0;519.0;478.0;41.0;644.0;44.6;41.1;8.0
306;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;2;2007;1148.0;523.0;483.0;40.0;624.0;45.6;42.1;7.7
307;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;2;2008;1162.0;549.0;515.0;35.0;613.0;47.3;44.3;6.3
308;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;2;2009;1144.0;537.0;497.0;40.0;607.0;46.9;43.4;7.4
309;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;2;2010;1145.0;525.0;479.0;46.0;619.0;45.9;41.9;8.8
310;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;2;2011;1155.0;542.0;500.0;41.0;614.0;46.9;43.3;7.6
311;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;2;2012;;;;;;;;
312;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;3;2001;;;;;;;;
313;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;3;2002;;;;;;;;
314;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;3;2003;;;;;;;;
315;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;3;2004;;;;;;;;
316;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;3;2005;;;;;;;;
317;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;3;2006;;;;;;;;
318;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;3;2007;;;;;;;;
319;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;3;2008;;;;;;;;
320;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;3;2009;;;;;;;;
321;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;3;2010;;;;;;;;
322;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;3;2011;;;;;;;;
323;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;3;2012;;;;;;;;
324;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;4;2001;39.0;24.0;23.0;;15.0;60.7;57.9;
325;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;4;2002;41.0;23.0;21.0;2.0;18.0;55.4;50.7;8.4
326;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;4;2003;39.0;22.0;18.0;3.0;17.0;55.6;46.9;15.6
327;Total men and women;Total aged 15 to 65 years;Total ethnic background;Vmbo, mbo1, avo onderbouw;4;2004;44.0;25.0;20.0;5.0;19.0;56.6;46.0;18.8
