ID;Functions;Financing;Periods;HealthAndSocialCareExpenditure_1
397;Total expenditure on health and care;HF32: Cost sharing;2020;5184.0
398;Total expenditure on health and care;HF32: Cost sharing;2021;5364.0
399;Total expenditure on health and care;HF32: Cost sharing;2022;5595.0
400;Total expenditure on health and care;"Rest of the world; exports";1998;122.0
401;Total expenditure on health and care;"Rest of the world; exports";1999;125.0
402;Total expenditure on health and care;"Rest of the world; exports";2000;129.0
403;Total expenditure on health and care;"Rest of the world; exports";2001;136.0
404;Total expenditure on health and care;"Rest of the world; exports";2002;164.0
405;Total expenditure on health and care;"Rest of the world; exports";2003;158.0
406;Total expenditure on health and care;"Rest of the world; exports";2004;162.0
407;Total expenditure on health and care;"Rest of the world; exports";2005;171.0
408;Total expenditure on health and care;"Rest of the world; exports";2006;164.0
409;Total expenditure on health and care;"Rest of the world; exports";2007;165.0
410;Total expenditure on health and care;"Rest of the world; exports";2008;166.0
411;Total expenditure on health and care;"Rest of the world; exports";2009;183.0
412;Total expenditure on health and care;"Rest of the world; exports";2010;191.0
413;Total expenditure on health and care;"Rest of the world; exports";2011;204.0
414;Total expenditure on health and care;"Rest of the world; exports";2012;213.0
415;Total expenditure on health and care;"Rest of the world; exports";2013;206.0
416;Total expenditure on health and care;"Rest of the world; exports";2014;196.0
417;Total expenditure on health and care;"Rest of the world; exports";2015;207.0
418;Total expenditure on health and care;"Rest of the world; exports";2016;208.0
419;Total expenditure on health and care;"Rest of the world; exports";2017;211.0
420;Total expenditure on health and care;"Rest of the world; exports";2018;219.0
421;Total expenditure on health and care;"Rest of the world; exports";2019;229.0
422;Total expenditure on health and care;"Rest of the world; exports";2020;224.0
423;Total expenditure on health and care;"Rest of the world; exports";2021;222.0
424;Total expenditure on health and care;"Rest of the world; exports";2022;253.0
425;Social work and child day care;Total financ schemes health,social care;1998;4400.0
426;Social work and child day care;Total financ schemes health,social care;1999;5022.0
427;Social work and child day care;Total financ schemes health,social care;2000;5604.0
428;Social work and child day care;Total financ schemes health,social care;2001;6361.0
429;Social work and child day care;Total financ schemes health,social care;2002;6958.0
430;Social work and child day care;Total financ schemes health,social care;2003;7502.0
431;Social work and child day care;Total financ schemes health,social care;2004;7412.0
432;Social work and child day care;Total financ schemes health,social care;2005;7474.0
433;Social work and child day care;Total financ schemes health,social care;2006;6960.0
434;Social work and child day care;Total financ schemes health,social care;2007;7738.0
435;Social work and child day care;Total financ schemes health,social care;2008;8729.0
436;Social work and child day care;Total financ schemes health,social care;2009;9607.0
437;Social work and child day care;Total financ schemes health,social care;2010;9925.0
438;Social work and child day care;Total financ schemes health,social care;2011;9881.0
439;Social work and child day care;Total financ schemes health,social care;2012;9643.0
440;Social work and child day care;Total financ schemes health,social care;2013;9230.0
441;Social work and child day care;Total financ schemes health,social care;2014;8900.0
442;Social work and child day care;Total financ schemes health,social care;2015;8718.0
443;Social work and child day care;Total financ schemes health,social care;2016;9532.0
444;Social work and child day care;Total financ schemes health,social care;2017;9838.0
445;Social work and child day care;Total financ schemes health,social care;2018;10389.0
446;Social work and child day care;Total financ schemes health,social care;2019;11205.0
447;Social work and child day care;Total financ schemes health,social care;2020;11886.0
448;Social work and child day care;Total financ schemes health,social care;2021;12746.0
449;Social work and child day care;Total financ schemes health,social care;2022;14875.0
450;Social work and child day care;Total financing of residents;1998;4400.0
451;Social work and child day care;Total financing of residents;1999;5022.0
452;Social work and child day care;Total financing of residents;2000;5604.0
453;Social work and child day care;Total financing of residents;2001;6361.0
454;Social work and child day care;Total financing of residents;2002;6958.0
455;Social work and child day care;Total financing of residents;2003;7502.0
456;Social work and child day care;Total financing of residents;2004;7412.0
457;Social work and child day care;Total financing of residents;2005;7474.0
458;Social work and child day care;Total financing of residents;2006;6960.0
459;Social work and child day care;Total financing of residents;2007;7738.0
460;Social work and child day care;Total financing of residents;2008;8729.0
461;Social work and child day care;Total financing of residents;2009;9607.0
462;Social work and child day care;Total financing of residents;2010;9925.0
463;Social work and child day care;Total financing of residents;2011;9881.0
464;Social work and child day care;Total financing of residents;2012;9643.0
465;Social work and child day care;Total financing of residents;2013;9230.0
466;Social work and child day care;Total financing of residents;2014;8900.0
467;Social work and child day care;Total financing of residents;2015;8718.0
468;Social work and child day care;Total financing of residents;2016;9532.0
469;Social work and child day care;Total financing of residents;2017;9838.0
470;Social work and child day care;Total financing of residents;2018;10389.0
471;Social work and child day care;Total financing of residents;2019;11205.0
472;Social work and child day care;Total financing of residents;2020;11886.0
473;Social work and child day care;Total financing of residents;2021;12746.0
474;Social work and child day care;Total financing of residents;2022;14875.0
475;Social work and child day care;HF1: Government, comp. contr. schemes;1998;3493.0
476;Social work and child day care;HF1: Government, comp. contr. schemes;1999;3967.0
477;Social work and child day care;HF1: Government, comp. contr. schemes;2000;4317.0
478;Social work and child day care;HF1: Government, comp. contr. schemes;2001;4897.0
479;Social work and child day care;HF1: Government, comp. contr. schemes;2002;5081.0
480;Social work and child day care;HF1: Government, comp. contr. schemes;2003;5296.0
481;Social work and child day care;HF1: Government, comp. contr. schemes;2004;5022.0
482;Social work and child day care;HF1: Government, comp. contr. schemes;2005;5439.0
483;Social work and child day care;HF1: Government, comp. contr. schemes;2006;5013.0
484;Social work and child day care;HF1: Government, comp. contr. schemes;2007;6336.0
485;Social work and child day care;HF1: Government, comp. contr. schemes;2008;7295.0
486;Social work and child day care;HF1: Government, comp. contr. schemes;2009;8094.0
487;Social work and child day care;HF1: Government, comp. contr. schemes;2010;8292.0
488;Social work and child day care;HF1: Government, comp. contr. schemes;2011;8009.0
489;Social work and child day care;HF1: Government, comp. contr. schemes;2012;7450.0
490;Social work and child day care;HF1: Government, comp. contr. schemes;2013;6963.0
491;Social work and child day care;HF1: Government, comp. contr. schemes;2014;6881.0
492;Social work and child day care;HF1: Government, comp. contr. schemes;2015;6667.0
493;Social work and child day care;HF1: Government, comp. contr. schemes;2016;7436.0
494;Social work and child day care;HF1: Government, comp. contr. schemes;2017;7686.0
495;Social work and child day care;HF1: Government, comp. contr. schemes;2018;8122.0
496;Social work and child day care;HF1: Government, comp. contr. schemes;2019;8737.0
497;Social work and child day care;HF1: Government, comp. contr. schemes;2020;9690.0
498;Social work and child day care;HF1: Government, comp. contr. schemes;2021;10334.0
499;Social work and child day care;HF1: Government, comp. contr. schemes;2022;11802.0
500;Social work and child day care;HF11: Government schemes;1998;3436.0
501;Social work and child day care;HF11: Government schemes;1999;3901.0
502;Social work and child day care;HF11: Government schemes;2000;4233.0
503;Social work and child day care;HF11: Government schemes;2001;4789.0
504;Social work and child day care;HF11: Government schemes;2002;4953.0
505;Social work and child day care;HF11: Government schemes;2003;5149.0
506;Social work and child day care;HF11: Government schemes;2004;4862.0
507;Social work and child day care;HF11: Government schemes;2005;5291.0
508;Social work and child day care;HF11: Government schemes;2006;4851.0
509;Social work and child day care;HF11: Government schemes;2007;6170.0
510;Social work and child day care;HF11: Government schemes;2008;7123.0
511;Social work and child day care;HF11: Government schemes;2009;7923.0
512;Social work and child day care;HF11: Government schemes;2010;8112.0
513;Social work and child day care;HF11: Government schemes;2011;7826.0
514;Social work and child day care;HF11: Government schemes;2012;7260.0
515;Social work and child day care;HF11: Government schemes;2013;6789.0
516;Social work and child day care;HF11: Government schemes;2014;6701.0
517;Social work and child day care;HF11: Government schemes;2015;6667.0
518;Social work and child day care;HF11: Government schemes;2016;7436.0
519;Social work and child day care;HF11: Government schemes;2017;7686.0
520;Social work and child day care;HF11: Government schemes;2018;8122.0
521;Social work and child day care;HF11: Government schemes;2019;8737.0
522;Social work and child day care;HF11: Government schemes;2020;9690.0
523;Social work and child day care;HF11: Government schemes;2021;10334.0
524;Social work and child day care;HF11: Government schemes;2022;11802.0
525;Social work and child day care;HF12: Compulsory contributory schemes;1998;57.0
526;Social work and child day care;HF12: Compulsory contributory schemes;1999;66.0
527;Social work and child day care;HF12: Compulsory contributory schemes;2000;84.0
528;Social work and child day care;HF12: Compulsory contributory schemes;2001;107.0
529;Social work and child day care;HF12: Compulsory contributory schemes;2002;128.0
530;Social work and child day care;HF12: Compulsory contributory schemes;2003;147.0
531;Social work and child day care;HF12: Compulsory contributory schemes;2004;160.0
532;Social work and child day care;HF12: Compulsory contributory schemes;2005;148.0
533;Social work and child day care;HF12: Compulsory contributory schemes;2006;162.0
