ID;Transactions;FunctionsOfGeneralGovernment;InstitutionalSectors;Periods;GovernmentExpenditureAndConsumption_1
468;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;1999;2092.0
469;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2000;2417.0
470;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2001;2596.0
471;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2002;3021.0
472;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2003;3296.0
473;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2004;3072.0
474;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2005;3094.0
475;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2006;3023.0
476;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2007;3130.0
477;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2008;3260.0
478;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2009;3456.0
479;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2010;3523.0
480;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2011;3411.0
481;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2012;3038.0
482;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2013;3136.0
483;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2014;3145.0
484;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2015;2569.0
485;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2016;2652.0
486;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2017;2581.0
487;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2018;2589.0
488;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2019;2790.0
489;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2020;2727.0
490;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2021;2766.0
491;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2022;3039.0
492;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;2023;3270.0
493;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;1995;0.0
494;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;1996;0.0
495;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;1997;0.0
496;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;1998;0.0
497;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;1999;0.0
498;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;2000;0.0
499;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;2001;0.0
500;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;2002;0.0
501;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;2003;0.0
502;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;2004;0.0
503;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;2005;0.0
504;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;2006;0.0
505;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;2007;0.0
506;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;2008;0.0
507;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;2009;0.0
508;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;2010;0.0
509;Total government expenditure;1.1 Executive and legislative organs, ..;Social security funds;2011;0.0
