ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1
338;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2010;1904.0
339;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2011;1947.0
340;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2012;1937.0
341;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2013;1915.0
342;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2014;1926.0
343;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2015;
344;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2008;1715.0
345;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2009;1718.0
346;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2010;1749.0
347;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2011;1790.0
348;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2012;1786.0
349;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2013;1761.0
350;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2014;1760.0
351;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Female;2015;
352;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2008;1445.0
353;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2009;1410.0
354;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2010;1420.0
355;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2011;1447.0
356;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2012;1435.0
357;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2013;1414.0
358;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2014;1428.0
359;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 15 to 34 years;2015;
360;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2008;1757.0
361;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2009;1739.0
362;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2010;1732.0
363;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2011;1749.0
364;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2012;1720.0
365;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2013;1672.0
366;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2014;1642.0
367;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 35 to 54 years;2015;
368;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2008;451.0
369;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2009;474.0
370;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2010;500.0
371;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2011;541.0
372;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2012;568.0
373;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2013;590.0
374;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2014;616.0
375;Total domestic and foreign;Total Jobs;200 Intermediate education;Age: 55 years or older;2015;
376;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2008;1058.0
377;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2009;1061.0
378;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2010;1085.0
379;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2011;1120.0
380;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2012;1129.0
381;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2013;1135.0
382;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2014;1149.0
383;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: low (among lowest 30 percent);2015;
384;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2008;2067.0
385;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2009;2056.0
386;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2010;2070.0
387;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2011;2116.0
388;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2012;2102.0
389;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2013;2066.0
390;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2014;2067.0
391;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: middle;2015;
392;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2008;529.0
393;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2009;506.0
394;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2010;497.0
395;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2011;501.0
396;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2012;493.0
397;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2013;476.0
398;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2014;470.0
399;Total domestic and foreign;Total Jobs;200 Intermediate education;Wage: high (among highest 20 percent);2015;
400;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2008;3479.0
401;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2009;3453.0
402;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2010;3477.0
403;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2011;3551.0
404;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2012;3531.0
405;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2013;3482.0
406;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2014;3489.0
407;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Dutch;2015;
408;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2008;11.0
409;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2009;11.0
410;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2010;11.0
411;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2011;11.0
412;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2012;11.0
413;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2013;10.0
414;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2014;10.0
415;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Belgian;2015;
416;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2008;10.0
417;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2009;10.0
418;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2010;10.0
419;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2011;10.0
420;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2012;10.0
421;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2013;10.0
422;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2014;9.0
423;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: British;2015;
424;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2008;33.0
425;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2009;28.0
426;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2010;25.0
427;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2011;25.0
428;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2012;23.0
429;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2013;21.0
430;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2014;20.0
431;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: German;2015;
432;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2008;36.0
433;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2009;38.0
434;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2010;42.0
435;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2011;47.0
436;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2012;54.0
437;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2013;57.0
438;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2014;60.0
439;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Polish;2015;
440;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2008;
441;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2009;
442;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2010;
443;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2011;
444;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2012;
445;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2013;
446;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2014;
447;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: Indian;2015;
448;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2008;71.0
449;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2009;67.0
450;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2010;68.0
451;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2011;70.0
452;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2012;72.0
453;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2013;73.0
454;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2014;76.0
455;Total domestic and foreign;Total Jobs;200 Intermediate education;Nationality: other;2015;
456;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2008;2087.0
457;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2009;2110.0
458;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2010;2148.0
459;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2011;2219.0
460;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2012;2253.0
461;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2013;2269.0
462;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2014;2306.0
463;Total domestic and foreign;Total Jobs;300 Higher education;Total ;2015;
464;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2008;434.0
465;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2009;447.0
466;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2010;460.0
467;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2011;482.0
468;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2012;510.0
469;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2013;531.0
470;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2014;565.0
471;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: specified time;2015;
472;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2008;1565.0
473;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2009;1570.0
474;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2010;1596.0
475;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2011;1634.0
476;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2012;1638.0
477;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2013;1632.0
478;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2014;1634.0
479;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: unspecified time;2015;
480;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2008;87.0
481;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2009;86.0
482;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2010;86.0
483;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2011;101.0
484;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2012;102.0
485;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2013;102.0
486;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2014;105.0
487;Total domestic and foreign;Total Jobs;300 Higher education;Type of contract: other;2015;
