ID;Functions;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
398;Total health, social care and welfare;HF32: Cost sharing;2021;5348.0
399;Total health, social care and welfare;HF32: Cost sharing;2022;5463.0
400;Total health, social care and welfare;"Rest of the world; exports";1998;122.0
401;Total health, social care and welfare;"Rest of the world; exports";1999;125.0
402;Total health, social care and welfare;"Rest of the world; exports";2000;129.0
403;Total health, social care and welfare;"Rest of the world; exports";2001;136.0
404;Total health, social care and welfare;"Rest of the world; exports";2002;164.0
405;Total health, social care and welfare;"Rest of the world; exports";2003;158.0
406;Total health, social care and welfare;"Rest of the world; exports";2004;162.0
407;Total health, social care and welfare;"Rest of the world; exports";2005;171.0
408;Total health, social care and welfare;"Rest of the world; exports";2006;164.0
409;Total health, social care and welfare;"Rest of the world; exports";2007;165.0
410;Total health, social care and welfare;"Rest of the world; exports";2008;166.0
411;Total health, social care and welfare;"Rest of the world; exports";2009;183.0
412;Total health, social care and welfare;"Rest of the world; exports";2010;191.0
413;Total health, social care and welfare;"Rest of the world; exports";2011;204.0
414;Total health, social care and welfare;"Rest of the world; exports";2012;213.0
415;Total health, social care and welfare;"Rest of the world; exports";2013;206.0
416;Total health, social care and welfare;"Rest of the world; exports";2014;196.0
417;Total health, social care and welfare;"Rest of the world; exports";2015;207.0
418;Total health, social care and welfare;"Rest of the world; exports";2016;208.0
419;Total health, social care and welfare;"Rest of the world; exports";2017;211.0
420;Total health, social care and welfare;"Rest of the world; exports";2018;219.0
421;Total health, social care and welfare;"Rest of the world; exports";2019;229.0
422;Total health, social care and welfare;"Rest of the world; exports";2020;224.0
423;Total health, social care and welfare;"Rest of the world; exports";2021;222.0
424;Total health, social care and welfare;"Rest of the world; exports";2022;252.0
425;Total current expenditure on healthcare;Total financ schemes health,social care;1998;30836.0
426;Total current expenditure on healthcare;Total financ schemes health,social care;1999;32921.0
427;Total current expenditure on healthcare;Total financ schemes health,social care;2000;34937.0
428;Total current expenditure on healthcare;Total financ schemes health,social care;2001;38941.0
429;Total current expenditure on healthcare;Total financ schemes health,social care;2002;43471.0
430;Total current expenditure on healthcare;Total financ schemes health,social care;2003;46561.0
431;Total current expenditure on healthcare;Total financ schemes health,social care;2004;48341.0
432;Total current expenditure on healthcare;Total financ schemes health,social care;2005;50240.0
433;Total current expenditure on healthcare;Total financ schemes health,social care;2006;53199.0
434;Total current expenditure on healthcare;Total financ schemes health,social care;2007;56169.0
435;Total current expenditure on healthcare;Total financ schemes health,social care;2008;60150.0
436;Total current expenditure on healthcare;Total financ schemes health,social care;2009;62553.0
437;Total current expenditure on healthcare;Total financ schemes health,social care;2010;65024.0
438;Total current expenditure on healthcare;Total financ schemes health,social care;2011;66673.0
439;Total current expenditure on healthcare;Total financ schemes health,social care;2012;68930.0
440;Total current expenditure on healthcare;Total financ schemes health,social care;2013;70014.0
441;Total current expenditure on healthcare;Total financ schemes health,social care;2014;71078.0
442;Total current expenditure on healthcare;Total financ schemes health,social care;2015;71349.0
443;Total current expenditure on healthcare;Total financ schemes health,social care;2016;73032.0
444;Total current expenditure on healthcare;Total financ schemes health,social care;2017;74729.0
445;Total current expenditure on healthcare;Total financ schemes health,social care;2018;77670.0
446;Total current expenditure on healthcare;Total financ schemes health,social care;2019;82570.0
447;Total current expenditure on healthcare;Total financ schemes health,social care;2020;89397.0
448;Total current expenditure on healthcare;Total financ schemes health,social care;2021;96723.0
449;Total current expenditure on healthcare;Total financ schemes health,social care;2022;96163.0
450;Total current expenditure on healthcare;Total financing of residents;1998;30737.0
451;Total current expenditure on healthcare;Total financing of residents;1999;32822.0
452;Total current expenditure on healthcare;Total financing of residents;2000;34836.0
453;Total current expenditure on healthcare;Total financing of residents;2001;38837.0
454;Total current expenditure on healthcare;Total financing of residents;2002;43344.0
455;Total current expenditure on healthcare;Total financing of residents;2003;46443.0
456;Total current expenditure on healthcare;Total financing of residents;2004;48222.0
457;Total current expenditure on healthcare;Total financing of residents;2005;50112.0
458;Total current expenditure on healthcare;Total financing of residents;2006;53080.0
459;Total current expenditure on healthcare;Total financing of residents;2007;56053.0
460;Total current expenditure on healthcare;Total financing of residents;2008;60038.0
461;Total current expenditure on healthcare;Total financing of residents;2009;62440.0
462;Total current expenditure on healthcare;Total financing of residents;2010;64910.0
463;Total current expenditure on healthcare;Total financing of residents;2011;66555.0
464;Total current expenditure on healthcare;Total financing of residents;2012;68816.0
465;Total current expenditure on healthcare;Total financing of residents;2013;69901.0
466;Total current expenditure on healthcare;Total financing of residents;2014;70964.0
467;Total current expenditure on healthcare;Total financing of residents;2015;71236.0
468;Total current expenditure on healthcare;Total financing of residents;2016;72918.0
469;Total current expenditure on healthcare;Total financing of residents;2017;74614.0
470;Total current expenditure on healthcare;Total financing of residents;2018;77553.0
471;Total current expenditure on healthcare;Total financing of residents;2019;82447.0
472;Total current expenditure on healthcare;Total financing of residents;2020;89285.0
473;Total current expenditure on healthcare;Total financing of residents;2021;96619.0
474;Total current expenditure on healthcare;Total financing of residents;2022;96028.0
475;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;1998;21286.0
476;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;1999;22501.0
477;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2000;24050.0
478;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2001;27043.0
479;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2002;30332.0
480;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2003;32586.0
481;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2004;33079.0
482;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2005;34288.0
483;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2006;44454.0
484;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2007;47126.0
485;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2008;49637.0
486;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2009;51937.0
487;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2010;54120.0
488;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2011;55016.0
489;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2012;56506.0
490;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2013;56722.0
491;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2014;57538.0
492;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2015;57972.0
493;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2016;59201.0
494;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2017;60951.0
495;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2018;63675.0
496;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2019;68267.0
497;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2020;75845.0
498;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2021;82034.0
499;Total current expenditure on healthcare;HF1: Government, comp. contr. schemes;2022;80944.0
500;Total current expenditure on healthcare;HF11: Government schemes;1998;1450.0
501;Total current expenditure on healthcare;HF11: Government schemes;1999;1565.0
502;Total current expenditure on healthcare;HF11: Government schemes;2000;1656.0
503;Total current expenditure on healthcare;HF11: Government schemes;2001;1852.0
504;Total current expenditure on healthcare;HF11: Government schemes;2002;2133.0
505;Total current expenditure on healthcare;HF11: Government schemes;2003;2215.0
506;Total current expenditure on healthcare;HF11: Government schemes;2004;2212.0
507;Total current expenditure on healthcare;HF11: Government schemes;2005;2507.0
508;Total current expenditure on healthcare;HF11: Government schemes;2006;2747.0
509;Total current expenditure on healthcare;HF11: Government schemes;2007;3055.0
510;Total current expenditure on healthcare;HF11: Government schemes;2008;3170.0
511;Total current expenditure on healthcare;HF11: Government schemes;2009;3347.0
512;Total current expenditure on healthcare;HF11: Government schemes;2010;3337.0
513;Total current expenditure on healthcare;HF11: Government schemes;2011;3377.0
514;Total current expenditure on healthcare;HF11: Government schemes;2012;3482.0
515;Total current expenditure on healthcare;HF11: Government schemes;2013;3479.0
516;Total current expenditure on healthcare;HF11: Government schemes;2014;3565.0
517;Total current expenditure on healthcare;HF11: Government schemes;2015;4437.0
