ID;Geslacht;Leeftijd;Geboortegeneratie;NettoArbeidsparticipatie_1;Deeltijd0Tot12Uur_2;Deeltijd12Tot35Uur_3;Voltijders_4;GemiddeldeArbeidsduur_5;Baan12UurPerWeek_6;Baan12UurPerWeek_7;Baan1UurPerWeek_8;TotaalWerknemers_9;VasteArbeidsrelatie_10;FlexibeleArbeidsrelatie_11;VasteArbeidsrelatie_12;FlexibeleArbeidsrelatie_13;TotaalZelfstandigen_14;MetPersoneel_15;ZonderPersoneel_16;MetPersoneel_17;ZonderPersoneel_18;PersonenMetVoortdurendEenBaan_19;PersonenMetMeerDanEenBaan_20;PersonenMetUitkering_21
197;Totaal mannen en vrouwen;25 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
198;Totaal mannen en vrouwen;25 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
199;Totaal mannen en vrouwen;25 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
200;Totaal mannen en vrouwen;25 jaar;1960 tot 1965;75.7;5.1;17.4;77.5;35.7;;;;94.7;;;;;5.3;;;;;;;
201;Totaal mannen en vrouwen;25 jaar;1965 tot 1970;79.0;6.4;17.9;75.7;35.6;3.2;;;94.8;75.6;19.5;79.5;20.5;5.2;1.7;3.3;33.6;66.4;;;
202;Totaal mannen en vrouwen;25 jaar;1970 tot 1975;82.1;5.8;20.2;74.0;35.4;2.8;;;95.5;69.4;26.1;72.7;27.3;4.5;1.5;3.0;32.5;67.5;;;
203;Totaal mannen en vrouwen;25 jaar;1975 tot 1980;82.5;6.8;24.3;69.0;34.2;2.8;;;94.5;71.9;22.6;76.1;23.9;5.5;2.0;3.5;36.9;63.1;33.0;73.0;8.0
204;Totaal mannen en vrouwen;25 jaar;1980 tot 1985;83.6;6.8;28.8;64.4;33.4;2.9;;;94.1;67.6;26.5;71.9;28.1;5.9;1.3;4.6;21.8;78.2;32.0;75.0;7.0
205;Totaal mannen en vrouwen;25 jaar;1985 tot 1990;79.2;9.4;35.0;55.7;31.7;2.9;3.1;2.9;93.0;56.7;36.2;61.0;39.0;7.0;1.0;6.1;14.0;86.0;;;
206;Totaal mannen en vrouwen;25 jaar;1990 tot 1995;80.0;8.4;36.5;55.1;32.0;2.6;2.9;2.6;92.1;56.0;41.6;57.4;42.6;7.9;1.1;6.8;14.0;86.0;;;
207;Totaal mannen en vrouwen;25 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
208;Totaal mannen en vrouwen;25 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
209;Totaal mannen en vrouwen;26 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
210;Totaal mannen en vrouwen;26 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
211;Totaal mannen en vrouwen;26 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
212;Totaal mannen en vrouwen;26 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
213;Totaal mannen en vrouwen;26 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
214;Totaal mannen en vrouwen;26 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
215;Totaal mannen en vrouwen;26 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
216;Totaal mannen en vrouwen;26 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
217;Totaal mannen en vrouwen;26 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
218;Totaal mannen en vrouwen;26 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
219;Totaal mannen en vrouwen;26 jaar;1960 tot 1965;75.9;4.2;17.9;77.9;36.3;;;;94.0;;;;;6.0;;;;;;;
220;Totaal mannen en vrouwen;26 jaar;1965 tot 1970;79.9;4.4;19.1;76.6;36.3;3.6;;;94.3;76.9;17.4;81.6;18.4;5.7;2.1;3.6;36.8;63.2;;;
221;Totaal mannen en vrouwen;26 jaar;1970 tot 1975;84.6;4.0;20.4;75.6;36.1;3.2;;;94.7;73.0;21.7;77.1;22.9;5.3;2.0;3.3;37.7;62.3;;;
222;Totaal mannen en vrouwen;26 jaar;1975 tot 1980;83.6;4.9;25.1;70.1;34.8;3.2;;;94.3;74.4;19.9;78.9;21.1;5.7;2.1;3.7;36.0;64.0;38.0;68.0;8.0
223;Totaal mannen en vrouwen;26 jaar;1980 tot 1985;85.7;4.5;28.6;66.9;34.4;3.2;;3.2;93.3;68.6;24.7;73.5;26.5;6.7;1.6;5.1;23.4;76.6;35.0;72.0;7.0
224;Totaal mannen en vrouwen;26 jaar;1985 tot 1990;81.0;6.1;34.4;59.5;33.0;3.3;3.3;3.3;91.2;58.8;32.4;64.4;35.6;8.8;1.3;7.4;15.1;84.9;;;
225;Totaal mannen en vrouwen;26 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
226;Totaal mannen en vrouwen;26 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
227;Totaal mannen en vrouwen;26 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
228;Totaal mannen en vrouwen;27 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
229;Totaal mannen en vrouwen;27 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
230;Totaal mannen en vrouwen;27 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
231;Totaal mannen en vrouwen;27 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
232;Totaal mannen en vrouwen;27 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
233;Totaal mannen en vrouwen;27 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
234;Totaal mannen en vrouwen;27 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
235;Totaal mannen en vrouwen;27 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
236;Totaal mannen en vrouwen;27 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
237;Totaal mannen en vrouwen;27 jaar;1955 tot 1960;75.0;5.7;20.4;74.0;35.6;;;;92.6;;;;;7.4;;;;;;;
238;Totaal mannen en vrouwen;27 jaar;1960 tot 1965;77.3;4.5;18.8;76.7;36.0;4.0;;;93.6;82.9;11.7;87.6;12.4;6.4;2.1;3.3;;;;;
239;Totaal mannen en vrouwen;27 jaar;1965 tot 1970;80.2;4.2;19.0;76.8;36.4;4.0;;;93.2;77.1;16.1;82.7;17.3;6.8;2.5;4.3;37.1;62.9;;;
240;Totaal mannen en vrouwen;27 jaar;1970 tot 1975;84.6;3.3;21.5;75.1;36.0;3.5;;;94.1;76.4;17.7;81.2;18.8;5.9;2.3;3.6;38.6;61.4;;;8.0
241;Totaal mannen en vrouwen;27 jaar;1975 tot 1980;84.8;3.8;26.6;69.6;34.9;3.6;;;93.7;75.6;18.0;80.7;19.3;6.3;1.9;4.5;29.6;70.4;43.0;63.0;8.0
242;Totaal mannen en vrouwen;27 jaar;1980 tot 1985;86.0;3.6;29.3;67.1;34.7;3.6;;3.7;92.2;70.3;21.9;76.3;23.7;7.8;1.9;5.9;24.4;75.6;38.0;68.0;8.0
243;Totaal mannen en vrouwen;27 jaar;1985 tot 1990;83.1;4.4;33.2;62.4;34.1;3.6;3.1;3.6;90.5;60.7;30.5;66.6;33.4;9.5;1.9;7.5;20.4;79.6;;;
244;Totaal mannen en vrouwen;27 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
245;Totaal mannen en vrouwen;27 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
246;Totaal mannen en vrouwen;27 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
247;Totaal mannen en vrouwen;28 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
248;Totaal mannen en vrouwen;28 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
249;Totaal mannen en vrouwen;28 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
250;Totaal mannen en vrouwen;28 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
251;Totaal mannen en vrouwen;28 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
252;Totaal mannen en vrouwen;28 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
253;Totaal mannen en vrouwen;28 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
254;Totaal mannen en vrouwen;28 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
255;Totaal mannen en vrouwen;28 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
256;Totaal mannen en vrouwen;28 jaar;1955 tot 1960;71.3;5.7;17.9;76.5;35.6;;;;92.4;;;;;7.6;;;;;;;
257;Totaal mannen en vrouwen;28 jaar;1960 tot 1965;78.0;4.8;19.3;75.9;35.9;4.5;;;93.2;81.0;12.3;86.8;13.2;6.8;2.5;4.2;;;;;
258;Totaal mannen en vrouwen;28 jaar;1965 tot 1970;81.0;4.1;21.1;74.8;36.2;4.5;;;92.5;77.9;14.6;84.2;15.8;7.5;3.3;4.2;43.5;56.5;;;
259;Totaal mannen en vrouwen;28 jaar;1970 tot 1975;85.8;3.2;24.0;72.8;35.8;3.9;;;92.5;77.5;15.0;83.8;16.2;7.5;2.9;4.6;38.3;61.7;44.0;63.0;8.0
260;Totaal mannen en vrouwen;28 jaar;1975 tot 1980;85.3;2.9;28.3;68.7;35.2;4.0;;;92.6;76.1;16.6;82.1;17.9;7.4;2.4;4.9;33.2;66.8;47.0;59.0;8.0
261;Totaal mannen en vrouwen;28 jaar;1980 tot 1985;85.6;2.9;29.7;67.4;35.0;4.0;;4.1;91.3;71.2;20.1;78.0;22.0;8.7;2.4;6.4;27.3;72.7;;;
262;Totaal mannen en vrouwen;28 jaar;1985 tot 1990;84.1;3.4;32.3;64.2;34.8;4.0;;4.0;89.9;65.7;27.3;70.7;29.3;10.1;1.8;8.2;18.2;81.8;;;
263;Totaal mannen en vrouwen;28 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
264;Totaal mannen en vrouwen;28 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
265;Totaal mannen en vrouwen;28 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
266;Totaal mannen en vrouwen;29 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
267;Totaal mannen en vrouwen;29 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
268;Totaal mannen en vrouwen;29 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
269;Totaal mannen en vrouwen;29 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
270;Totaal mannen en vrouwen;29 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
271;Totaal mannen en vrouwen;29 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
272;Totaal mannen en vrouwen;29 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
273;Totaal mannen en vrouwen;29 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
274;Totaal mannen en vrouwen;29 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
275;Totaal mannen en vrouwen;29 jaar;1955 tot 1960;71.8;5.8;19.8;74.4;35.7;;;;91.2;;;;;8.8;;;;;;;
276;Totaal mannen en vrouwen;29 jaar;1960 tot 1965;77.7;5.3;21.2;73.5;35.7;5.0;;;91.9;80.0;11.8;87.2;12.8;8.1;3.3;4.9;40.3;59.7;;;
277;Totaal mannen en vrouwen;29 jaar;1965 tot 1970;82.4;4.2;22.5;73.2;35.7;4.9;;;92.7;78.8;14.0;84.9;15.1;7.3;2.9;4.4;40.0;60.0;;;
278;Totaal mannen en vrouwen;29 jaar;1970 tot 1975;85.1;3.6;26.5;69.9;35.2;4.2;;;91.9;78.8;13.2;85.7;14.3;8.1;3.0;5.0;37.6;62.4;48.0;58.0;9.0
279;Totaal mannen en vrouwen;29 jaar;1975 tot 1980;86.2;2.7;29.3;68.1;35.3;4.4;;;91.3;75.4;15.8;82.7;17.3;8.7;2.9;5.8;33.5;66.5;49.0;56.0;8.0
280;Totaal mannen en vrouwen;29 jaar;1980 tot 1985;85.8;2.6;30.9;66.5;35.0;4.6;;4.6;90.5;72.5;18.0;80.1;19.9;9.5;2.6;6.9;27.6;72.4;;;
281;Totaal mannen en vrouwen;29 jaar;1985 tot 1990;85.7;3.1;33.2;63.6;34.8;4.4;;4.4;89.3;69.5;25.4;73.2;26.8;10.7;2.3;8.5;21.4;78.6;;;
282;Totaal mannen en vrouwen;29 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
283;Totaal mannen en vrouwen;29 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
284;Totaal mannen en vrouwen;29 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
285;Totaal mannen en vrouwen;30 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
286;Totaal mannen en vrouwen;30 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
287;Totaal mannen en vrouwen;30 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
288;Totaal mannen en vrouwen;30 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
289;Totaal mannen en vrouwen;30 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
290;Totaal mannen en vrouwen;30 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
291;Totaal mannen en vrouwen;30 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
292;Totaal mannen en vrouwen;30 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
293;Totaal mannen en vrouwen;30 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
294;Totaal mannen en vrouwen;30 jaar;1955 tot 1960;72.0;6.3;21.0;72.7;35.1;;;;90.9;;;;;9.1;;;;;;;
295;Totaal mannen en vrouwen;30 jaar;1960 tot 1965;76.8;5.7;22.0;72.3;35.4;5.4;;;91.7;80.4;11.2;87.8;12.2;8.3;3.5;5.0;41.1;58.9;;;
296;Totaal mannen en vrouwen;30 jaar;1965 tot 1970;83.4;4.5;24.2;71.3;35.4;5.2;;;91.9;77.8;14.1;84.7;15.3;8.1;4.0;4.1;49.2;50.8;;;
297;Totaal mannen en vrouwen;30 jaar;1970 tot 1975;84.4;3.9;28.2;67.9;34.8;4.6;;;90.9;78.4;12.4;86.3;13.7;9.1;3.4;5.7;37.0;63.0;51.0;53.0;10.0
298;Totaal mannen en vrouwen;30 jaar;1975 tot 1980;87.2;2.3;30.9;66.8;35.1;4.7;;;90.7;75.9;14.9;83.6;16.4;9.3;2.6;6.7;28.3;71.7;50.0;55.0;8.0
299;Totaal mannen en vrouwen;30 jaar;1980 tot 1985;85.1;2.6;33.4;64.1;34.8;5.0;;5.0;89.6;71.7;17.9;80.1;19.9;10.4;2.3;8.1;21.9;78.1;;;
300;Totaal mannen en vrouwen;30 jaar;1985 tot 1990;85.9;2.9;34.1;63.0;34.8;4.7;;4.7;88.3;73.2;22.9;76.2;23.8;11.7;2.6;9.1;22.1;77.9;;;
301;Totaal mannen en vrouwen;30 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
302;Totaal mannen en vrouwen;30 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
303;Totaal mannen en vrouwen;30 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
304;Totaal mannen en vrouwen;31 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
305;Totaal mannen en vrouwen;31 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
306;Totaal mannen en vrouwen;31 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
307;Totaal mannen en vrouwen;31 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
308;Totaal mannen en vrouwen;31 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
309;Totaal mannen en vrouwen;31 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
310;Totaal mannen en vrouwen;31 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
311;Totaal mannen en vrouwen;31 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
312;Totaal mannen en vrouwen;31 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
313;Totaal mannen en vrouwen;31 jaar;1955 tot 1960;70.7;6.8;21.4;71.8;34.9;;;;90.1;;;;;9.9;;;;;;;
314;Totaal mannen en vrouwen;31 jaar;1960 tot 1965;77.3;6.0;23.5;70.6;35.3;6.2;;;90.4;79.5;10.8;88.0;12.0;9.6;3.9;5.7;40.9;59.1;;;
315;Totaal mannen en vrouwen;31 jaar;1965 tot 1970;82.8;4.1;27.0;68.9;35.1;5.4;;;91.1;78.4;12.7;86.1;13.9;8.9;3.7;5.2;41.7;58.3;;;
316;Totaal mannen en vrouwen;31 jaar;1970 tot 1975;84.1;4.0;30.2;65.8;34.6;5.2;;;90.0;78.6;11.4;87.4;12.6;10.0;3.5;6.5;35.2;64.8;53.0;49.0;10.0
317;Totaal mannen en vrouwen;31 jaar;1975 tot 1980;87.3;2.0;33.0;65.0;35.0;5.1;;5.1;89.5;75.7;13.8;84.6;15.4;10.5;3.0;7.5;28.8;71.2;51.0;54.0;8.0
318;Totaal mannen en vrouwen;31 jaar;1980 tot 1985;85.2;2.5;33.8;63.8;34.9;5.5;;5.4;87.6;70.4;17.2;80.4;19.6;12.4;2.8;9.7;22.3;77.7;;;
319;Totaal mannen en vrouwen;31 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
320;Totaal mannen en vrouwen;31 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
321;Totaal mannen en vrouwen;31 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
322;Totaal mannen en vrouwen;31 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
323;Totaal mannen en vrouwen;32 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
324;Totaal mannen en vrouwen;32 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
325;Totaal mannen en vrouwen;32 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
326;Totaal mannen en vrouwen;32 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
327;Totaal mannen en vrouwen;32 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
328;Totaal mannen en vrouwen;32 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
329;Totaal mannen en vrouwen;32 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
330;Totaal mannen en vrouwen;32 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
331;Totaal mannen en vrouwen;32 jaar;1950 tot 1955;67.5;7.6;21.9;70.4;34.6;;;;88.5;;;;;11.5;;;;;;;
332;Totaal mannen en vrouwen;32 jaar;1955 tot 1960;72.7;7.1;22.0;70.9;34.8;6.4;;;89.6;79.5;10.7;88.1;11.9;10.4;4.3;5.4;;;;;
333;Totaal mannen en vrouwen;32 jaar;1960 tot 1965;76.9;5.9;24.6;69.5;34.9;6.6;;;89.8;78.9;10.9;87.9;12.1;10.2;4.1;6.1;39.9;60.1;;;
334;Totaal mannen en vrouwen;32 jaar;1965 tot 1970;83.2;4.9;28.8;66.3;34.6;6.0;;;90.0;78.5;11.5;87.2;12.8;10.0;4.5;5.4;45.5;54.5;;;9.0
335;Totaal mannen en vrouwen;32 jaar;1970 tot 1975;84.7;4.0;32.6;63.4;34.2;5.6;;;89.1;78.7;10.3;88.4;11.6;10.9;3.9;7.1;35.6;64.4;54.0;46.0;10.0
336;Totaal mannen en vrouwen;32 jaar;1975 tot 1980;87.6;2.6;34.5;63.0;34.7;5.6;;5.7;88.3;75.5;12.9;85.4;14.6;11.7;3.4;8.3;28.8;71.2;52.0;52.0;9.0
337;Totaal mannen en vrouwen;32 jaar;1980 tot 1985;83.9;2.6;35.8;61.6;34.7;6.0;;6.0;87.1;71.1;17.2;80.5;19.5;12.9;3.2;9.7;25.2;74.8;;;
338;Totaal mannen en vrouwen;32 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
339;Totaal mannen en vrouwen;32 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
340;Totaal mannen en vrouwen;32 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
341;Totaal mannen en vrouwen;32 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
342;Totaal mannen en vrouwen;33 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
343;Totaal mannen en vrouwen;33 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
344;Totaal mannen en vrouwen;33 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
345;Totaal mannen en vrouwen;33 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
346;Totaal mannen en vrouwen;33 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
347;Totaal mannen en vrouwen;33 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
348;Totaal mannen en vrouwen;33 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
349;Totaal mannen en vrouwen;33 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
350;Totaal mannen en vrouwen;33 jaar;1950 tot 1955;70.3;8.9;21.0;70.1;34.3;;;;88.0;;;;;12.0;;;;;;;
351;Totaal mannen en vrouwen;33 jaar;1955 tot 1960;74.5;7.4;23.4;69.3;34.5;6.8;;;89.2;78.3;10.6;88.1;11.9;10.8;4.8;6.2;43.7;56.3;;;
352;Totaal mannen en vrouwen;33 jaar;1960 tot 1965;77.5;6.3;26.4;67.2;34.6;7.0;;;89.6;78.6;11.0;87.7;12.3;10.4;4.8;5.7;45.8;54.2;;;
353;Totaal mannen en vrouwen;33 jaar;1965 tot 1970;84.0;5.2;30.4;64.4;34.4;6.2;;;88.2;77.1;11.1;87.4;12.6;11.8;5.5;6.3;46.5;53.5;52.0;49.0;10.0
354;Totaal mannen en vrouwen;33 jaar;1970 tot 1975;84.9;3.9;33.5;62.5;34.2;6.0;;;87.6;76.7;10.9;87.5;12.5;12.4;4.8;7.6;38.9;61.1;54.0;44.0;10.0
355;Totaal mannen en vrouwen;33 jaar;1975 tot 1980;86.8;2.5;36.0;61.5;34.5;6.0;;6.2;87.7;74.9;12.8;85.4;14.6;12.3;3.8;8.5;31.3;68.7;;;
356;Totaal mannen en vrouwen;33 jaar;1980 tot 1985;83.4;2.9;36.7;60.4;34.5;6.5;;6.4;85.6;73.4;16.5;81.7;18.3;14.4;3.9;10.4;27.5;72.5;;;
357;Totaal mannen en vrouwen;33 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
358;Totaal mannen en vrouwen;33 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
359;Totaal mannen en vrouwen;33 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
360;Totaal mannen en vrouwen;33 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
361;Totaal mannen en vrouwen;34 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
362;Totaal mannen en vrouwen;34 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
363;Totaal mannen en vrouwen;34 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
364;Totaal mannen en vrouwen;34 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
365;Totaal mannen en vrouwen;34 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
366;Totaal mannen en vrouwen;34 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
367;Totaal mannen en vrouwen;34 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
368;Totaal mannen en vrouwen;34 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
369;Totaal mannen en vrouwen;34 jaar;1950 tot 1955;70.4;8.5;22.6;68.9;34.5;;;;88.2;;;;;11.8;;;;;;;
370;Totaal mannen en vrouwen;34 jaar;1955 tot 1960;74.4;8.1;24.4;67.5;34.3;7.6;;;88.7;78.9;10.0;88.7;11.3;11.3;4.6;6.5;41.4;58.6;;;
371;Totaal mannen en vrouwen;34 jaar;1960 tot 1965;79.1;6.8;28.2;65.0;34.2;7.4;;;88.5;76.6;11.9;86.5;13.5;11.5;5.3;6.2;46.2;53.8;;;
372;Totaal mannen en vrouwen;34 jaar;1965 tot 1970;83.2;5.1;31.6;63.3;34.2;6.5;;;87.5;77.0;10.5;88.0;12.0;12.5;5.5;7.0;43.8;56.2;53.0;45.0;10.0
373;Totaal mannen en vrouwen;34 jaar;1970 tot 1975;85.9;3.8;35.2;61.0;34.1;6.4;;;86.8;76.2;10.7;87.7;12.3;13.2;4.8;8.3;36.6;63.4;54.0;43.0;9.0
374;Totaal mannen en vrouwen;34 jaar;1975 tot 1980;85.6;2.6;38.0;59.4;34.2;6.6;;6.6;87.0;74.6;12.4;85.8;14.2;13.0;4.2;8.8;32.6;67.4;;;
375;Totaal mannen en vrouwen;34 jaar;1980 tot 1985;84.8;2.6;38.0;59.3;34.4;6.8;;6.7;84.8;74.3;17.0;81.4;18.6;15.2;4.6;10.5;30.6;69.4;;;
376;Totaal mannen en vrouwen;34 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
377;Totaal mannen en vrouwen;34 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
378;Totaal mannen en vrouwen;34 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
379;Totaal mannen en vrouwen;34 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
380;Totaal mannen en vrouwen;35 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
381;Totaal mannen en vrouwen;35 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
382;Totaal mannen en vrouwen;35 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
383;Totaal mannen en vrouwen;35 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
384;Totaal mannen en vrouwen;35 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
385;Totaal mannen en vrouwen;35 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
386;Totaal mannen en vrouwen;35 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
387;Totaal mannen en vrouwen;35 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
388;Totaal mannen en vrouwen;35 jaar;1950 tot 1955;72.2;9.1;22.3;68.6;34.4;;;;87.7;;;;;12.3;;;;;;;
389;Totaal mannen en vrouwen;35 jaar;1955 tot 1960;75.7;7.7;24.7;67.5;34.3;8.2;;;88.8;78.4;10.1;88.6;11.4;11.2;5.3;6.2;45.8;54.2;;;
390;Totaal mannen en vrouwen;35 jaar;1960 tot 1965;80.4;6.5;28.8;64.6;34.1;7.8;;;88.7;77.5;11.2;87.4;12.6;11.3;5.1;6.3;44.6;55.4;;;
391;Totaal mannen en vrouwen;35 jaar;1965 tot 1970;82.7;5.3;33.5;61.1;33.6;6.9;;;86.6;77.3;9.4;89.2;10.8;13.4;5.2;8.2;38.6;61.4;53.0;42.0;11.0
392;Totaal mannen en vrouwen;35 jaar;1970 tot 1975;85.9;3.6;36.1;60.3;34.1;6.7;;;86.0;75.3;10.7;87.5;12.5;14.0;5.2;8.8;37.2;62.8;54.0;43.0;9.0
