ID;EmployeeWithWithoutRegistration;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackgroundNationality;Periods;JobsEmployeesFromAbroad_1
306;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2015 2nd quarter;351.2
307;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2015 3rd quarter;364.7
308;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2015 4th quarter;358.1
309;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2015;349.9
310;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2016 1st quarter;345.5
311;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2016 2nd quarter;374.7
312;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2016 3rd quarter;389.8
313;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2016 4th quarter;386.4
314;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2016;374.2
315;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2017 1st quarter;377.6
316;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2017 2nd quarter;412.0
317;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2017 3rd quarter;431.9
318;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2017 4th quarter;434.2
319;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2017;414.1
320;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2010 1st quarter;122.1
321;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2010 2nd quarter;125.5
322;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2010 3rd quarter;125.5
323;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2010 4th quarter;125.8
324;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2010;124.7
325;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2011 1st quarter;124.0
326;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2011 2nd quarter;126.8
327;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2011 3rd quarter;125.4
328;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2011 4th quarter;124.7
329;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2011;125.2
330;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2012 1st quarter;121.8
331;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2012 2nd quarter;122.6
332;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2012 3rd quarter;120.0
333;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2012 4th quarter;119.0
334;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2012;120.8
335;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2013 1st quarter;116.6
336;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2013 2nd quarter;117.0
337;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2013 3rd quarter;115.0
338;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2013 4th quarter;114.7
339;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2013;115.8
340;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2014 1st quarter;111.3
341;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2014 2nd quarter;112.6
342;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2014 3rd quarter;111.7
343;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2014 4th quarter;112.1
344;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2014;112.0
345;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2015 1st quarter;110.7
346;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2015 2nd quarter;112.4
347;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2015 3rd quarter;111.6
348;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2015 4th quarter;112.6
349;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2015;111.8
350;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2016 1st quarter;111.8
351;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2016 2nd quarter;113.8
352;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2016 3rd quarter;113.3
353;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2016 4th quarter;115.3
354;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2016;113.6
355;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2017 1st quarter;114.9
356;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2017 2nd quarter;117.9
357;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2017 3rd quarter;117.8
358;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2017 4th quarter;120.6
359;Total jobs;Total employees;A-U All economic activities;Total;Other EU countries;2017;117.8
360;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2010 1st quarter;2.4
361;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2010 2nd quarter;2.5
362;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2010 3rd quarter;2.5
363;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2010 4th quarter;2.5
364;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2010;2.5
365;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2011 1st quarter;2.5
366;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2011 2nd quarter;2.6
367;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2011 3rd quarter;2.6
368;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2011 4th quarter;2.6
369;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2011;2.6
370;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2012 1st quarter;2.5
371;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2012 2nd quarter;2.6
372;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2012 3rd quarter;2.5
373;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2012 4th quarter;2.5
374;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2012;2.5
375;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2013 1st quarter;2.5
376;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2013 2nd quarter;2.6
377;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2013 3rd quarter;2.5
378;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2013 4th quarter;2.6
379;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2013;2.6
380;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2014 1st quarter;2.6
381;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2014 2nd quarter;2.7
382;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2014 3rd quarter;2.7
383;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2014 4th quarter;2.7
384;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2014;2.7
385;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2015 1st quarter;2.7
386;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2015 2nd quarter;2.8
387;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2015 3rd quarter;2.9
388;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2015 4th quarter;3.0
389;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2015;2.9
390;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2016 1st quarter;3.0
391;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2016 2nd quarter;3.2
392;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2016 3rd quarter;3.2
393;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2016 4th quarter;3.3
394;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2016;3.2
395;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2017 1st quarter;3.3
396;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2017 2nd quarter;3.5
397;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2017 3rd quarter;3.5
398;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2017 4th quarter;3.6
399;Total jobs;Total employees;A-U All economic activities;Total;Oceania;2017;3.5
400;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010 1st quarter;28.0
401;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010 2nd quarter;28.2
402;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010 3rd quarter;28.0
403;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010 4th quarter;28.0
404;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2010;28.1
405;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011 1st quarter;28.1
406;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011 2nd quarter;28.2
407;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011 3rd quarter;28.0
408;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011 4th quarter;28.1
409;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2011;28.1
410;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012 1st quarter;27.9
411;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012 2nd quarter;27.9
412;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012 3rd quarter;27.4
413;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012 4th quarter;27.4
414;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2012;27.6
415;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013 1st quarter;27.2
416;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013 2nd quarter;27.2
417;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013 3rd quarter;26.9
418;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013 4th quarter;26.9
419;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2013;27.1
420;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014 1st quarter;26.6
421;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014 2nd quarter;26.7
422;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014 3rd quarter;26.6
423;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014 4th quarter;26.8
424;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2014;26.6
425;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015 1st quarter;26.6
426;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015 2nd quarter;26.7
427;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015 3rd quarter;26.6
428;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015 4th quarter;26.8
429;Total jobs;Total employees;A-U All economic activities;Total;Belgium;2015;26.7
