ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackground;Periods;JobsForeignBornEmployees_1
320;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2019 1st quarter;53.9
321;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2019 2nd quarter;56.4
322;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2019 3rd quarter;56.4
323;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2019 4th quarter;58.9
324;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2019;56.4
325;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2020 1st quarter;58.5
326;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2020 2nd quarter;56.1
327;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2020 3rd quarter;56.5
328;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2020 4th quarter;57.5
329;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2020;57.2
330;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2010 1st quarter;111.1
331;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2010 2nd quarter;132.5
332;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2010 3rd quarter;146.9
333;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2010 4th quarter;141.9
334;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2010;133.2
335;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2011 1st quarter;135.7
336;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2011 2nd quarter;157.7
337;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2011 3rd quarter;168.8
338;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2011 4th quarter;156.3
339;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2011;154.7
340;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2012 1st quarter;148.8
341;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2012 2nd quarter;169.0
342;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2012 3rd quarter;178.6
343;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2012 4th quarter;166.4
344;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2012;165.7
345;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2013 1st quarter;149.8
346;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2013 2nd quarter;168.7
347;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2013 3rd quarter;180.1
348;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2013 4th quarter;171.5
349;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2013;167.6
350;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2014 1st quarter;163.5
351;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2014 2nd quarter;185.9
352;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2014 3rd quarter;198.2
353;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2014 4th quarter;187.0
354;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2014;183.8
355;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2015 1st quarter;180.4
356;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2015 2nd quarter;203.1
357;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2015 3rd quarter;217.9
358;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2015 4th quarter;209.7
359;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2015;202.9
360;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2016 1st quarter;197.4
361;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2016 2nd quarter;222.7
362;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2016 3rd quarter;238.5
363;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2016 4th quarter;231.6
364;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2016;222.6
365;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2017 1st quarter;223.1
366;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2017 2nd quarter;252.1
367;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2017 3rd quarter;271.8
368;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2017 4th quarter;269.2
369;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2017;254.2
370;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2018 1st quarter;258.8
371;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2018 2nd quarter;286.4
372;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2018 3rd quarter;306.4
373;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2018 4th quarter;302.4
374;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2018;288.7
375;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2019 1st quarter;286.5
376;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2019 2nd quarter;307.8
377;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2019 3rd quarter;323.5
378;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2019 4th quarter;316.4
379;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2019;308.6
380;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2020 1st quarter;302.3
381;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2020 2nd quarter;296.1
382;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2020 3rd quarter;321.3
383;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2020 4th quarter;311.7
384;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2020;307.9
385;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2010 1st quarter;249.6
386;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2010 2nd quarter;275.3
387;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2010 3rd quarter;289.7
388;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2010 4th quarter;285.3
389;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2010;275.1
390;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2011 1st quarter;277.3
391;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2011 2nd quarter;303.3
392;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2011 3rd quarter;313.5
393;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2011 4th quarter;300.9
394;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2011;298.9
395;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2012 1st quarter;291.2
396;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2012 2nd quarter;313.7
397;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2012 3rd quarter;320.8
398;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2012 4th quarter;308.1
399;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2012;308.5
400;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2013 1st quarter;287.6
401;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2013 2nd quarter;308.7
402;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2013 3rd quarter;318.5
403;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2013 4th quarter;310.5
404;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2013;306.4
405;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2014 1st quarter;299.8
406;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2014 2nd quarter;325.0
407;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2014 3rd quarter;336.2
408;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2014 4th quarter;326.2
409;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2014;321.9
410;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2015 1st quarter;318.6
411;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2015 2nd quarter;344.9
412;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2015 3rd quarter;359.0
413;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2015 4th quarter;352.0
414;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2015;343.7
415;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2016 1st quarter;338.7
416;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2016 2nd quarter;368.0
417;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2016 3rd quarter;383.5
418;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2016 4th quarter;379.6
419;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2016;367.5
420;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2017 1st quarter;371.0
421;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2017 2nd quarter;405.6
422;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2017 3rd quarter;425.6
